execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,reduction_speed_factor,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-52.5407986   47.08541368 -30.20566075   4.56555301 -53.4964064
  16.31706589 -37.92454284  24.65264858  30.27434522  39.70427178
  -7.91330491 -66.58859229 -43.36389767  66.13398948 -55.61954465
  52.13072303   6.1346569   79.38125127 -67.49190989  -9.1714426
 -62.93554482  73.90360201 -73.66492658  43.98562835  50.76850349
  58.99116958 -66.49040066 -16.03487022 -38.42046325  48.01098299]",234.133240470638,82266
1,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-51.02999631  47.08551057 -30.20557537   4.56530652 -53.49624699
  16.31702263 -37.92451998  24.65260351  30.27436733  39.70427223
  -7.91317815 -66.58864715 -43.36374599  66.13400258 -55.61955182
  52.13068541   6.13484299  79.38152141 -67.4919395   -9.17130029
 -62.93552907  73.90373051 -68.06861009  43.98566629  50.76841928
  58.99123497 -66.49013388 -16.0347419  -38.4206847   48.01108114]",334.60128709145584,86377
2,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-48.35298342  47.08550082 -30.20560057   4.56526966 -53.49622553
  16.3171102  -37.92461705  24.65272222  30.27436256  39.70438834
  -7.9133616  -66.58877977 -43.36366444  66.13402913 -55.61955363
  52.13039975   6.13472821  79.38154783 -67.49193359  -9.17152426
 -62.93553065  73.90375385 -58.15006019  43.98568976  50.76846167
  58.99112504 -66.49045425 -16.03466031 -38.42073453  48.01100905]",678.5058446157702,81985
3,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-49.41512175  47.08504443 -30.2060973    4.56462389 -53.49693982
  16.31660052 -37.92523763  24.6529053   30.27447706  39.7060053
  -7.91268458 -66.58798325 -43.36577753  66.1328917  -55.62023334
  52.13061346   6.13483552  79.38162197 -67.4924907   -9.17228354
 -62.93540009  73.90374386 -62.08537655  43.9860783   50.76835315
  58.99089861 -66.49744535 -16.03548354 -38.42120014  48.01181972]",590.6810012479625,83756
4,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.48688497  47.08551623 -30.20559103   4.56529002 -53.49620251
  16.3171105  -37.92459538  24.65266106  30.2743221   39.70425547
  -7.91334493 -66.58857685 -43.36368209  66.13397895 -55.61952077
  52.13071583   6.13479322  79.38154174 -67.49190905  -9.17147498
 -62.93554419  73.9036807  -77.16951078  43.98567401  50.76851306
  58.99115029 -66.49024374 -16.03478278 -38.4207203   48.01095978]",204.6838760601545,81709
5,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-50.53738845  47.08508172 -30.2051355    4.565073   -53.49648158
  16.31727714 -37.924941    24.65315117  30.27374137  39.70453442
  -7.91308899 -66.58574796 -43.36311271  66.13456112 -55.61948579
  52.13095472   6.13396478  79.38176153 -67.49237409  -9.17198306
 -62.93615255  73.90409402 -66.24292663  43.98530525  50.7686334
  58.99016569 -66.48969528 -16.03526026 -38.42490922  48.00993065]",424.5925086100567,82434
6,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-51.49385515  47.08552405 -30.20526981   4.56542069 -53.4960439
  16.31708068 -37.92463859  24.65258426  30.27429253  39.70432496
  -7.91339817 -66.58831462 -43.36384148  66.13399557 -55.61938795
  52.13052292   6.13485171  79.38159738 -67.49195374  -9.17138425
 -62.93553309  73.90346947 -69.78677116  43.98568125  50.76887997
  58.99122264 -66.49028718 -16.0349426  -38.42106781  48.01094289]",297.3737443391167,81463
7,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-52.62433642  47.08551779 -30.20560977   4.56529034 -53.49589338
  16.31713599 -37.9246048   24.65263383  30.27436309  39.7042241
  -7.91327779 -66.58848627 -43.36373796  66.13391257 -55.61953288
  52.13069768   6.13472675  79.38141174 -67.49179965  -9.17146963
 -62.93554332  73.90340718 -73.97423117  43.98567183  50.76850628
  58.99111334 -66.49035512 -16.03482798 -38.420772    48.01099452]",230.25347086299857,79514
8,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-47.23921573  47.08529551 -30.20572914   4.56503335 -53.49718621
  16.31634971 -37.92455755  24.65265782  30.27428868  39.70466109
  -7.91328183 -66.58828054 -43.3634313   66.13465852 -55.61938324
  52.13099045   6.1340309   79.38154149 -67.49202844  -9.17268325
 -62.93574117  73.90386942 -54.02556854  43.98563036  50.76844735
  58.99108769 -66.49049019 -16.03495305 -38.42064295  48.01104626]",890.8846703106341,83436
9,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.77127466  47.08552842 -30.20557487   4.56529975 -53.49620799
  16.31711741 -37.9245975   24.65265053  30.27431238  39.70425342
  -7.91334421 -66.58857326 -43.36372125  66.13397965 -55.61951898
  52.13071642   6.13480051  79.38156797 -67.49191348  -9.17149489
 -62.93552805  73.90369206 -78.22294766  43.98567118  50.76851064
  58.99114027 -66.49026648 -16.03479188 -38.42072681  48.01097708]",201.15612890425567,82614
10,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.87792892  47.08553591 -30.20558723   4.56531175 -53.49620653
  16.31711274 -37.92459599  24.65260054  30.27428764  39.70429183
  -7.91334805 -66.58857668 -43.36374827  66.13395489 -55.61951217
  52.13073479   6.1348033   79.38155296 -67.49190529  -9.17146309
 -62.93556148  73.90369234 -78.61801745  43.98566329  50.76854804
  58.99116131 -66.49027169 -16.03478861 -38.42072596  48.0109533 ]",200.45725179333107,87715
11,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.70206106  47.08555363 -30.20557676   4.56549981 -53.49622804
  16.31708711 -37.9245901   24.65251174  30.27439255  39.70425116
  -7.91344476 -66.58870581 -43.36370213  66.13391681 -55.6193343
  52.13047975   6.13466674  79.38222072 -67.49174382  -9.17110217
 -62.93575049  73.90368361 -77.9665198   43.98578268  50.76858491
  58.99128392 -66.49020912 -16.03472619 -38.42062573  48.01103769]",202.9386336852816,86867
12,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.38653541  47.0855387  -30.20560876   4.5653708  -53.49620385
  16.3171098  -37.92460272  24.65263587  30.2743449   39.70424274
  -7.9133158  -66.58851197 -43.36368476  66.13395944 -55.61951597
  52.1307288    6.13479989  79.38155478 -67.49192836  -9.17144818
 -62.93555722  73.90369204 -76.79773653  43.98578147  50.76852395
  58.99129736 -66.49026352 -16.03475962 -38.42074458  48.01096416]",206.59474230627265,84769
13,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.80840818  47.0855261  -30.20559426   4.56530063 -53.49620335
  16.31711    -37.92459542  24.65265775  30.27432177  39.70425684
  -7.91334534 -66.58857811 -43.36368618  66.13397865 -55.61951492
  52.13071542   6.1347883   79.38155851 -67.4919149   -9.17147919
 -62.93555501  73.90369681 -78.36051749  43.98567478  50.76851429
  58.99115214 -66.49026355 -16.03477496 -38.42073086  48.01095704]",200.86530140102445,82353
14,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-43.48363029  47.08668758 -30.20582295   4.5656063  -53.49610955
  16.31717488 -37.92454623  24.6521277   30.27446712  39.7043928
  -7.9133573  -66.58862415 -43.36299314  66.13400937 -55.61968424
  52.13051552   6.13355519  79.38103116 -67.49137822  -9.17130187
 -62.93569777  73.90368773 -40.11314561  43.98533729  50.77129544
  58.99125696 -66.48930691 -16.0353361  -38.42047312  48.01107548]",1867.986688527135,81006
15,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-51.06647459  47.08545775 -30.20568556   4.56540797 -53.49593857
  16.31711849 -37.92461688  24.6525558   30.27435519  39.70410074
  -7.91334312 -66.58879496 -43.36361997  66.13402493 -55.6195065
  52.13068286   6.13479618  79.38149191 -67.49198805  -9.1714737
 -62.93634525  73.90365699 -68.20347258  43.98571741  50.76853782
  58.99110387 -66.49041262 -16.03466415 -38.420463    48.01079823]",332.1883707147663,82871
16,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.88749429  47.08552644 -30.20559347   4.56530167 -53.49620326
  16.31711055 -37.92459446  24.65265736  30.27432031  39.70425496
  -7.91334409 -66.5885794  -43.36368461  66.13397856 -55.61951702
  52.13071651   6.13478944  79.38155491 -67.49191559  -9.17147693
 -62.93555651  73.90369293 -78.65347663  43.98567418  50.76851557
  58.99115264 -66.4902642  -16.03477602 -38.42073554  48.01095684]",200.39277235499875,84347
17,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-54.93639746  47.08548908 -30.20563329   4.56524088 -53.49620247
  16.3171769  -37.92459896  24.65271664  30.2743226   39.70429937
  -7.91327738 -66.58854836 -43.36366043  66.13405831 -55.61950787
  52.13072486   6.13477991  79.38158482 -67.49191201  -9.17153678
 -62.93558912  73.90369482 -82.53770347  43.98567642  50.7685354
  58.99108428 -66.49028561 -16.0347501  -38.42089651  48.01095685]",211.7233453027176,80456
18,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-54.17089974  47.0855607  -30.20556773   4.56530322 -53.49620688
  16.317109   -37.92460012  24.65264176  30.27432438  39.70425217
  -7.91335995 -66.58857897 -43.36368269  66.1339735  -55.61941903
  52.13073206   6.13480156  79.38155427 -67.49191374  -9.17147695
 -62.93558146  73.90369539 -79.70300045  43.98567434  50.76851561
  58.9911623  -66.49026126 -16.03481037 -38.42073407  48.01096479]",200.2338305158075,83565
19,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.97496696  47.08552822 -30.20559297   4.56530203 -53.49620515
  16.31711077 -37.92459453  24.65265461  30.27432046  39.70425495
  -7.91334478 -66.58858019 -43.36368494  66.1339773  -55.61951705
  52.13071635   6.13478961  79.38155466 -67.49191536  -9.17147681
 -62.93555658  73.90369235 -78.97750193  43.98567437  50.76851528
  58.99115292 -66.49026442 -16.03477605 -38.42073545  48.01095739]",200.0847423023872,81244
20,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-52.1197027   47.08552729 -30.20561321   4.56526279 -53.49618841
  16.31708904 -37.92456306  24.65264178  30.27431093  39.70427142
  -7.91332636 -66.58858578 -43.36364685  66.13395975 -55.61951266
  52.13072182   6.13478948  79.38161557 -67.49192292  -9.1714452
 -62.9355484   73.90370917 -72.10505146  43.98564967  50.76850672
  58.9911605  -66.4902737  -16.03473824 -38.42072835  48.01094232]",254.9223373536172,85315
21,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-52.72443148  47.08552555 -30.20559466   4.56530269 -53.49618929
  16.31711097 -37.92459474  24.65266376  30.27431891  39.7042533
  -7.91334468 -66.58857342 -43.36368036  66.13399127 -55.61951159
  52.13071953   6.1348158   79.38155445 -67.49191597  -9.17148906
 -62.93554855  73.90369063 -74.34514015  43.98567406  50.76851601
  58.99114865 -66.49026281 -16.03477912 -38.42074055  48.01095875]",225.90279946378632,86476
22,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.91090097  47.08551834 -30.20557015   4.56504684 -53.49652399
  16.31730418 -37.92470504  24.65265991  30.27411104  39.7043715
  -7.91340909 -66.58869376 -43.36366914  66.13398864 -55.61762626
  52.13073223   6.13509788  79.38160865 -67.49191993  -9.17111347
 -62.93556233  73.90371348 -78.74309541  43.98565388  50.76851271
  58.99069184 -66.49025734 -16.0348517  -38.42114871  48.01115276]",206.15911669307744,87597
23,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-50.50653851  47.085515   -30.20570325   4.56613333 -53.49599049
  16.3176914  -37.9235018   24.65263851  30.27399709  39.70423905
  -7.91324417 -66.58805847 -43.36368546  66.1338711  -55.61945786
  52.13070466   6.13495646  79.38119475 -67.49210131  -9.17169188
 -62.93553593  73.90385446 -66.12928804  43.98569992  50.76756565
  58.99123244 -66.49040692 -16.03479205 -38.42033211  48.00765914]",405.8212599256559,81068
24,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.52118879  47.08586539 -30.20564155   4.56535396 -53.49572394
  16.31706123 -37.92458693  24.65270713  30.27446286  39.70422175
  -7.91330666 -66.58864402 -43.36373132  66.13376718 -55.61952472
  52.13063134   6.13574859  79.38196148 -67.49221652  -9.17136771
 -62.93562341  73.90371801 -77.29629265  43.98564178  50.76851956
  58.99135081 -66.48968941 -16.03406354 -38.42146114  48.01065243]",208.0018105352495,80473
25,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.67490853  47.08553921 -30.20561317   4.56529463 -53.49626399
  16.31710434 -37.92459424  24.6525784   30.27429184  39.70426516
  -7.91334357 -66.58858641 -43.36367547  66.13397855 -55.61948228
  52.1307364    6.13479295  79.38150169 -67.49192838  -9.17144783
 -62.93556829  73.90368951 -77.86598034  43.98567553  50.76852228
  58.99113461 -66.49026617 -16.0347704  -38.42072792  48.01095179]",202.1086361286252,82985
26,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.73418801  47.08548707 -30.20561222   4.56519747 -53.49618252
  16.31708244 -37.92442708  24.652538    30.27430169  39.7043347
  -7.91331376 -66.58855393 -43.36370356  66.13381147 -55.61953221
  52.1305537    6.134747    79.38115156 -67.49158907  -9.17149692
 -62.93554336  73.90374955 -78.08558627  43.98555279  50.76849009
  58.99114426 -66.49022871 -16.03489883 -38.4209984   48.01102211]",202.20358588320835,83088
27,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.81644732  47.08553394 -30.20562391   4.56530877 -53.49620561
  16.31712041 -37.92458282  24.65263474  30.27433999  39.704246
  -7.9133636  -66.58858371 -43.36334974  66.13394809 -55.6196083
  52.13070583   6.13479532  79.38151406 -67.49192497  -9.17147393
 -62.93554221  73.90370729 -78.39032738  43.98572417  50.76847841
  58.99121064 -66.49027586 -16.03475321 -38.42073617  48.01096288]",200.9526736470564,84297
28,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.97665945  47.08552447 -30.2055915    4.56530423 -53.49620476
  16.31711035 -37.92459476  24.65264996  30.27432169  39.70425511
  -7.913341   -66.58857223 -43.36368705  66.13397412 -55.61951332
  52.13071667   6.13478765  79.38155124 -67.49191394  -9.17147592
 -62.9355509   73.90369061 -78.98375996  43.98567097  50.76851444
  58.99115362 -66.49026587 -16.03477882 -38.42073679  48.01096041]",200.08139517491583,81420
29,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-54.08469229  47.0855241  -30.20559638   4.56530019 -53.49620309
  16.31711102 -37.92459364  24.65265696  30.27432063  39.70425313
  -7.91333527 -66.58857955 -43.36368406  66.13398303 -55.61950807
  52.13069831   6.13479112  79.38155213 -67.49191502  -9.17147375
 -62.93555801  73.90369489 -79.38395896  43.98567588  50.768517
  58.99115481 -66.4902744  -16.03477668 -38.42073767  48.01096461]",200.0177436456395,83733
