execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,reduction_speed_factor,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[189.19897879 108.61099172 -29.53558335 145.93130401  -7.28212419
 127.05680376 133.32411293  27.70621756  66.28439761 150.5410276
 -54.31068405  75.56006087  73.66781375 -39.07757192 109.72342924
 -65.82497789  29.80955591  67.11507179  53.38047886  72.98401501
  70.32602172 -37.94387302  34.04610664  60.50896095  30.47242407
  42.26728198 120.64315855 -21.00906855 -26.32461088 -47.90463857]",831687.8519598298,165731
1,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 54.29511178  46.99075955 -50.58676712 114.54267864  48.98083222
  51.43364646  46.41376796  21.12761898  70.29002405  79.01097844
 -54.83655061  75.18544002  73.38147609   9.34027892 101.02395616
 -65.81224557   7.98936384  66.91126381  33.79350159  74.0234845
  32.35831273 -98.49475435  67.5083719   64.36315611  29.73158601
  41.68958093  83.78436372 -15.48798342  30.61345333 -43.55179879]",230681.11843071872,164615
2,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[135.72218472  47.62278755 -41.14680598 112.98611044  -3.50758172
  63.07261887  87.62455105  48.68920996  68.62865469 125.32298231
 -54.34812815  75.32117924  73.52137422 -25.15120294  74.63348667
 -90.14418563  29.06733716  67.11188437  75.78352797  73.77167022
  55.77227494 -55.8111568   30.05591133  73.78950975  30.25057945
  41.90753302  85.40117199  -0.82714688  28.06186221 -55.56260708]",715347.5046505335,170975
3,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[215.4078104  102.20507285 -23.84494883 198.59108641 -16.98513052
 238.73777063 215.01698442  31.09933881  63.53256939  84.98880081
 -54.75668043  75.40948302  73.65538227 -24.20948737 165.25679989
 -64.80966528  44.54308152  67.28945929  59.97560549  73.09349504
  91.19712619 -36.98629701  39.08030557  44.5647951   30.8141211
  42.23256365 175.55153758 -25.72757828   1.82825461 -61.43392798]",1486146.6757137163,165960
4,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[184.04093113 103.90280203 -30.62926756 171.26190167 -22.57205178
 149.09278716  74.54729879  30.49869986  69.24256554  83.66313655
 -54.88476429  75.19952858  73.37251398 -26.19420209 193.05665741
 -73.36251506  16.97199986  66.84740505  63.492081    73.92987966
  23.84462099 -32.8140694   36.50009298  34.3767109   29.604941
  41.72166669 138.72433883 -11.41869525   2.44439048 -63.47253631]",617665.894909393,162019
5,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[234.41365187 107.23056406 -19.71827421 128.65819246  -1.29532329
 130.77709818 154.3374414   32.65324181  68.55738708 144.22473554
 -54.5504481   75.61435958  73.45612952 -34.90608498  77.06822169
 -75.03572987  20.7888698   66.86192907  48.89280272  72.1222327
  55.72372324 -42.73768212  38.2725213   93.28679546  29.72563677
  41.86884311  92.98913537 -11.19914655 -24.95450088 -46.8784383 ]",868003.5804721783,167682
6,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[168.7941544  101.81159156 -33.96600764 136.52715736 -22.41350812
 100.76467489 117.06224123   4.46023062  65.69606246 101.21985293
 -54.66386527  75.35298609  73.34371706 -30.84490238  98.66918577
 -41.81107779  21.65080385  67.00415406  65.42338569  73.23049116
  75.46800228 -32.15929963  33.11528375  57.19679505  29.74617876
  41.51369929 115.20910137 -38.66708805  -1.46712509 -61.01410676]",668669.4848295152,158922
7,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[203.01969214  64.12985965 -26.53474077 161.49022965  -0.26177239
 185.18538044 159.01302479  21.91014561  65.28133677 162.01715323
 -54.79428957  75.01923353  73.3395653  -35.54514159 136.8824732
 -58.52002388  31.35481556  66.91168344  67.88092205  74.40401966
  40.44870912 -51.74279924  28.2973254   76.43886087  29.5855199
  41.54305285 121.7619756  -27.29071725   2.72434895 -47.74028923]",946915.3742426943,173058
8,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[159.24966826  72.58758328 -36.0383683  140.12026742   1.07710821
 125.64866316 134.55467839  38.75051453  66.1056267   62.21419888
 -54.83481907  75.18247948  73.27699951  -7.77926488 101.60471441
 -76.12529498  36.02903067  66.57432883  58.05732301  73.8833357
  63.13792522 -58.80152658  48.06718698  69.98192772  28.8777101
  41.50481696 111.2121696  -14.00466739  27.76405735 -60.84342868]",714502.9530202386,163953
9,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[176.06010275  58.81035504 -32.38837272 114.291787     7.27025411
  52.93465151 102.32539372  10.44277919  68.52243237 111.28675504
 -54.83321626  75.23724199  73.37270655 -17.8001994   60.00725407
 -51.92227125  11.40415023  66.71921474  61.93782628  73.77281937
  88.23387818 -62.48292609  40.51908183  62.47257275  29.36669671
  41.69131129  97.66259598 -27.61244463  21.25940096 -52.79069985]",507893.2201681281,162530
