execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.32128587  47.08552594 -30.20559246 -14.5113524  -53.49620066
  16.3171139  -32.45787044  24.65263689  30.27431844  39.70425315]",593.8821456038463,15128
1,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.25150574  47.08551971 -30.20559073  -9.54375711 -53.49621914
  16.31711353 -33.8814699   24.65264592  30.27432807  39.70428161]",415.88075708374265,14571
2,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-53.85612974  47.08545991 -30.20586158  18.31254698 -53.49632135
  16.31719893 -41.86444922  24.65273219  30.27452944  39.70443208]",404.9289971423647,19741
3,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.43783341  47.08562014 -30.2052885  -22.74129587 -53.496255
  16.31686375 -30.09967096  24.65232466  30.27429248  39.70428644]",1007.33833862052,26340
4,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.59683773  47.08551388 -30.20604835 -33.94917845 -53.4960779
  16.31734299 -26.88764673  24.65261933  30.27368112  39.70396517]",1806.295780879101,15946
5,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-55.278693    47.08554763 -30.20559129 -82.03920288 -53.4961093
  16.31706979 -13.10692457  24.65263294  30.27436677  39.70422044]",8317.824833087032,10445
6,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.35666607  47.08547116 -30.20563713 -17.01122931 -53.49613312
  16.31715044 -31.74160287  24.65261273  30.27429947  39.70437476]",703.9082242573252,19159
7,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.96723806  47.08545092 -30.2053121  -59.97713561 -53.49603883
  16.31719799 -19.42866422  24.65234192  30.27437477  39.7040412 ]",4711.179414869646,14782
8,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-53.4077096   47.0854489  -30.20552589  49.92595379 -53.49615293
  16.31704804 -50.92332196  24.65271757  30.27432373  39.70430359]",2427.002547780894,28141
9,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-53.21276579  47.08563636 -30.20551785  63.53557842 -53.49620588
  16.31717578 -54.82662039  24.65263843  30.27422106  39.70408255]",3978.527868975512,26253
10,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-53.08352292  47.08517517 -30.20543706  72.64315715 -53.49550985
  16.31778788 -57.43324924  24.65256152  30.2739014   39.70394812]",5222.822671028815,28829
11,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.23211433  47.08600805 -30.20552092  -8.23697905 -53.4961492
  16.31712574 -34.25588293  24.65262027  30.27453474  39.70432732]",377.8675657014048,16542
12,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-55.050798    47.08634911 -30.20577641 -65.9553308  -53.49632763
  16.31684069 -17.7161785   24.65244297  30.27393257  39.7047064 ]",5583.820328891155,16406
13,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-53.06306829  47.08699256 -30.20677702  74.23877275 -53.49598061
  16.31536681 -57.89050516  24.65239667  30.26995651  39.70546095]",5483.779572966537,21628
14,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.2547099   47.08562273 -30.20557842  -9.75513768 -53.49620831
  16.31710734 -33.82091329  24.65279323  30.27433882  39.70427779]",422.7279143965217,17228
15,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-52.98432983  47.085881   -30.20648138  79.86363424 -53.49725023
  16.31664007 -59.50213636  24.65260603  30.27478378  39.70356185]",6342.209491630093,16362
16,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-53.85338295  47.0855139  -30.20579113  18.49473424 -53.496042
  16.31707725 -41.91622496  24.65264985  30.27422356  39.70428824]",410.1200136387315,23673
17,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-53.13263607  47.08406117 -30.20540441  68.61643752 -53.49749494
  16.31804339 -56.27853252  24.65302344  30.27472882  39.69902497]",4781.656672557631,18090
18,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-53.06848001  47.08569513 -30.20417963  74.05018536 -53.49760847
  16.31812368 -57.83558114  24.65268694  30.27330099  39.70449303]",5447.300222570669,10451
19,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-53.13152997  47.08544493 -30.2053048   69.44042846 -53.49542332
  16.31732192 -56.51611732  24.65100919  30.27307729  39.70554384]",4762.938439737974,13777
20,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-55.27551369  47.08543794 -30.20559488 -81.60660956 -53.49621524
  16.31705384 -13.23104398  24.6529449   30.27462784  39.70362693]",8246.695236113796,12664
21,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.82111043  47.08539403 -30.20657662 -49.78250992 -53.49623837
  16.31703608 -22.35038912  24.65262312  30.27535928  39.70367929]",3399.534043724344,21717
22,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-55.22986184  47.08560915 -30.20555883 -78.46904369 -53.49592565
  16.31716046 -14.13003262  24.65278548  30.27415623  39.70421339]",7666.033952003552,11524
23,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-53.18585785  47.08522251 -30.20562814  65.57487294 -53.4960386
  16.31709183 -55.40780793  24.6528635   30.27453295  39.70344684]",4229.54630339257,14104
24,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-53.74976265  47.08590359 -30.20559666  25.77407863 -53.49598471
  16.31762735 -44.00228015  24.65288446  30.27400915  39.70398045]",687.7734065364283,16220
25,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.87651514  47.08535581 -30.20484014 -53.57795439 -53.49642465
  16.31725478 -21.26015958  24.65385337  30.27410762  39.70469962]",3870.6186331379936,19061
26,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.15171281  47.08550164 -30.20544872  -2.52130717 -53.49618853
  16.31711361 -35.89376438  24.65267118  30.27436756  39.70426186]",254.55858787611407,23810
27,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.67785894  47.08555532 -30.20545858 -39.65743338 -53.49646405
  16.31723738 -25.25215216  24.65256827  30.27423746  39.70456388]",2317.078800248883,13391
28,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.33704998  47.08552121 -30.205594   -15.62124538 -53.49620858
  16.31709985 -32.13982788  24.65266956  30.274324    39.70426814]",641.0475361717397,17475
29,f2,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.29625878  47.08544965 -30.20574201 -12.74887797 -53.49625215
  16.31701794 -32.96303543  24.65280122  30.27433134  39.70431281]",524.533561560711,21702
