execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f1,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  69.4360867    41.21674384  -43.6720678    65.41083898  -41.39533202
  -73.37047633    5.85758928   59.14956366   84.50573709  -27.75781588
  -55.41189996   75.07561217   67.31039379    1.1016331    13.02800766
 -121.11087784  -34.54193565   60.14330592   95.84828783   74.27633555
   81.61727967  -35.86855513   34.72610143   59.85839343    7.26057509
   29.60847106   55.41227237   41.28992176   87.69534606  -92.66020827]",3041320.018510337,218831
1,f1,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -11.91996065  111.15480441  -69.66145412   74.70658531  -37.19698105
 -135.48067889 -150.11059161  -99.6805256    77.40207663  -52.17901334
  -55.71677363   74.56912883   67.71740484   -6.11897741  101.70489267
   18.53249996 -100.58599416   60.6292061    44.18103613   75.16931486
   16.52629314    0.42645868   51.8174779    11.83435439    9.56623145
   30.72133913   58.89550434  -62.60809618   19.78832915  -92.09042393]",3531747.070942976,186016
2,f1,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  38.29720376   39.91080816  -64.17874396   80.73243509   12.19519831
  -81.18307112 -108.31863948    4.64698845   73.57899431  -82.25208313
  -55.01088394   75.20577468   68.48519541   37.58323183  110.06568788
  -58.35571289  -18.350985     60.52070761   51.88368293   73.69234456
    0.37097581  -78.29835073   73.74741197   34.04369925    9.75931226
   31.90596623   55.83713524  -15.5622398    91.23894338  -81.53470997]",1219515.4768410684,171704
3,f1,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  55.08524436  171.1923598   -55.60110281   52.78518844    7.81207878
  -32.19103353   -7.73534985 -118.71584209   83.46439889   59.07584263
  -54.9281637    75.08284519   76.85822915   -9.51067671   28.75600385
   51.97719424 -119.74121695   72.13734594   15.59344823   73.89466462
  -17.88238232  -51.89240466   70.18391796  117.39830763   44.65276124
   48.14908797    3.02103969  -79.47205212  -42.04999523  -49.1935263 ]",2592996.9020417514,200695
4,f1,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 52.18701567 100.51540522 -60.30176058  37.33028465  11.18680731
  16.38489678 121.37163998  -5.54703054  72.42166723  83.25923109
 -54.83780717  75.23346905  72.6637515  -12.07049586 -59.29525027
 -43.25034604 -15.12952422  65.79282565  39.1512777   73.18542967
  18.5881656  -58.37981813  54.86249256 175.16323981  26.52635909
  40.34233504 -18.08612617 -28.16148364  -3.22033867 -51.80555135]",734276.4468119186,159726
5,f1,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  74.82403315   97.46460545  -55.78952662   52.15343374 -100.37491538
   -5.63789723   12.96281748  -34.55068549   48.03496073   27.79348664
  -53.89412062   76.15154218   69.74163708  -46.40279349   26.42273888
   31.05662971   91.10508205   62.31759607  112.74756959   71.07067601
  -35.49298146   34.20926055    1.56499955  137.77095342   15.17336222
   34.35423226   -7.57333581 -115.2886491    34.34694918 -102.17254088]",4696186.490861244,207886
6,f1,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  48.21407055  -47.47947899  -57.60677396   89.95399185   54.35615308
  -47.09068238    9.43534473   13.53396993   56.21490694  229.1612811
  -55.33356346   74.88590007   70.33176581  -24.08842204   50.66948587
  -34.86665536   70.79582601   62.58060651   75.30016449   74.83895945
   91.40132233 -105.80745221   27.43994832   35.74845964   16.7700641
   35.77317462   85.38646091  -56.76485754   50.50487894  -29.03897046]",1160819.1400585766,200114
7,f1,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  58.09353994  112.03743127  -61.8746933    54.03713619  -41.295157
  -71.21389607  -77.91945522 -106.07373073   89.07577598  153.30874767
  -54.0450292    76.05251927   69.68814626  -53.3128634    65.07746499
   35.59482112 -138.66157837   62.54119923   79.34283724   70.80707564
  -27.98202306  -13.80776739   15.14022634   85.76550952   15.61536209
   34.40287429   12.13389594  -59.0452813   -20.00791939  -58.87864706]",1847518.511082116,168287
8,f1,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  48.92619378   10.46453529  -60.65413138   78.74660499   35.74917818
  -63.91116345 -108.86192401   12.19684659   66.45395447   48.34070395
  -56.69118078   73.48348714   75.58276177   11.33723669  115.77750189
  -46.48889142   26.02212679   69.05183787   50.31739979   78.66894564
  -31.15916549  -86.78331657   58.54597379   52.51521526   37.01469802
   46.00514477   40.53233162  -35.36708811   62.65969187  -57.64340256]",732277.1979870052,169066
9,f1,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  55.56740078   -2.19080262  -63.77646126   47.7756064   113.11970688
  -40.2254458   -45.4118381   -18.96895768   79.99961195   27.75158937
  -54.83504509   75.38482481   71.27700105   52.62086566   44.69667927
  -41.83852414  -56.5877142    63.0913006     0.9585345    73.21534239
  -58.39779487 -156.04410825  103.78854022  125.70631407   19.42173354
   37.92433022  -14.45754258  -18.71546573   66.13748923  -33.07138869]",1034524.1614541288,169652
