execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,reduction_speed_factor,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-44.34458512  47.0854521  -30.20543874   4.56496099 -53.49593497
  16.31769697 -37.92454327  24.65099126  30.27496379  39.70382305
  -7.91321377 -66.58831211 -43.36413695  66.13413714 -55.61989251
  52.13081144   6.13465145  79.38064579 -67.49213686  -9.17180817
 -62.93621073  73.90359383 -43.30493907  43.98486174  50.76859282
  58.99122662 -66.49022096 -16.03482795 -38.42078853  48.01120302]",1602.2409071149957,79930
1,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-54.07136627  47.08552905 -30.20559645   4.56530258 -53.49620539
  16.31711097 -37.92459287  24.65265314  30.27431675  39.70425269
  -7.91334216 -66.58856919 -43.36369439  66.13398137 -55.61951512
  52.130727     6.1347892   79.38155668 -67.49191418  -9.17147948
 -62.93555917  73.90369098 -79.33466482  43.98567546  50.76852282
  58.9911503  -66.49026325 -16.03477179 -38.42075116  48.01094107]",200.0077640012486,80418
2,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-58.88248614  47.08545129 -30.20556636   4.56527855 -53.49625718
  16.31713601 -37.92459849  24.65265729  30.27426131  39.70424593
  -7.9133722  -66.58861474 -43.36378202  66.13395225 -55.61952959
  52.13063232   6.13470019  79.38166809 -67.49191424  -9.17149653
 -62.93562453  73.90368781 -97.15657506  43.98565484  50.76850051
  58.99131014 -66.49011074 -16.03470708 -38.4206878   48.01090984]",543.8663052764807,82399
3,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-54.43954486  47.08549687 -30.20569242   4.56530088 -53.4962029
  16.3171099  -37.92458713  24.65266371  30.27439743  39.70424587
  -7.91338497 -66.58856516 -43.36368521  66.13399932 -55.61950604
  52.13067317   6.13481219  79.38155592 -67.49191017  -9.17147896
 -62.9355554   73.90369303 -80.6984679   43.9856919   50.7685148
  58.99114103 -66.49026472 -16.03471709 -38.42073376  48.01095832]",202.27092641814068,81190
4,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-52.27167798  47.08556354 -30.20555611   4.5652795  -53.49618821
  16.31709867 -37.92453581  24.65269004  30.27435523  39.7042857
  -7.91333487 -66.58858003 -43.36350462  66.13394133 -55.61949503
  52.13080384   6.13470173  79.38148747 -67.49193865  -9.17150916
 -62.9356831   73.90371295 -72.66871053  43.98576232  50.76846725
  58.99112418 -66.49021622 -16.03488653 -38.42081549  48.01101242]",246.80320060287025,83746
5,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.42588363  47.08466354 -30.20554475   4.56502461 -53.49622118
  16.31709016 -37.92475273  24.65361149  30.27430894  39.70433549
  -7.91304721 -66.5886696  -43.36395139  66.13433755 -55.62041712
  52.13064      6.13505528  79.38169486 -67.49181527  -9.17150946
 -62.93526698  73.90369619 -76.94335568  43.9856937   50.76839995
  58.99095598 -66.49027078 -16.03485065 -38.42068475  48.01096217]",209.74013129334247,83310
6,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-51.0658071   47.08565143 -30.20556509   4.56519942 -53.4961967
  16.31714728 -37.92483051  24.65294451  30.27423813  39.70400081
  -7.91324956 -66.58855773 -43.36355505  66.13398484 -55.6194776
  52.13063207   6.13477612  79.38203594 -67.49185842  -9.17153685
 -62.93557935  73.90356998 -68.209198    43.98587602  50.76842537
  58.99052674 -66.48998164 -16.03477215 -38.4207884   48.01095824]",337.577596922843,86112
7,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-51.70872464  47.0855056  -30.20558906   4.56530009 -53.4962004
  16.31710985 -37.92459418  24.65266619  30.27431948  39.70425812
  -7.91330129 -66.58857603 -43.36368077  66.13399481 -55.61951554
  52.13070617   6.13478648  79.38155255 -67.49190975  -9.17147366
 -62.93555842  73.90367939 -70.58251767  43.98566538  50.76852318
  58.99114328 -66.49024722 -16.03477087 -38.42075905  48.01094988]",280.7638710321089,82181
8,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.00957413  47.08548939 -30.20558939   4.56528166 -53.49626797
  16.31744981 -37.9245963   24.65274528  30.27427526  39.70421263
  -7.91331291 -66.58858017 -43.36356565  66.13401274 -55.61917944
  52.13067103   6.13480159  79.38157104 -67.49245747  -9.17150008
 -62.93528176  73.90365158 -75.400729    43.98567922  50.76848097
  58.99113661 -66.49017777 -16.03461577 -38.42077532  48.01087535]",216.81174784885343,82035
9,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-54.1352924   47.08554421 -30.20558694   4.5652941  -53.4962075
  16.31708376 -37.924604    24.65267616  30.27438799  39.70422233
  -7.91349961 -66.58858641 -43.36372122  66.13397015 -55.61951812
  52.13063994   6.13479436  79.38151892 -67.49200652  -9.17152632
 -62.93555612  73.90373461 -79.57130229  43.98569709  50.76849312
  58.99116093 -66.49033212 -16.03478296 -38.4209493   48.01095641]",200.23305078104457,88504
10,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.51109151  47.08552684 -30.20542124   4.56529942 -53.4962091
  16.31711743 -37.92467401  24.65263125  30.27430201  39.70426258
  -7.91334929 -66.58859996 -43.36366205  66.1339985  -55.61951665
  52.1307285    6.13476743  79.38156468 -67.49190957  -9.17151098
 -62.9355442   73.90369299 -77.25913595  43.9856212   50.76850565
  58.99114977 -66.49029114 -16.03490527 -38.42078626  48.01094969]",204.3961511053737,85499
11,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-50.19932122  47.0855691  -30.20558542   4.56532698 -53.49641201
  16.31710261 -37.92459994  24.65266654  30.27418125  39.70420752
  -7.91324272 -66.58857356 -43.3634563   66.13391985 -55.61953364
  52.13068725   6.13480336  79.38153961 -67.49201574  -9.17159254
 -62.9354597   73.90371764 -64.98167151  43.98566621  50.76850876
  58.99101488 -66.49028477 -16.03467523 -38.42073692  48.01111586]",425.14207148174586,86970
12,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-50.73425551  47.08551757 -30.20559428   4.56528962 -53.49626179
  16.31706295 -37.92460039  24.65263785  30.27429519  39.70427383
  -7.91335822 -66.58856669 -43.36366814  66.1339538  -55.61953164
  52.13080712   6.13478197  79.38159045 -67.4919254   -9.17145232
 -62.93554917  73.90364019 -66.97195014  43.98567092  50.76842603
  58.99117517 -66.49028388 -16.03472297 -38.42073225  48.01097454]",362.0487636089764,81243
13,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.30013509  47.08597355 -30.20514201   4.56534501 -53.49594928
  16.31713232 -37.92481125  24.65289598  30.2747783   39.70424667
  -7.91333964 -66.58818142 -43.36374104  66.13411787 -55.61946562
  52.13103505   6.13484652  79.38223356 -67.49192704  -9.17145535
 -62.93556852  73.90370082 -76.4776144   43.9868544   50.76882262
  58.99138205 -66.49034749 -16.03639298 -38.42066152  48.01100835]",217.81378391048307,83390
14,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.8315804   47.08552959 -30.20559394   4.56524326 -53.49619884
  16.31711026 -37.92459366  24.65264369  30.27431735  39.70426188
  -7.91334923 -66.58856826 -43.36368228  66.13398057 -55.619527
  52.13074307   6.13483636  79.38155448 -67.49185074  -9.17149178
 -62.93555547  73.9036846  -78.44633055  43.98567646  50.76854139
  58.991145   -66.49027542 -16.03476761 -38.42073691  48.01095048]",200.72609985466377,80155
15,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-52.08032993  47.08552429 -30.2055931    4.56529955 -53.49620412
  16.31711218 -37.92459502  24.65265504  30.27432033  39.70425809
  -7.91334311 -66.58857831 -43.36368435  66.133975   -55.61952033
  52.13071505   6.13478862  79.38155153 -67.49191124  -9.1714761
 -62.93556033  73.90369148 -71.95919312  43.98567304  50.76851126
  58.99115241 -66.49026478 -16.03477765 -38.42073703  48.01096795]",257.1641652895476,80378
16,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-49.68058624  47.08546709 -30.20559363   4.56528315 -53.49616186
  16.3171614  -37.92462865  24.65257816  30.27435839  39.70422735
  -7.91312997 -66.58855306 -43.36374485  66.13397212 -55.61950611
  52.13079783   6.13470232  79.3815389  -67.49198789  -9.17145357
 -62.93553767  73.90369462 -63.06890404  43.98573716  50.76852429
  58.99121063 -66.49024641 -16.03474916 -38.42071398  48.01105117]",481.3995961888518,82455
17,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.9123138   47.08552784 -30.20560265   4.56530117 -53.49619092
  16.31710936 -37.92459343  24.65265261  30.27432028  39.70425438
  -7.91334786 -66.58857842 -43.36368518  66.13397338 -55.61952004
  52.13071628   6.13478634  79.38155426 -67.49191538  -9.17147751
 -62.9355556   73.90369223 -78.7454047   43.98567387  50.76851395
  58.9911523  -66.49026489 -16.03476928 -38.42073588  48.01096024]",200.2829657255262,80100
18,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-52.48239045  47.08553273 -30.20560162   4.56531894 -53.49620698
  16.31700753 -37.92456466  24.65263198  30.27428978  39.70428429
  -7.91336598 -66.58859972 -43.36367549  66.13395028 -55.6195271
  52.13079763   6.13486423  79.38155717 -67.4918332   -9.1714796
 -62.93559021  73.9036913  -73.44842811  43.98567584  50.76849609
  58.9911947  -66.49025865 -16.0347567  -38.42070778  48.01099525]",236.26848539149867,82720
19,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-52.48579977  47.08553539 -30.20559293   4.56535872 -53.49625439
  16.31709259 -37.92459359  24.65267201  30.2743502   39.70425105
  -7.91339301 -66.58856733 -43.36360901  66.13401406 -55.61951105
  52.13072892   6.1348099   79.38156076 -67.49189094  -9.17149077
 -62.93556849  73.90367626 -73.46110987  43.98575118  50.76850823
  58.99110327 -66.49021061 -16.03477589 -38.42079121  48.01097877]",236.11465712067945,82680
20,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-51.10703545  47.08561248 -30.20554921   4.56530709 -53.49622979
  16.3170771  -37.92455331  24.65263182  30.27448038  39.70421521
  -7.91333304 -66.5886115  -43.36363796  66.13386609 -55.61932641
  52.1307311    6.134871    79.38155291 -67.49183585  -9.17144328
 -62.93562289  73.90364011 -68.35375556  43.98566878  50.76852023
  58.99115517 -66.49011582 -16.03488008 -38.42072326  48.01095232]",327.8224728907451,85789
21,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-53.70736542  47.08553524 -30.20558849   4.56528533 -53.49620122
  16.31714031 -37.92458377  24.65264253  30.27434467  39.70418681
  -7.91334545 -66.58852684 -43.36372751  66.13395616 -55.61951696
  52.1307059    6.13478863  79.38157364 -67.49189416  -9.17147741
 -62.93555735  73.90369903 -77.98621358  43.98566881  50.76849803
  58.99115446 -66.49017514 -16.03472133 -38.420732    48.0109362 ]",201.7703410346532,84148
22,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[-51.31009686  47.08603975 -30.20553924   4.56005498 -53.49680694
  16.31737917 -37.92487009  24.65253443  30.27443437  39.70535392
  -7.91378851 -66.58870627 -43.36389496  66.13385108 -55.61918014
  52.13158507   6.1351518   79.38134562 -67.49138407  -9.17137284
 -62.93573806  73.90348869 -69.10599791  43.98560681  50.768366
  58.99134508 -66.48982678 -16.03512866 -38.42092972  48.01126975]",377.85838433673473,84448
