execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 10.75068638 -41.42604373  14.06671918 -68.99955747 -88.53151538
  38.93683124 -29.61632767  24.60992355  39.86103402   0.94208947
  21.28727738 -64.71641617   2.50325243  38.00699281  44.50175583
 -68.10147995 -23.15664896 -16.3811452   47.335999    45.98189422
  60.25970154 -21.17553293 -65.03624678 -74.70398425  41.09422271
 -69.96681999 -26.02187607  37.95184885  17.89630342  58.96315124]",952.7327392543256,202293
1,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 21.96860346 -58.86672696  42.33792442 -47.69905761 -77.56629121
  31.35671112 -62.25659897  23.68019415  35.06064974  25.66878386
  60.19020995 -65.44082611  85.30109885  95.48145745  74.79109798
 -35.34897507 -31.90004237 -22.45059613  36.97230712  32.70451446
  93.55137196 -53.48576672 -59.7923755  -66.13335221  75.58475055
 -62.51638712 -21.28830901 -29.47340907 -65.16804182   0.50130575]",946.763015184118,160445
2,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 29.32591063 -87.91243218  46.12207463 -89.04426796 -69.77541164
  38.41964961 -32.87219285  45.79160692   6.95212095  89.06529639
  43.87039048   9.46580364  -8.40127233  43.2989547   54.16867675
 -62.18211528 -41.96983928 -62.93000159  21.94848248  38.16945079
  38.83279676 -41.08248442 -30.44524947 -74.8267845   22.0368974
 -84.14488136 -54.64646151 -27.87934157 -47.20585969  57.38530093]",981.1983017735828,217347
3,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 49.40823173 -85.17737381  38.91327665 -80.37002929 -66.28526761
  -4.75215202 -34.39419731  10.56859858  41.03606974  17.08305097
  34.04814721 -50.44829579  17.03356869  38.39892297  35.00443977
 -86.8635553  -15.69209488 -48.46568273  57.24314566  30.22654665
   8.88806021  23.88732596 -82.66551956 -31.55144873  41.60012934
 -50.38722362 -30.0156555   26.28335923 -72.62614449 -12.61832292]",950.742846374672,190862
4,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-26.10836581   1.72627268  19.77853377 -56.07777141 -51.78582764
  36.28849834 -92.2701985   34.52182801  20.7144677   -3.33793571
  43.02006763 -50.58057015  10.65685466  86.25784145  52.63244042
 -50.07995802 -46.38903321 -10.56661542  65.35591977   2.25353666
   0.34682191  -3.27262237  -5.80514969 -30.95287685  85.97199484
 -92.41002652 -13.04983037  69.7443175  -45.02777952  31.33807811]",987.5560224874476,192437
5,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -9.75007786 -50.29177743  39.28543266 -34.77324463 -82.05118959
  11.58524124 -49.820721    34.52092716  20.72357816 -33.81075342
  14.21697676 -50.35805612  57.46823028  84.5818586   55.85912394
 -94.0745847  -18.61833669 -50.69934837  30.69674674  12.28650825
  56.44997653  -3.26387364 -38.3997738  -48.69522633  53.0981947
 -92.43973855  31.81095993  -9.49857213 -24.99340323  38.8304343 ]",966.6639120520812,204766
6,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-11.032141   -93.44863095  49.02788004 -92.51603385 -43.96865063
  -7.13032365 -41.99557779  25.07478925  42.26123247  48.0112644
  48.39672843 -39.21243189 -15.0326116   72.82422322  16.21394036
 -80.98551814 -18.6820691  -14.45840401  25.18399598  30.13515575
  57.39036548  -5.02037452 -37.15185762 -92.44399881  50.37707461
 -80.05233074 -15.70470976  34.61198915  -8.63834668   7.59767008]",954.7226775652264,164256
7,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 13.82036658 -15.41480412  63.7052247  -81.99078066 -82.52910475
  60.56318591  28.00682316  52.25482702  36.92592972  21.89549375
  53.4174719  -92.9721204   21.53253684  76.64576945  88.06404792
 -92.42232564 -22.82354211  -3.16232769  25.56737027  21.02653252
  44.39852774 -23.27541447 -56.66259434 -65.83389312  80.85437379
 -58.84343824  -9.14914496  -1.80606265 -35.90934111  35.83019437]",971.6369210598413,201623
8,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  2.199799   -67.45633855  39.48444074 -69.66538016 -31.68275654
  43.21225937 -41.86222335  20.46932255  20.05898394   3.79890493
  20.29971697 -71.87587078  -2.95535543  22.79861664  41.61717758
 -40.18501154   4.47770426   0.39800051  40.62198695  -1.32677164
  43.21779315 -62.41469823   0.84636361 -83.60058099  75.94613665
 -89.10142099 -27.68057699  40.8699325  -29.34256643  56.36332838]",987.8258886029266,205503
9,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 53.70245056 -67.99219048  15.9309541  -85.02797827 -89.83889358
  18.01713563 -14.02761725  34.05961146  18.31989464  17.01333917
  37.95923055 -42.86540859  55.23579727  92.47820531  70.79416321
 -78.76566685 -45.76432021 -42.06319658  46.16306696  34.84983231
  46.18890134 -19.41713055 -43.08291712   3.39297572  49.19914168
 -58.30014397   6.86975993  -1.74707039  -1.94706703 -19.74266703]",950.8357865963904,193247
10,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 39.37884445 -58.86672952  45.37196616 -83.26197998 -48.38267039
  41.97735502  -1.79124169  35.6578146   90.20461819  -9.99344373
  45.12872065  -7.78013054  18.56787069  87.46152452  54.38515263
 -55.52629015 -60.946053    11.05546018  -9.80472708  48.53171598
  78.4055035  -50.17591421 -42.47080923 -66.13335265  24.43852961
 -74.50049932  12.32942222 -11.32743224  -7.82142628  55.22751853]",962.68226401526,189165
11,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 50.20350574 -50.29600783  27.14343554 -88.3794772  -97.04975164
  31.93099983 -39.75505597   3.41962066  72.76831509  -3.3295305
  39.78374699 -26.37042849  75.57210522  93.56586745  90.55125876
 -38.514602   -59.32862847 -34.11107134  27.75730472 -13.93384657
  95.2964532   -1.2665701  -16.22446472 -48.69300239  59.07843108
 -74.54809088  -1.49265343  53.27773637 -84.49126699  17.29476196]",971.6369245306868,207241
12,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 58.10691384 -41.42604376  26.70290228 -39.78199468 -89.94494187
  27.66318684 -63.88463325  12.86574288  51.2219406   34.83075674
  61.77284204 -42.56039166  53.62874938  41.19559143  64.78153938
 -41.94596592 -50.40175134  -8.88620498  63.86900424   9.80348925
  33.79912579   0.48206094 -11.42702598 -74.70398421  -1.56846563
 -38.16639781 -50.28434308 -53.01266408 -36.29139273  83.72950235]",978.6016041184072,194923
13,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  9.64289019 -41.42604366  51.30075504 -91.50755885 -79.86161321
  27.10111818 -15.78124297  21.84791548  27.27497752  55.78422607
  58.13562399 -46.18284      7.33394188  24.44720188  88.29009162
 -48.70756592 -19.93340476 -13.74458401  43.94493251 -12.408321
  60.44452694 -13.92534383 -79.56828265 -74.70398421  58.36971086
 -52.29324527 -33.41146067 -17.66593108 -90.0972793   60.59653803]",952.7327594510392,193100
14,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 25.68905442 -67.43735896  24.52959452 -75.79960853 -61.26212091
  45.72122284   3.64514654  26.23594443 -17.04306089  16.72445956
  66.29375424 -24.7345238   13.28066639  84.25906911  46.9828239
 -80.7129163  -48.83012409 -19.53937808  47.70222067  20.56019702
  44.20295056  18.47757582 -60.28141401 -83.57403595  -9.43894383
 -89.73245197   2.72200821 -12.82699475 -77.52268079  54.97326631]",970.6418656224662,207105
15,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 31.02513562 -32.85515376  44.01575203 -11.06822538 -38.06565535
  36.32457521 -70.48562984 -21.88048264  85.89104075  53.20725413
  24.93568574 -46.69962462  52.62256633  83.16293663  34.98015434
 -94.44805836 -26.79174637  13.25682994  25.20514586 -10.51091066
  70.26553071 -22.77713289 -38.51421597 -57.26330096  -1.07691038
 -49.67869396   7.0957905   -0.48616306 -85.41505304 -53.6756953 ]",983.6005458737972,210373
16,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 25.16149217 -76.30741059  19.1788063  -92.2852443  -91.57492318
  21.24780293 -30.05080066  38.65124872  38.68599828  19.89567447
  63.89936131 -45.0332009   36.54123041  84.98406839  89.10014277
 -24.13708066  -4.09852182 -34.06769567  19.26972208  13.79200306
  -9.24596241 -66.2383921  -22.32558238 -57.56272027  89.88324851
 -62.65813595  -6.36532389  29.33075045  -9.80913924  -8.33376269]",964.6722378638158,165618
17,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 23.67006309 -49.99667573  32.38392079 -30.15598453 -77.62445575
  42.38720953 -34.69142539  37.74869968  35.70071034   9.02113105
  28.64614338 -21.19322003  22.6013527   91.05523685  81.83026153
 -79.16804429 -14.54875505  -2.39405488  50.96632979  12.05013333
  60.04753924   5.63226424 -42.41407197 -92.14466773  -4.9477095
 -65.45698571 -16.4616003    7.26959855 -66.82834196   9.1288844 ]",936.8134548855376,204719
