execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
19,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.668,True,"[-0.5, 3.0]",2.0,2.0,"[-2.29628162e-04  5.19883862e-05 -1.74097369e-06  3.07081994e-06
 -5.33908762e-06  1.38944452e-06  5.77941859e-07  2.44859578e-07
 -2.03430853e-07  2.39116360e-08]",0.0,26348
20,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.64825,True,"[-0.5, 3.0]",2.0,2.0,"[ 4.78445389e-05 -7.04390932e-05 -2.37025405e-05 -1.87483874e-06
  2.62090851e-07  3.75852511e-06  5.72134921e-07 -9.69556334e-08
 -1.05596130e-07  1.58147370e-07]",0.0,27563
21,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.667,True,"[-0.5, 3.0]",2.0,2.0,"[-6.21304539e-05 -5.97586397e-05 -4.44218308e-05  4.83643272e-06
  5.89807233e-06  1.02434346e-06  4.58139257e-07 -3.50597629e-07
  4.41268405e-08  6.75959684e-08]",0.0,26981
22,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.68305,True,"[-0.5, 3.0]",2.0,2.0,"[ 2.51071148e-05 -1.05141654e-05  2.30118742e-06 -2.64047514e-06
 -1.71879510e-06 -7.69967072e-07 -1.82874484e-07 -3.21792950e-07
 -6.35709373e-07  1.74836280e-08]",0.0,22343
23,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.65315,True,"[-0.5, 3.0]",2.0,2.0,"[-1.23500316e-05  1.00026492e-05 -6.13344450e-05 -2.09924219e-06
 -6.27382623e-07  3.91275297e-07 -1.04082487e-06  3.28683329e-08
  1.09842116e-08 -1.75649514e-09]",0.0,28905
24,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.68765,True,"[-0.5, 3.0]",2.0,2.0,"[-9.41904322e-06 -2.86541744e-05 -1.54553141e-05  9.96639411e-06
 -2.17143836e-06 -2.89197599e-06  1.98593244e-07 -4.96852706e-07
 -4.71740583e-07  1.42178104e-08]",0.0,22879
25,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.6615500000000001,True,"[-0.5, 3.0]",2.0,2.0,"[-1.78381638e-05  8.22332582e-07  3.75373031e-05  4.81857489e-06
 -7.86731152e-06 -1.97559806e-07  1.31343635e-06  1.38736456e-07
 -1.87399938e-07  5.76960808e-08]",0.0,26220
26,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.66005,True,"[-0.5, 3.0]",2.0,2.0,"[ 1.04076900e-04  6.38157922e-05  7.67972916e-06  1.65600737e-05
 -2.35617951e-07 -2.97727753e-06  6.84811642e-07  4.16359352e-07
  1.37143413e-07 -7.32363577e-08]",0.0,28358
27,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.66145,True,"[-0.5, 3.0]",2.0,2.0,"[-5.64549832e-06  1.45765191e-05  2.12620103e-05 -2.88191711e-06
 -5.47634737e-06 -2.75687544e-06 -8.36274438e-07  9.87461982e-07
  1.59527296e-07  1.73695168e-08]",0.0,28153
28,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.6476500000000001,True,"[-0.5, 3.0]",2.0,2.0,"[ 8.74985859e-07 -3.76041932e-05  3.97071581e-07  9.30545389e-06
  1.29766693e-06  3.95668731e-06 -1.49797157e-06  3.27918760e-07
 -1.56223578e-07 -1.17743890e-08]",0.0,30725
29,ProblemFuncNames.F1_BASIC,10,10,100000,"[-100, 100]",0.6312500000000001,True,"[-0.5, 3.0]",2.0,2.0,"[-2.71872742e-06  3.07479689e-05  1.03776244e-05  1.02016360e-05
  5.92407168e-07 -2.44250841e-06 -6.02052615e-07 -1.06375204e-06
 -1.30356068e-07  9.92152144e-08]",0.0,31623
