execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f9,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 12.16629472 -51.36976937  48.40698327 -62.44165044 -38.95873505
  22.76288044  -5.59373468  48.78873549  41.57942713   0.24871041]",905.9697543425598,35884
1,f9,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 14.62708312 -45.64755764  73.29767644 -97.09472657 -82.7411635
  29.86581805 -44.95820927  17.94099596  18.49750084  30.0166648 ]",912.9344576665746,34369
2,f9,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 31.31279776 -47.67173096  45.56692157 -60.6874449  -70.14621991
  29.86581835 -41.39871509  17.94099602  27.6557679   30.01666454]",902.98487717128,39908
3,f9,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 28.85200905 -53.39394239  -6.10375689 -99.30529359 -49.84914972
  15.16391716 -14.68398277  31.27885104  50.7376941   -3.39723062]",910.944539552388,38573
4,f9,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 46.79667979 -71.71664798  41.36989497 -55.62077028 -36.34530304
  30.11184092 -37.5765442   42.10168013  27.36607813  16.93946852]",906.0823442994312,49470
5,f9,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  12.70876117  -56.84252913   40.02053396  -58.89207756 -117.38538721
   16.27102126  -41.91133958   -8.89471361   30.70276706  -19.92042148]",916.914288858734,41668
6,f9,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 47.70765103 -77.30922682   3.00287866 -65.55723199 -65.55340013
  15.16391732 -21.1677378   31.2788513   16.38937657  -3.39723056]",908.9546264760206,44782
7,f9,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  31.85528035  -53.14451576   43.86489018  -83.41384529 -102.9715174
   -1.14106495  -24.33202759   36.43273642   16.7791081     5.83413908]",909.949585533114,40798
8,f9,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 29.39447437 -58.86671628  65.06867824 -76.02426927 -40.97109101
  38.57179752 -48.01595907  -4.7227826   39.86102367  17.13891221]",907.9596675395328,33932
9,f9,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 29.39449161 -58.86672713  12.75379931 -73.22566777 -50.96570764
  13.56083573 -24.47636956  23.09488127  39.86103396  39.24803399]",903.9798362283732,31047
10,f9,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 48.5409946  -55.16868862  29.72938586 -79.19689779 -61.37489369
  22.51486762  -6.50169096  24.6099237   25.93737508  13.30971705]",903.9798362283732,36341
