execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f7,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 57.62794308   9.07257769  69.27008248  31.46675212  14.77259078
  51.02640612  60.40928733  78.22585865 -79.91641998  58.4701746 ]",700.0911276479629,13580
1,f7,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.33310711   9.93650358  69.09696687  32.46009052  12.6434018
  50.06593056  60.23616162  78.24550633 -79.7151708   58.21592934]",700.032013427657,13188
2,f7,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 55.36103496   9.18684015  69.80542951  31.46304407  13.33565423
  51.52702293  60.60470348  79.25712269 -81.48144235  57.29658034]",700.1082386498047,12152
3,f7,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 57.17392599  11.8232505   68.3761154   30.47341398  12.50724399
  51.57180004  61.83737368  78.20621077 -80.11766913  58.72441971]",700.1009628398306,11675
4,f7,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.01827271   9.92777739  68.19856097  31.20757239  11.99856564
  51.38418228  59.38651421  76.18442719 -79.12107007  57.92936124]",700.0959103687183,12340
5,f7,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 54.60804723   8.6841435   67.84515289  30.05824252  12.32408957
  50.29787525  60.56716563  79.94954282 -79.56874338  57.67148828]",700.1230737137621,12490
6,f7,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.64794169   9.94522955  69.09872205  32.46009045  13.98586505
  49.35530732  61.08580915  78.24550636 -79.71517079  58.21592935]",700.0418461392023,13689
7,f7,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 54.26563906   7.95194438  68.7374187   28.72961947  13.24655438
  50.46355387  62.63501889  79.26519572 -78.31534707  57.71591434]",700.1994304099827,11638
8,f7,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 57.72369797   8.8343249   68.73566339  32.79910808  11.9040917
  51.17417671  61.66499802  77.87892953 -79.6047965   59.59951423]",700.0910589152926,12675
9,f7,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 55.16957284   9.66295275  67.48550602  33.11441747  12.92700159
  50.69572846  58.09275546  78.63170865 -79.62428344  56.57819442]",700.1822442721437,12606
10,f7,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.20978313   9.45127132  68.91497332  29.48007518  13.7552332
  50.65117129  61.89793546  78.1865631  -80.31891823  58.97866507]",700.0615852765483,13716
11,f7,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.11402791   9.68952435  68.55986403  32.46009061  12.73787556
  50.27593643  60.64222468  78.24550636 -79.71517082  58.21592932]",700.0172410209153,12602
12,f7,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 55.13402655  10.5621762   68.73741865  30.13810401  13.24655454
  50.4635537   61.31874659  77.54152294 -78.66302003  58.5144294 ]",700.0540788802357,13617
13,f7,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.64794156   9.94522952  68.37787084  33.13812563  13.84970662
  50.86117692  61.08580906  77.51235263 -79.49442212  60.98309929]",700.1131193607189,13638
14,f7,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.20978319   9.45127118  68.37787054  31.5428822   13.84970695
  50.86117701  61.8979354   76.84911364 -80.57571853  58.13935084]",700.0565990210392,14085
15,f7,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.97070439   8.33164185  68.73742724  33.21054629  13.24655166
  50.4635559   61.62747748  77.16687314 -81.71874226  59.47867513]",700.1081749023002,11922
16,f7,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 57.18185526  10.2009348   68.91497324  29.14476589  13.75523324
  50.65117118  61.52939359  77.52187536 -78.86426931  58.76867487]",700.0910614594251,14857
