execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,reduction_speed_factor,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  9.18597293  45.852118    86.43705745  78.56495061  13.92734418
  42.60582487 -27.98205033  79.03143943  90.26690659  47.50146755]",1400.064393497843,26682
1,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  3.76089484  41.10582116  86.79488773  85.54406458  -2.77707259
  23.85184135 -15.25020875  62.23901896  69.37680529  39.98730924]",1400.1156689487684,25164
2,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  9.20838937  38.30514994  96.75513623  79.04020864  -1.79378692
  40.67348408 -19.57303861  83.64933268  66.90715614  35.16944451]",1400.104852145117,23019
3,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 10.42987912  46.46485122  96.63149639  71.93497324   4.36557829
  41.01936943 -13.4020551   77.75743952  63.9892811   57.59631114]",1400.1393714424785,26159
4,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  1.70074612  37.45396041  99.46781044  84.82466229  11.34244911
  33.02443401 -22.00396991  75.01706841  80.04241184  46.78143828]",1400.0821694020592,23678
5,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 14.5951109   50.41539842  78.40194213  74.07501146   3.35575426
  48.51186174 -13.06592636  57.4689552   77.23187118  43.97031035]",1400.1076381217815,29546
6,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ -3.3776416   45.61925277  86.12001009  75.41458277   9.19540725
  26.04164736 -17.70174343  91.64054541  78.7314076   56.33461128]",1400.1801258087223,24182
7,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  0.50913863  41.95440072  80.67094194  75.42265411  18.66439806
  53.05830567 -24.50381638  70.94302847  74.07259948  45.96864061]",1400.130021524444,22558
8,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 18.43615558  41.26091398  78.0164124   83.11304288   2.06131441
  33.26743243 -25.35100328  81.88556245  69.51707703  38.99735932]",1400.06773840437,25625
9,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 17.71251612  53.44462726  88.03408226  71.92199898  -1.13814293
  46.72916649 -17.96291565  78.96517991  61.95304608  46.81748379]",1400.0879421830073,25621
10,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  2.92019679  39.94835765  93.69513274  67.06659151  12.05783029
  21.61085548 -19.86735134  76.12035124  66.05705758  53.07680751]",1400.169904358017,24136
