execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f9,30,10,29999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 13.95021173 -58.46492994  47.60347739 -84.84291188 -23.24761458
  46.04405883 -38.35640901  23.37317088  41.80837563  -7.40766819
  42.40519893 -32.55833669  -1.07301206  66.09086533  32.50506537
 -82.3750834  -41.54916609  22.14438293  19.17321579  -6.37616804
 105.9718017  -20.99141115 -62.52501735 -22.49222153 109.62173608
 -40.63897425  33.9013626   33.44229817 -39.18739335  -0.43958017]",1004.052597638348,177500
1,f9,30,10,29999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 26.53958799 -84.87103129  20.81079099 -33.63137958 -54.28000479
  24.49161527 -60.23277864  66.29211224  35.75047366  74.1792659
  32.84007416 -53.07065037  84.2101221   70.04071131  50.05429453
 -39.79426887  -5.9777952  -41.5254615    0.88107365 -22.70720088
  52.15354997 -68.31549361 -38.03061356 -75.02166963  43.5849255
 -36.54183726 -10.8178769   37.40979082 -21.06421298 -34.66762238]",968.4941745802806,155405
2,f9,30,10,29999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 18.94868693 -15.24450648  21.01550539 -74.39223478 -23.3440802
   5.94729905  -0.38957393  12.92549894  51.40297451  23.54071474
  32.81109894 -80.39210694  39.94184514  38.54336043  45.58788663
 -27.67116154   2.53284706 -11.16338731  18.00128647  -6.96114711
  40.93394113   0.40009499 -43.47803594 -65.53731716  81.77727611
 -81.31097026   2.86528769  21.22263936  -7.50650984  38.62460708]",975.5189827209206,141815
3,f9,30,10,29999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  61.87472288  -76.00682799   40.44984789  -22.20066537  -54.32685167
   35.51490677  -40.09024783   -2.10556459   47.59675741   16.71595314
   36.38689356  -29.79206293   25.00540722   42.82535254   57.07402924
  -58.29099279   -6.95463962  -21.42380901   14.8795434    14.14657947
   26.2013996    13.23459919  -29.85754978 -101.01589152  105.34796796
  -43.35148213   -8.83163059   -4.19051255  -38.05869889   69.01927885]",947.7584257600254,142471
4,f9,30,10,29999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  21.54777798  -58.30398177  -19.20009376  -19.1843924   -61.31298812
  -16.19266533  -24.82065589   48.73118543   22.08178482  -42.50616194
   53.66472982  -48.99536933   11.20994681   43.9981178    84.39758086
  -25.6326941    13.92935497  -67.48705839   23.69440157   -1.90809318
   63.34505599  -32.05546405  -60.01753187 -109.76989931   35.89046865
  -16.07321584   22.94858914   19.54254163  -28.3027491    25.78521094]",995.539629533838,153479
5,f9,30,10,29999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 43.93937834 -67.6222046   17.99656785 -21.75220576 -61.28038723
  45.95523429 -44.70035679  40.95067038 -12.9236904   45.19135141
  38.04634113 -41.77379571  49.06834597  44.96149888  85.86113091
  -0.28108613  33.39978228   5.93101747  53.89322906  -8.96057884
  25.0428014    5.72425217 -45.77115555 -40.11257965  45.87492571
 -31.48046373 -51.0339951   39.151541   -32.11582116  17.3881766 ]",992.516844434439,167294
6,f9,30,10,29999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 36.01196915 -42.06038692  27.93984088 -86.29754104 -81.42841115
  -2.67296509 -42.5292329   26.88501086  56.04401683 -29.85422707
  63.27401702 -66.52012892  22.95863181 101.59085563  22.55811224
 -49.35820534   0.3547045  -44.1892869   23.76560637 -50.44977831
 -28.99188079 -12.00405357 -35.96273147 -73.4725642   62.43031049
 -57.34231236 -52.38793474  16.00409976 -77.3605593   32.26486072]",1003.843442571944,177680
7,f9,30,10,29999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  35.18572612  -76.5323044    26.50049734 -106.13097969  -50.81990868
  -17.37198424    6.52179495   21.79583169   27.31071315   13.07012885
   51.90134332  -61.11805832   43.25450831   79.73916189   43.82487156
  -80.73686088  -45.90532791  -40.09287498   32.46951959  -14.08351008
   84.31773278  -13.91225291   -9.57411596  -58.42732233   32.26920613
  -55.97647339  -17.99720217   52.25599943  -43.94644176   22.74751868]",955.6956538223805,158769
8,f9,30,10,29999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  6.9105623  -32.76046997  34.06952554 -58.66252977 -69.96740221
  47.94919418 -15.44837832  -0.28489042  55.80147999  18.89293153
  49.18668391 -54.06490933  25.21127208  33.82967862  87.11389948
 -80.9351073  -46.85397157  -3.94247681  45.29872586  21.17371069
  28.58825443 -26.40679785 -34.16263001 -57.26620878  73.62296995
 -49.96832463   4.1586037   -0.54942753 -27.93599458  24.78841127]",941.9884953445112,136716
9,f9,30,10,29999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 4.71029747e+01 -2.42846017e+01  1.97351571e+01 -8.13714771e+00
 -4.66438453e+01  5.25234764e+01 -3.09715474e+01  2.69067949e+01
  5.00482015e+01  4.51930701e+01  3.16435137e+01 -4.13417870e+01
  3.07915127e+01  7.14733496e+01  6.92984820e+01 -5.51633599e+01
 -6.82846237e+00 -3.08729581e+00  2.37226583e+01  2.16110686e-03
  2.80963013e+01 -4.45805579e+01 -2.90144832e+01 -3.98215745e+01
  4.32370237e+01 -7.56585604e+01 -5.09125833e+01  2.84696025e+01
 -3.19916843e+01  1.73564879e+01]",943.7786518236182,173256
