execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,total_pais_cruzamento,tipo_selecao_pais,total_pais_torneio,tipo_cruzamento,taxa_cruzamento,tipo_mutacao,taxa_mutacao,elitismo,best_ind,best_fitness,out_bounds
0,f7,10,50,21,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[13.608912218786458 31.265917893054677 44.83352732230864 44.41111989406957
 32.615640620020145 13.608912218786458 31.265917893054677
 44.83352732230864 -73.78895375694844 32.615640620020145]",0.0120793322697057,0
1,f7,10,50,8,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[80.76839116527438 22.048162529325936 93.91914966393492 -9.982650599847773
 9.26936320407465 80.76839116527438 24.73444141112178 93.91914966393492
 -57.96519801703208 71.89786417311717]",0.0129920582946491,0
2,f7,10,50,22,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[77.90401278922897 47.67995172418006 60.635174491615345 32.39355808794153
 56.331885133216275 5.327684770566663 47.67995172418006 74.02917867380029
 -94.9597152658502 56.331885133216275]",0.0167813801001176,0
3,f7,10,50,78,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[21.805488752112893 -16.12141127041258 45.43041574934185 24.04970133216588
 41.21123671680127 21.805488752112893 -16.12141127041258 45.43041574934185
 -97.05704325027983 41.21123671680127]",0.00861186573086,0
4,f7,10,50,4,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[75.35630053435091 78.93025846334777 52.59872825507324 71.23675418556351
 42.68348659809237 75.35630053435091 78.93025846334777 52.59872825507324
 -63.584998456651974 42.68348659809237]",0.0077440072934033,0
5,f7,10,50,63,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[84.54992278913397 69.99600647723872 82.94686802349241 -16.269179992620096
 46.11825320134042 84.54992278913397 69.99600647723872 82.94686802349241
 -30.616623563743886 46.11825320134042]",0.006596376040187,0
6,f7,10,50,30,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[60.18683804761304 2.5880372171276775 55.84679070520539 34.05793923495446
 9.649871760613777 60.18683804761304 96.94945889026283 91.21598988191556
 15.006296764803565 32.44211741826936]",0.0090596905616833,0
7,f7,10,50,51,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[33.80264817678275 7.811340136327189 66.58802174675515 77.80477911384182
 36.980807412022756 33.80264817678275 7.811340136327189 66.58802174675515
 -63.71914218852661 36.980807412022756]",0.0153049099553363,0
8,f7,10,50,41,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[64.1252547126129 92.9245163867879 47.62355458992488 26.622542533852837
 44.51715972522189 64.1252547126129 92.9245163867879 47.62355458992488
 6.365264909474931 44.51715972522189]",0.0050735767022352,0
9,f7,10,50,81,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[40.70583476027764 23.01135955540019 87.03019653061176 16.861527151380315
 -9.759258807025375 40.70583476027764 23.01135955540019 87.03019653061176
 -53.484115041752275 89.63034071537436]",0.0157585040498255,0
10,f7,10,50,65,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[54.26412865334919 38.35492151529331 22.5458363858108 -12.07895244508191
 52.41336039597516 22.94034259603393 38.35492151529331 22.5458363858108
 -52.65782470396792 62.66321673416081]",0.0065723656157781,0
