execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,mutation_strategy,mutation_perc,crossover_perc,best_ind,best_fitness,out_bounds
0,f1,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 50.52353466  64.96589061 -59.72037519  66.15075888  21.21896568
 -64.76297472 -35.48369456   7.45718283  73.17691132  74.37470144]",330.8989121547044,2637
1,f1,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 54.04690814  64.92474597 -59.7541935   66.0914752   21.31938564
 -46.53671572 -35.16790738   7.41278735  73.15396132  91.22207776]",743.6091239402921,3570
2,f1,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 50.39400354  64.96656222 -59.64641289  66.23420476  21.46918241
 -64.20152554 -35.08880146   7.5433455   73.22504465  74.56072999]",101.43793004226129,4455
3,f1,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 50.24385302  64.93182037 -59.6933873   66.16014643  21.20819523
 -64.96720551 -35.4093574    7.48858363  73.19356463  73.85088665]",100.81825662604712,4392
4,f1,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 50.20597436  64.91873697 -59.75251993  66.13147375  21.08699146
 -65.11053607 -35.55210086   7.42003474  73.15344614  73.70408483]",101.94922913499492,2438
5,f1,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 50.40680245  64.90320086 -59.66570284  66.31069058  21.324755
 -64.21800534 -35.22866365   7.51316777  73.21284447  74.56816824]",105.15371320955592,3327
6,f1,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 52.07318993  64.92577167 -59.7148443   66.12141294  21.05106253
 -56.60337341 -35.63049794   7.4644906   73.17958836  81.87847428]",287.8064919645446,2166
7,f1,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 50.26872219  64.92105127 -59.77352165  66.1658264   21.2110972
 -64.8132056  -35.38643707   7.40045497  73.13978661  73.98617635]",101.993676075005,4390
8,f1,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 50.34925     64.98013723 -59.7206159   66.38614929  21.54638355
 -64.40783465 -35.0326486    7.45811569  73.17689295  74.36390849]",104.61381197097457,4088
9,f1,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 50.40315186  65.00009989 -59.65349816  66.34645694  21.52106783
 -64.1378165  -35.09977531   7.5365246   73.2215416   74.61655048]",105.19817684231744,2597
10,f1,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 47.32927851  65.00905157 -59.78736002  66.27609345  21.42642066
 -77.3731754  -35.26049201   7.37602597  73.12830367  61.66822149]",990.535805272465,4679
11,f1,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[  43.10842909   64.92689758  -59.68247718   66.14004      21.17808623
 -100.          -35.43969086    7.5006306    73.2008439    40.96990651]",2537.4943617367985,3240
12,f1,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 47.56714929  64.94510171 -59.7295056   66.08612372  20.94217889
 -79.41717445 -35.81074855   7.44725538  73.16690361  60.65239683]",816.8141578090443,2302
13,f1,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 49.92911472  64.93077178 -59.65964366  66.18546343  21.17797676
 -66.51461379 -35.42896323   7.5250238   73.2158984   72.40165326]",112.73443574766972,2073
14,f1,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 44.77531888  64.89138893 -59.75055175  65.91462364  20.66509841
 -90.52358931 -36.08392335   7.42335554  73.15414215  49.49758026]",1677.2604348431728,3193
15,f1,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 50.69975745  64.9152904  -59.74543538  66.16794924  21.16570433
 -62.74053836 -35.44088914   7.43042911  73.15983026  75.94158433]",108.02807117751183,4925
16,f1,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 53.69174122  64.87123661 -59.78062821  66.0998954   21.09400632
 -47.2017583  -35.47230393   7.38793386  73.13439874  90.28643121]",773.5833162446899,2393
17,f1,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 50.31985814  64.98153696 -59.66489854  66.18628574  21.34450315
 -64.52444096 -35.29065043   7.52178365  73.21300929  74.24552341]",102.19050567736514,3935
18,f1,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[  50.35578088 -100.          -59.68211218  100.         -100.
  -64.39357508   21.09411003    7.50103994   73.20109176   74.38212713]",21150344.730420537,5255
19,f1,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 51.63622821  64.93019515 -59.73938793  66.05684148  21.19679399
 -58.4110272  -35.39441354   7.43229032  73.16432066  80.08340109]",186.26936414955287,2871
20,f1,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[  50.35584012   59.01060216  -59.68210292   49.29880763  -31.52501965
  -64.3932482  -100.            7.50105287   73.2010993    74.38242236]",34052.539685940064,1566
21,f1,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 50.38150859  64.90245491 -59.66494043  66.04857171  20.91893911
 -64.28996907 -35.76127756   7.52112594  73.21304695  74.48575519]",101.06230531150004,2993
22,f1,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 50.50551853  65.02948497 -59.88423308  66.19147353  21.53004287
 -63.14680725 -35.10152392   7.28013987  73.06558063  75.40351246]",163.5229786327752,5212
