execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,mutation_strategy,mutation_perc,crossover_perc,best_ind,best_fitness,out_bounds
0,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 56.86702097  10.19220873  68.02451649  31.46675216  14.17481252
  49.77531902  60.67974605  78.22585862 -79.91642017  58.47017459]",700.0344624041611,142
1,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 56.4288547    9.69824815  68.73741864  32.21673907  13.24655444
  50.46355382  61.49186073  78.96152914 -99.92728771  58.50520093]",703.6390057708162,180
2,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 57.40093452  10.44791399  68.92116738  30.549544    13.47718605
  49.16769033  61.12333048  76.82946641 -80.77696763  58.39359616]",700.0886001515913,72
3,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 56.64794173   9.94522968  68.73741869  32.46009065  13.24655446
  50.46355379  61.08580925  78.24550641 -79.71517076  58.21592933]",700.0147797767548,153
4,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 55.35579138   9.14440877  68.73880683  31.73723985  14.57918995
  49.7403034   60.58383209  79.22117308 -79.1483453   60.17403309]",700.0890861420239,202
5,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[  56.64794101    9.94522942   68.91321746   32.22509077   12.41277288
   51.36179149   61.08580871   78.96398996 -100.           58.50471103]",703.6611080675591,141
6,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 55.77162462   8.95731294  68.37611531  30.47341376  12.50724383
  51.5718003   62.71006173  78.2062107  -80.11766915  58.72441968]",700.0813048254367,156
7,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 56.34103642   8.31418794  68.91497328  31.12773414  13.75523325
  50.65117119  59.92818155  78.59243542 -80.02679434  57.08658931]",700.0491931140878,184
8,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 55.87432925   9.48559187  69.27451263  31.4667523   13.15208223
  50.25355146  61.05814344  78.22585852 -79.91642005  58.47017495]",700.0213672881849,251
9,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 56.33310709   9.93650365  68.55986409  31.46675205  12.73787548
  50.27593645  60.23616163  78.2258586  -79.91642002  58.47017456]",700.0098572846078,187
10,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 55.35310554  10.80915561  69.098722    30.47341382  13.9858649
  49.35530756  60.91268346  78.20621076 -80.11766907  58.72441962]",700.0541278282853,146
11,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 55.1419556    8.93986076  68.73741869  31.80577007  13.24655439
  50.46355384  61.01076653  77.85928156 -79.80604545  59.85376014]",700.0344551091023,163
12,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 56.33310701   9.93650383  68.73741871  30.4734136   13.24655441
  50.4635539   60.23616167  78.20621083 -80.11766914  58.72441988]",700.0123160725195,149
13,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 56.11402788   9.68952443  68.38406467  31.46675204  13.57166003
  49.37769565  60.64222477  78.22585857 -79.91642006  58.47017453]",700.0221512420148,169
14,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 54.81919157  10.55345064  68.73741872  31.46675211  13.24655443
  50.46355381  60.46909906  78.2258586  -79.91642004  58.47017467]",700.0221414386446,162
15,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 56.55218634  10.18348278  69.09872211  31.46675208  13.98586514
  49.35530727  59.83009848  78.22585854 -79.91641986  58.47017448]",700.0369310359798,166
16,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 57.40890768   8.82551159  68.20032564  32.45997091  13.34098544
  50.67361917  60.81527203  78.24547038 -79.71515744  58.21581629]",700.0442977529297,179
17,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 56.11605428   9.69483627  68.55862661  32.45913045  14.08275719
  49.56646325  60.64338611  78.24487323 -79.71483116  58.21595306]",700.0251172581383,158
18,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 56.33310708   9.93650355  68.73741869  29.55249828  13.24655444
  50.46355384  60.23616165  77.84108343 -82.5432381   57.47424739]",700.108184675827,148
19,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 56.8749484    8.56989577  68.02451786  37.10776576  14.17481076
  49.77532044  60.37176663  78.62220717 -80.25444549  58.79252058]",700.3347371169914,182
20,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 55.79919711   9.68079952  69.27450956  31.54889715  13.15208288
  50.2535526   59.7925829  100.         -81.07035124  59.55472511]",704.3182178100308,168
21,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 55.66793999  10.81788187  69.27452147  31.46675217  13.15208068
  50.25354802  61.76233111  78.2258586  -79.91642008  58.4701746 ]",700.0369138442936,143
22,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 55.58011421   9.43381906  68.7374187   31.80206211  13.24655448
  50.46355379  60.19864027  78.89054668 -81.37106944  58.68016464]",700.0294811239648,198
23,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 56.86702092  10.19220887  68.20031583  32.46009048  13.34102819
  50.67355968  60.67974608  78.24550636 -79.71517085  58.21592939]",700.0295521836928,219
24,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 56.10520115   9.69870066  68.73744219  31.46674975  13.24632492
  50.46383506  60.64273009  78.22585897 -79.91640815  58.47016819]",700.0004741976926,144
25,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 55.58011403   9.43381922  68.73741869  32.46009059  13.2465544
  50.46355385  60.19864025  78.24550633 -79.71517079  58.21592937]",700.0147797767548,221
26,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 56.11402784   9.68952438  68.55366994  31.12773421  13.0159227
  51.75941753  60.64222472  78.59243546 -80.02679441  57.08658933]",700.054118038847,235
27,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 56.14976599   9.66279969  68.90742901  31.80583195  13.75573216
  50.6656672   60.62341771  78.89101879 -81.36836015  58.67062715]",700.0460429442246,161
28,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 56.42886232   9.69825056  68.55986407  30.47341353  12.73787558
  50.27593642  61.49187236  78.20621083 -80.11766913  58.72441979]",700.0246370610603,235
29,f7,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 56.33310715   9.9365035   68.91497326  30.13810382  13.75523326
  50.65117122  60.2361616   77.54152277 -78.66301975  58.51442952]",700.0442584372306,144
