execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,reduction_speed_factor,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f7,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 54.82712143   8.93113495  69.27452099  31.31449196  13.15208075
  50.25354818  60.16111908  80.97934734 -78.59782306  59.13182151]",700.122920361026,13123
1,f7,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 54.81919207  10.55345015  69.45207589  30.54954413  13.66075951
  50.44116538  60.46909905  76.82946626 -80.77696752  58.39359624]",700.0737958080423,13169
2,f7,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.6479415    9.94522957  67.84076814  31.46304405  13.94418042
  51.07118267  61.08580907  79.25712267 -81.48144228  57.29658036]",700.1057577243578,12457
3,f7,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 53.83641332  11.4236394   69.27366287  31.545985    13.42280329
  51.73390335  61.12741679  75.83602359 -78.96843223  59.322837  ]",700.1967199424603,13490
4,f7,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.74369673   9.70697651  69.62963029  33.78873789  14.16943814
  50.62878279  62.34151972  78.92984158 -80.96857002  58.17167427]",700.1354057038876,12609
5,f7,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 57.32103615   7.441539    67.84076901  31.39433028  13.94418
  51.07118226  59.2516608   78.57133787 -77.69210308  59.97459018]",700.1991771379812,13009
6,f7,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 55.90287757   7.82023039  68.19856096  32.04494225  11.99856576
  51.38418208  60.74030794  79.98882659 -79.16624717  57.16316877]",700.1180811387118,12933
7,f7,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.34103638   8.31418805  69.27276616  32.46009026  11.80961771
  50.96417116  59.92818159  78.24550634 -79.71517091  58.2159294 ]",700.0664488146879,12273
8,f7,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.75162557   8.08466175  68.91497323  29.89151601  13.75523305
  50.65117111  62.03353978  77.47450695 -82.43286372  58.85783126]",700.1377860059389,13370
9,f7,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 55.36103492   9.18684002  69.27627657  31.39062203  14.49454355
  49.54292504  60.60470347  79.60260325 -79.25712138  58.80099816]",700.0639606369413,13106
