execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,reduction_speed_factor,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f14,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ -8.98976021  30.69965381  81.14226126  57.68881282  -6.89668918
  35.12921028   8.99257583  81.67643181  80.73624375  50.36436552
  -6.84137027   6.42234987 -26.02792159  60.83068956  47.76895977
  67.54145284  -9.38141166  32.07875879 -55.8504858   68.06018499
  18.92293888 -28.255557    57.86373838  39.29340432  56.386296
 -35.32249852  46.32479558  36.07464498 -27.36807359 -23.13194247]",1400.2459251043324,235506
1,f14,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[  8.84676444  36.39957113  85.1855015   52.11489795   2.29027881
  35.33651082  -3.04285279  83.55599844  73.97733578  45.95968835
  -6.1238081    1.91352605  -2.56126823  52.14081033  52.4642802
  60.66220671   4.45543399  19.87752763 -37.25589931  72.4600529
  -1.61182442 -14.03137576  47.54043211  40.79272369  49.77957007
 -26.63151395  31.47046122  36.93501678 -42.73222328 -20.45387345]",1400.23879816333,230903
2,f14,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ -2.74011273  41.45681275  90.42906743  68.55971265  -1.20288667
  31.39037489   9.50496346  80.79648176  78.52612563  47.34293068
   1.03743099  15.13818945 -21.44802038  70.46072569  50.91748282
  62.3613833    2.31336317  14.59833721 -41.65010556  78.45232987
  10.66174012 -24.05486562  61.42496177  39.94472676  62.1391126
 -32.12735099  27.44160083  37.22589354 -46.99693116 -14.14504562]",1400.2358785055355,241890
3,f14,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-10.66405153  35.57418416  84.40921644  70.14581564  15.77799686
  32.56312496   3.58975851  77.7917837   84.66257747  58.3247511
  -5.50687326  16.52307439 -23.96177282  53.94382061  62.36436954
  60.26219649   3.86599076  24.39115972 -35.3828741   72.81110272
  -2.44242452 -20.47722949  53.08260214  43.71528101  52.15230264
 -30.61463159  28.49121188  26.49295473 -51.1223066  -15.8831453 ]",1400.294231494351,243840
4,f14,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ -2.8714386   41.3138509   85.97519717  65.95087584  16.19828727
  36.45191318  -0.24995935  85.60149237  82.1430051   46.19748161
  -8.18570006   5.7507047  -10.59017474  51.37689154  54.51051512
  54.91399059   2.15604362  13.69883406 -28.60682606  68.67987174
   5.13997296 -23.94937773  54.80942424  39.88395581  51.2011832
 -36.09654     41.39075374  34.33691608 -50.65678563 -21.64683113]",1400.2479351557963,240357
5,f14,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[  1.77175267  32.83399301  81.14494866  60.36047885  -3.03800774
  47.47155559 -11.60515409  81.66382386  85.70164329  51.95782667
 -12.2767736   18.27250754 -11.84169913  53.57567467  55.89382473
  59.8628598   11.54957691  26.59942471 -43.01607758  68.21312701
  -5.24705045  -9.76743641  57.27118071  40.30886715  51.78508927
 -31.15738709  41.06989735  38.13635918 -54.46027363 -23.0003326 ]",1400.2812573748731,247174
6,f14,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ -4.06054043  25.83218318  85.59702734  50.98396813   7.23462359
  29.42325434  -7.89254276  77.0176505   84.50636588  65.44926069
  -9.64290862   8.50205679  -4.40917595  49.81862069  55.55101558
  63.03072754  -2.82540475  16.9896773  -35.06803941  64.18315345
   3.56080068 -29.37164892  56.44580095  46.86771121  57.25875107
 -32.57140758  38.87693692  23.7562415  -50.76530822 -14.77779569]",1400.3091516522463,237265
7,f14,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-12.03095355  38.25914198  77.94394776  68.38292448  -6.92211379
  38.43113794  -3.79780957  83.97686958  78.77922453  47.98828531
  -2.2950809    5.55487785  13.41783924  59.04606723  51.94189222
  57.44692809   3.61137329  17.70435034 -51.18477433  73.14569315
  -1.55075013 -16.17116613  55.48994042  41.09017551  52.73016811
 -31.28084448  36.04264624  33.32691344 -46.15789761 -20.39621008]",1400.2191450290325,226347
8,f14,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[  3.46167651  27.05421688  83.45307383  56.69740521   2.86528128
  37.41306162   2.5038819   83.42710315  82.25687706  54.34969858
  -6.45799416   3.65849121 -28.66674918  44.94074352  64.25957882
  59.38731311  10.42676623  16.64581339 -21.74626587  66.35803069
  -8.17022926 -34.84120377  55.91695829  39.50865365  43.0999735
 -38.60157889  44.038696    33.37413033 -63.77636689 -17.97614141]",1400.325552436868,248335
9,f14,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ -2.89437318  36.36972453  78.77245046  66.50902894   8.77941618
  31.64256939 -11.35175722  76.07587813  81.04521658  50.02818356
  -8.60465436  12.51950335 -17.38286246  63.56461524  41.68857991
  62.66553488   0.59555187  18.04550129 -22.17298438  63.72339855
  -0.2332381  -29.25902665  54.04582967  42.88262749  55.77340941
 -32.62586954  29.55320659  29.67504146 -46.44785607 -18.48841252]",1400.2777225046298,242139
