execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,mutation_strategy,mutation_perc,crossover_perc,best_ind,best_fitness,out_bounds
0,f2,30,10,2301,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05083076  47.08552645 -30.20559328   4.56530148 -53.49620326
  16.31711062 -37.92459447  24.65265577  30.2743205   39.70425485
  -7.91334422 -66.58857953 -43.36368501  66.13397781 -55.61951695
  52.13071642   6.13478969  79.38155465 -67.49191536  -9.17147684
 -62.93555679  73.90369293 -79.2585244   43.98567435  50.76851529
  58.99115281 -66.49026472 -16.03477613 -38.42073553  48.01095685]",200.0000000863421,543
1,f2,30,10,2051,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05087564  47.0855265  -30.20559328   4.56530165 -53.49620315
  16.31711064 -37.92459446  24.65265575  30.27432043  39.70425483
  -7.91334427 -66.58857951 -43.36368498  66.13397779 -55.61951698
  52.13071647   6.13478966  79.3815547  -67.49191541  -9.17147685
 -62.9355567   73.90369295 -79.25869071  43.98567434  50.76851526
  58.99115285 -66.49026466 -16.03477617 -38.42073565  48.0109569 ]",200.00000009919995,1339
2,f2,30,10,2126,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05081543  47.0855265  -30.20559325   4.56530167 -53.4962033
  16.31711067 -37.9245945   24.65265575  30.27432052  39.70425489
  -7.91334423 -66.58857943 -43.36368498  66.13397785 -55.61951698
  52.13071635   6.13478968  79.38155461 -67.49191542  -9.17147682
 -62.93555676  73.90369294 -79.25846774  43.98567433  50.7685153
  58.99115286 -66.49026477 -16.03477636 -38.42073555  48.01095689]",200.0000000948164,1136
3,f2,30,10,2329,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05082263  47.08552651 -30.20559314   4.56530165 -53.4962033
  16.31711064 -37.92459452  24.65265578  30.27432051  39.70425483
  -7.91334419 -66.58857945 -43.36368496  66.13397779 -55.61951698
  52.13071639   6.1347896   79.38155464 -67.49191543  -9.17147682
 -62.93555679  73.90369288 -79.25849456  43.98567438  50.76851527
  58.9911529  -66.49026471 -16.03477625 -38.42073554  48.01095686]",200.0000000997892,880
4,f2,30,10,2145,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05080707  47.08552662 -30.20559321   4.56530173 -53.49620337
  16.31711063 -37.92459447  24.65265573  30.27432046  39.70425482
  -7.91334426 -66.58857954 -43.36368497  66.13397784 -55.61951693
  52.13071645   6.13478965  79.3815547  -67.49191548  -9.17147689
 -62.93555669  73.90369285 -79.2584366   43.98567433  50.76851527
  58.99115286 -66.49026466 -16.03477618 -38.42073552  48.01095684]",200.00000009257383,845
5,f2,30,10,2013,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05085412  47.08552653 -30.20559332   4.56530168 -53.49620321
  16.31711068 -37.92459453  24.6526557   30.27432049  39.70425482
  -7.91334421 -66.58857959 -43.363685    66.13397785 -55.61951698
  52.13071637   6.13478963  79.38155468 -67.49191546  -9.17147686
 -62.9355567   73.90369295 -79.25861098  43.98567433  50.76851528
  58.99115288 -66.49026472 -16.03477608 -38.42073556  48.01095692]",200.00000008968857,637
6,f2,30,10,2235,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05084085  47.08552652 -30.20559323   4.5653017  -53.49620328
  16.31711062 -37.92459449  24.65265574  30.27432053  39.7042548
  -7.91334429 -66.58857954 -43.36368483  66.13397783 -55.61951697
  52.13071642   6.13478952  79.38155462 -67.49191551  -9.17147687
 -62.93555677  73.90369293 -79.25856166  43.98567434  50.76851532
  58.99115288 -66.49026468 -16.03477621 -38.42073553  48.01095681]",200.00000009695228,972
7,f2,30,10,2212,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05085112  47.08552655 -30.20559335   4.56530176 -53.4962033
  16.31711057 -37.92459449  24.65265564  30.27432056  39.70425484
  -7.91334426 -66.58857951 -43.36368502  66.13397779 -55.61951696
  52.13071637   6.1347897   79.38155467 -67.49191541  -9.17147683
 -62.93555673  73.90369296 -79.25860008  43.98567437  50.76851535
  58.99115291 -66.4902647  -16.03477612 -38.42073551  48.01095673]",200.00000009921985,669
8,f2,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[ -54.05087144   47.0855266   -26.80101049    4.56530158  -53.49620336
   16.31711085  -38.05883779   24.65265579   30.2743204    39.70425498
   -7.91334437 -100.          -43.36368504   66.13397792  -55.61951699
   52.13071652    6.75287622   79.38155453  -67.49191525   -9.17147687
  -62.93555624   73.90369293  -79.25867549   43.98567422   50.76851528
   58.99115293  -66.49026474  -11.87608595  -38.42073583   48.01095698]",2279807987.9452934,609
9,f2,30,10,2143,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05085635  47.08552654 -30.20559323   4.56530169 -53.49620331
  16.3171106  -37.92459448  24.6526557   30.27432053  39.70425484
  -7.91334435 -66.58857954 -43.363685    66.1339778  -55.61951694
  52.13071631   6.13478959  79.3815547  -67.49191543  -9.17147684
 -62.93555675  73.90369291 -79.25861927  43.98567435  50.76851524
  58.99115275 -66.49026467 -16.03477623 -38.42073555  48.01095686]",200.00000009653203,572
10,f2,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[ -54.05083762   48.68287755  -30.20559331    7.94785346  -53.49620355
   16.31711063  -37.92459457   27.73955499   30.27432054   39.70425479
   -7.38201106  -66.58857969  -43.36368496   65.07175     -55.61951715
   52.13071638    6.13478981   79.38155475 -100.           -9.98403422
  -62.93555637   73.90369313  -79.25854931   43.98567432   47.55566899
   59.66552841  -66.49026457  -16.03477618  -38.42073556   48.0109569 ]",1445585365.535293,486
11,f2,30,10,2218,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05083535  47.08552647 -30.20559329   4.56530166 -53.49620334
  16.31711057 -37.92459452  24.6526558   30.27432054  39.70425487
  -7.91334413 -66.58857957 -43.36368507  66.13397795 -55.61951696
  52.13071635   6.13478963  79.3815547  -67.49191538  -9.17147678
 -62.93555678  73.90369291 -79.25854153  43.98567433  50.76851537
  58.99115283 -66.49026475 -16.03477612 -38.42073548  48.01095683]",200.00000008485424,648
12,f2,30,10,2236,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05081772  47.0855265  -30.20559316   4.56530166 -53.49620327
  16.3171107  -37.92459449  24.65265575  30.27432052  39.70425479
  -7.91334431 -66.58857952 -43.363685    66.1339778  -55.61951691
  52.13071645   6.13478965  79.38155463 -67.49191543  -9.17147682
 -62.93555681  73.90369301 -79.25847585  43.98567433  50.76851527
  58.99115291 -66.49026479 -16.03477627 -38.42073555  48.01095683]",200.0000000930017,846
13,f2,30,10,2243,"[-100, 100]",randtobest1,0.8,0.4,"[-54.0508328   47.08552653 -30.20559338   4.56530168 -53.49620327
  16.3171106  -37.92459449  24.6526557   30.27432049  39.70425486
  -7.91334421 -66.58857952 -43.36368515  66.13397784 -55.61951702
  52.13071648   6.13478968  79.38155468 -67.49191536  -9.17147679
 -62.93555679  73.90369289 -79.25853199  43.98567431  50.76851537
  58.99115289 -66.4902647  -16.03477608 -38.42073557  48.01095684]",200.0000000902773,593
14,f2,30,10,1793,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05081684  47.08552656 -30.20559331   4.56530175 -53.49620327
  16.31711063 -37.92459446  24.6526557   30.27432046  39.70425471
  -7.91334425 -66.58857953 -43.36368502  66.13397778 -55.61951699
  52.13071643   6.13478958  79.38155461 -67.49191541  -9.17147683
 -62.93555686  73.90369287 -79.25847295  43.98567432  50.76851531
  58.99115291 -66.49026471 -16.03477605 -38.42073551  48.01095686]",200.0000000871488,607
15,f2,30,10,2063,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05088457  47.08552653 -30.20559331   4.56530164 -53.4962033
  16.31711063 -37.92459446  24.65265571  30.27432049  39.70425481
  -7.91334425 -66.5885795  -43.3636849   66.13397779 -55.61951695
  52.13071638   6.13478973  79.38155473 -67.49191536  -9.17147683
 -62.93555671  73.90369296 -79.25872359  43.98567435  50.76851529
  58.99115288 -66.49026474 -16.03477616 -38.42073556  48.01095684]",200.000000096968,645
16,f2,30,10,2058,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05084737  47.08552653 -30.20559333   4.56530168 -53.4962033
  16.31711069 -37.92459451  24.65265577  30.27432053  39.70425483
  -7.9133443  -66.58857955 -43.36368506  66.13397783 -55.61951689
  52.13071634   6.13478966  79.38155462 -67.49191537  -9.17147679
 -62.93555682  73.90369295 -79.25858593  43.9856744   50.76851535
  58.99115284 -66.49026458 -16.03477607 -38.42073548  48.01095677]",200.0000000986132,1046
17,f2,30,10,2537,"[-100, 100]",randtobest1,0.8,0.4,"[-54.0508306   47.08552651 -30.2055932    4.56530168 -53.49620327
  16.31711061 -37.92459452  24.65265575  30.27432049  39.70425484
  -7.91334424 -66.5885795  -43.36368501  66.13397785 -55.61951698
  52.13071642   6.13478969  79.38155467 -67.4919154   -9.17147683
 -62.93555677  73.90369293 -79.25852384  43.98567434  50.76851531
  58.99115286 -66.49026471 -16.03477643 -38.42073548  48.01095684]",200.0000000994179,1184
18,f2,30,10,2411,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05085574  47.08552651 -30.20559328   4.56530163 -53.49620326
  16.31711061 -37.92459448  24.65265572  30.27432039  39.70425485
  -7.91334422 -66.5885795  -43.36368501  66.13397783 -55.61951693
  52.13071646   6.13478959  79.38155463 -67.49191537  -9.1714769
 -62.93555672  73.90369292 -79.25861714  43.98567429  50.76851524
  58.99115289 -66.49026471 -16.03477614 -38.42073549  48.01095687]",200.00000009749027,670
19,f2,30,10,2150,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05082801  47.08552649 -30.20559322   4.56530158 -53.49620324
  16.31711061 -37.92459448  24.6526558   30.27432052  39.70425485
  -7.91334414 -66.58857952 -43.36368499  66.13397789 -55.61951699
  52.13071633   6.13478956  79.38155473 -67.49191542  -9.17147687
 -62.93555682  73.90369287 -79.25851445  43.98567438  50.76851533
  58.99115282 -66.49026471 -16.03477608 -38.42073562  48.01095691]",200.00000009952345,523
20,f2,30,10,2357,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05085997  47.08552642 -30.20559331   4.56530165 -53.49620334
  16.31711062 -37.92459452  24.65265577  30.27432046  39.70425481
  -7.91334422 -66.58857945 -43.36368499  66.13397782 -55.61951691
  52.13071644   6.13478971  79.38155472 -67.49191534  -9.17147681
 -62.93555681  73.90369294 -79.25863258  43.98567432  50.7685153
  58.99115287 -66.49026464 -16.03477615 -38.42073549  48.01095678]",200.00000008921185,620
21,f2,30,10,2808,"[-100, 100]",randtobest1,0.8,0.4,"[-54.0508036   47.08552649 -30.20559331   4.56530168 -53.4962033
  16.31711045 -37.92459448  24.6526557   30.27432052  39.70425483
  -7.91334426 -66.5885795  -43.36368501  66.13397778 -55.61951695
  52.13071628   6.13478964  79.38155464 -67.4919154   -9.17147682
 -62.93555683  73.90369291 -79.25842394  43.98567437  50.76851525
  58.99115292 -66.49026475 -16.03477612 -38.42073553  48.01095675]",200.0000000966686,1006
22,f2,30,10,2283,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05089447  47.08552652 -30.20559329   4.5653017  -53.49620328
  16.31711061 -37.92459449  24.65265575  30.2743205   39.70425488
  -7.91334425 -66.58857954 -43.36368501  66.13397783 -55.61951697
  52.13071643   6.13478957  79.38155463 -67.4919154   -9.17147683
 -62.93555681  73.90369295 -79.25876062  43.98567436  50.76851525
  58.99115286 -66.49026474 -16.03477614 -38.42073556  48.01095685]",200.00000008792185,622
23,f2,30,10,2402,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05081789  47.08552648 -30.20559333   4.56530164 -53.49620324
  16.31711059 -37.92459442  24.6526557   30.27432046  39.70425484
  -7.91334437 -66.58857952 -43.36368503  66.13397777 -55.61951695
  52.13071641   6.13478966  79.38155459 -67.49191541  -9.17147689
 -62.93555686  73.90369293 -79.25847655  43.98567435  50.76851525
  58.99115287 -66.4902647  -16.03477607 -38.42073552  48.0109568 ]",200.00000009602863,1052
24,f2,30,10,2191,"[-100, 100]",randtobest1,0.8,0.4,"[-54.0508256   47.08552649 -30.20559323   4.56530168 -53.49620328
  16.31711062 -37.92459448  24.65265574  30.27432053  39.70425488
  -7.91334425 -66.58857953 -43.36368505  66.13397786 -55.61951696
  52.13071638   6.13478963  79.38155464 -67.49191521  -9.17147683
 -62.93555696  73.90369294 -79.25850531  43.98567437  50.76851534
  58.99115286 -66.49026469 -16.03477617 -38.42073554  48.01095683]",200.00000009869723,724
25,f2,30,10,2415,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05083845  47.08552653 -30.20559328   4.5653017  -53.49620328
  16.3171106  -37.92459448  24.65265559  30.27432053  39.70425491
  -7.91334425 -66.58857952 -43.36368502  66.13397773 -55.61951698
  52.13071641   6.13478965  79.38155464 -67.49191535  -9.17147673
 -62.93555677  73.90369294 -79.25855253  43.98567435  50.76851533
  58.99115295 -66.49026474 -16.0347761  -38.42073554  48.01095688]",200.0000000952445,936
26,f2,30,10,2364,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05085867  47.08552654 -30.2055933    4.56530169 -53.49620329
  16.31711066 -37.92459447  24.65265584  30.27432049  39.7042549
  -7.91334422 -66.58857942 -43.36368503  66.13397795 -55.61951697
  52.13071639   6.13478962  79.38155466 -67.49191541  -9.17147689
 -62.93555671  73.90369288 -79.2586277   43.9856744   50.76851537
  58.99115279 -66.4902647  -16.03477614 -38.42073554  48.01095687]",200.00000009186988,723
27,f2,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05079317  47.08552677 -30.20559318   4.56530194 -53.4962033
  16.31711064 -37.92459435  24.65265557  19.59771551  39.70425475
  -7.91334462 -66.58857929 -43.36368513  66.13397764 -55.61951681
 100.           6.13478938  79.38155452 -67.49191518  -9.17147696
 -62.93555691  73.90369285 -79.25838535  39.42456673  50.76851536
  58.99115283 -66.49026473 -16.03477606 -38.42073519  48.01095685]",2518741477.2767377,687
28,f2,30,10,2396,"[-100, 100]",randtobest1,0.8,0.4,"[-54.05082807  47.08552649 -30.20559329   4.5653017  -53.49620328
  16.31711064 -37.9245945   24.65265577  30.27432053  39.70425484
  -7.91334423 -66.58857949 -43.36368496  66.13397784 -55.61951699
  52.13071629   6.13478962  79.38155464 -67.49191545  -9.17147684
 -62.93555678  73.90369287 -79.25851447  43.98567439  50.76851533
  58.99115286 -66.49026496 -16.03477615 -38.42073552  48.01095689]",200.0000000961742,628
29,f2,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[ -54.0509106    47.08552638  -26.80101064    4.56530161  -53.49620321
   16.3171105   -38.05883767   24.6526559    30.27432055   39.70425462
   -7.9133443  -100.          -43.36368509   66.13397787  -55.61951698
   52.13071633    6.75287624   79.38155451  -67.49191547   -9.17147683
  -62.93555671   73.90369288  -79.25882042   43.98567446   50.76851536
   58.99115274  -66.49026458  -11.87608582  -38.42073565   48.01095693]",2279807987.945293,714
