execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,reduction_speed_factor,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f9,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ -3.14624757 -32.70168968  49.46665377 -85.51378255 -56.1370686
  30.24725884 -24.23612662  18.0803294   31.08739286  30.01959461]",908.2714530190908,32887
1,f9,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 29.39449155 -58.86672714  71.93308123 -92.97582202 -18.90247239
  22.51486761  -5.3318854   24.60992357  39.86103401  13.30971698]",911.9394784127668,31887
2,f9,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 42.78608621 -88.75362075  75.31349929 -66.75692886 -58.31299016
  22.26685494  -1.62810181   0.43111185  62.5531117   26.37072352]",912.9344576665746,37102
3,f9,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ -3.68599143 -27.20506845  27.5870371  -31.94860713 -42.9635381
  38.81985005 -41.14778142  19.4560384   41.96920488   4.07834756]",910.944539552388,46192
4,f9,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 47.9985123  -49.69590393  31.61147132 -47.14598652 -52.08231787
  39.06786275 -34.26877091  43.6348503   36.81403476  -8.98265907]",906.9647133996532,38462
5,f9,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ -3.14350901 -32.67785312  27.58703706 -31.94860709 -42.96353816
  38.81984986 -41.14778131  19.45603842  31.09254498   4.07834746]",909.9495804952948,32571
6,f9,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 26.93370306 -64.58893885   1.99861085 -42.78953908 -48.77990324
  -2.49605136  -2.94223164  52.42755198  62.94296037  35.41835048]",912.9344576665748,29684
7,f9,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 12.16629469 -51.36976923  54.49359857 -36.26376219 -62.31775374
  21.15979932 -37.18212736  40.60476533  41.57942708  42.89397514]",906.9647133996532,26953
8,f9,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 47.9985123  -49.69590389  16.77825418 -88.42312429 -60.08453355
  22.76288015 -17.59732415  48.7887351   36.81403471   0.24871052]",907.9596724567464,32060
9,f9,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 47.16517118 -71.83646973  18.84041459 -47.04777936 -74.3247265
  31.46889947 -56.06476179  26.12496607  27.26598104 -12.62860014]",907.9596724567464,35809
