execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,total_pais_cruzamento,tipo_selecao_pais,total_pais_torneio,tipo_cruzamento,taxa_cruzamento,tipo_mutacao,taxa_mutacao,elitismo,best_ind,best_fitness,out_bounds
0,f14,30,50,1093,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[35.13782952885336 -2.4647352923584833 79.79221844540635 4.207321240825863
 25.796368718229743 95.49902794888936 -45.934418952257076
 39.92441085010336 94.85124256361007 96.59982698330649 -14.000643905857373
 22.95397722885977 -29.621400761391484 -20.167770949045376
 50.204329771279674 35.13782952885336 -2.4647352923584833
 39.895855063500875 4.207321240825863 25.796368718229743 -52.8331551788729
 -45.934418952257076 39.92441085010336 94.85124256361007 96.59982698330649
 -14.000643905857373 22.95397722885977 16.047574172692023
 -20.167770949045376 50.204329771279674]",0.0067219382725133,0
1,f14,30,50,525,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-71.92261228095325 -16.65520752586079 42.30495172569434
 21.265892330666077 65.4230942341465 -14.65979813039344 -50.39328832455385
 57.66023793359378 64.80197408246374 85.99112473066356 14.143170309251275
 28.8722169513986 -13.763648967925818 72.39331153341467 31.245866343426286
 92.99778482218278 -16.65520752586079 -6.266832467749595
 -63.906298200976885 65.4230942341465 -14.65979813039344
 -50.39328832455385 57.66023793359378 64.80197408246374 85.99112473066356
 14.143170309251275 28.8722169513986 -13.763648967925818 -92.4274824559139
 31.245866343426286]",0.0078643363830926,0
2,f14,30,50,474,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[18.791212847493938 76.3304471497097 27.672387514713236 -19.88742225315964
 58.56850562068266 78.58117661574315 22.217860063773713
 -31.758008169149576 32.52704012697626 48.73336939246303
 -8.105587461744278 22.686309668757602 -54.40944101013534
 15.663312539546652 -5.998082167713264 90.74844538897332
 -82.74671227617534 27.672387514713236 -19.88742225315964
 58.56850562068266 -18.879886575398956 22.217860063773713
 -31.758008169149576 32.52704012697626 48.73336939246303
 -8.105587461744278 22.686309668757602 53.13512922192359
 15.663312539546652 -5.998082167713264]",0.0037025800831028,0
3,f14,30,50,106,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-40.41137525187859 26.73311275751496 67.49248653394449
 -21.979126901892116 -3.0770895366174074 21.54935226009262
 -16.12141127041258 77.29688153115646 -21.150622854872097
 2.2221873048106744 -40.882804659790374 30.680649603185117
 -70.795751879944 -34.372982515709566 24.16043916638533 37.7082908397127
 26.73311275751496 67.49248653394449 -21.979126901892116 62.95648330545595
 21.54935226009262 -16.12141127041258 77.29688153115646
 -21.150622854872097 2.2221873048106744 -40.882804659790374
 30.680649603185117 80.57843242073412 -34.372982515709566
 24.16043916638533]",0.0044212667389293,0
4,f14,30,50,146,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[20.922116899875064 25.636840587792904 70.73899151267443
 10.728407753153775 -12.595305516905754 34.905554907771005
 4.36784651414483 81.3870228095268 36.137806855888755 96.79314315257429
 -40.71476034789161 -52.873505509842374 -28.3794402122534
 51.824012357075816 65.75458753696574 20.922116899875064
 25.636840587792904 31.49692716705451 10.728407753153775
 -12.595305516905754 34.905554907771005 4.36784651414483 81.3870228095268
 36.137806855888755 96.79314315257429 -40.71476034789161
 -52.873505509842374 -28.3794402122534 -91.64735177779839
 65.75458753696574]",0.006245515151061,0
5,f14,30,50,49,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[27.959035226171423 -15.00400459641142 -3.9216843060575 12.568919482148516
 14.117469220676654 -10.537969201348062 -25.82744670953649
 -23.864588535321474 21.320577595440724 74.2384441610001
 -34.571864899245924 10.58912127031411 -24.434888061946737
 -26.689387098854993 61.3019296773721 65.70861188864322 -15.00400459641142
 -3.9216843060575 12.568919482148516 14.117469220676654
 -10.537969201348062 -25.82744670953649 -23.864588535321474
 21.320577595440724 74.2384441610001 -34.571864899245924 10.58912127031411
 -24.434888061946737 -26.689387098854993 61.3019296773721]",0.0040585880990868,0
6,f14,30,50,118,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[47.17642126973806 31.400257605817075 33.627546965388404
 16.306324893843495 -7.508817759170029 -48.45110838410229
 32.81819466305268 68.48881118345244 41.7974759954443 60.970970275973286
 14.117198012752667 82.97953910637321 -69.08001961608032
 28.295322787452477 -45.06988170142603 47.17642126973806
 31.400257605817075 33.627546965388404 -71.53445731997732
 70.57504264239705 -48.45110838410229 32.81819466305268 68.48881118345244
 41.7974759954443 71.91873803063967 14.117198012752667 82.97953910637321
 26.246099854284438 28.295322787452477 -45.06988170142603]",0.0055108624061453,0
7,f14,30,50,236,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[14.23224758774657 -17.02280431211136 19.970887508689273 58.50424182579087
 20.7119103390973 -43.20558589622392 -90.44535746281284 46.947381558505356
 96.23907151914858 72.37334390453657 -25.377662556393204 74.7205649689455
 19.176399280981983 82.59571736862111 65.1377486082171 95.59790239932053
 -17.02280431211136 19.970887508689273 -73.08590827106246 20.7119103390973
 -43.20558589622392 -90.44535746281284 46.947381558505356
 96.23907151914858 72.37334390453657 -25.377662556393204 74.7205649689455
 19.176399280981983 -82.75120387187742 1.8390776866547043]",0.0072623390664075,0
8,f14,30,50,48,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[69.36678107174993 32.0855054574115 -11.646912326773176
 -29.624715619420144 -6.05026096581301 55.31885098775135
 -62.22007755212944 33.16791497005357 92.79465170034524 37.96298043456423
 5.031140972331414 -0.05035290824511662 -38.5175625490755
 2.1130729389472975 53.31712486560261 69.36678107174993 32.0855054574115
 -11.646912326773176 -29.624715619420144 -6.05026096581301
 -17.003560101512733 -62.22007755212944 33.16791497005357
 18.676046686184478 37.96298043456423 5.031140972331414
 -0.05035290824511662 32.25462843482353 -66.09611979936204
 -7.46101084770568]",0.0074680607017849,0
9,f14,30,50,148,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[22.107548169625886 7.915104984684774 -39.46022237424829 34.81713663332397
 16.57416558634796 42.16538663414656 -75.30684634953968 79.95981778479356
 41.086339051744204 95.41339990795748 -82.25452255920113
 -35.34510380546267 18.582397466221863 -50.445253207623495
 56.33448084283418 78.52556517882695 7.915104984684774 -39.46022237424829
 34.81713663332397 16.57416558634796 42.16538663414656 -75.30684634953968
 79.95981778479356 41.086339051744204 95.41339990795748 -82.25452255920113
 -35.34510380546267 18.582397466221863 -50.445253207623495
 15.300842099884093]",0.0048738165182674,0
