execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f2,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-54.30940316  47.08566939 -30.20562356   4.56525679 -53.49629797
  16.31697646 -37.9245179   24.65248521  30.2742748   39.70411202
  -7.9134055  -66.58867913 -43.36353522  66.13381174 -55.61920432
  52.13069267   6.13462683  79.380681   -67.49201869  -9.17111481
 -62.93563559  73.90303225 -80.21639878  43.98571163  50.76845882
  58.99109481 -66.49020787 -16.0344285  -38.42058015  48.01100058]",203.07401934890777,106259
1,f2,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-51.00346761  47.08548676 -30.20560939   4.56522243 -53.49615058
  16.31712727 -37.92451555  24.65270888  30.27423934  39.70422693
  -7.91339246 -66.58858727 -43.36421078  66.13398129 -55.6194364
  52.13072494   6.13474916  79.38155254 -67.49196343  -9.17156256
 -62.93460676  73.9044192  -67.97007842  43.98567644  50.76850165
  58.99114267 -66.49071238 -16.03480377 -38.42072173  48.01094026]",338.7234240328464,119615
2,f2,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-55.70710209  47.08558071 -30.20559889   4.56532134 -53.49621876
  16.31711204 -37.92458887  24.65266004  30.27432402  39.70426009
  -7.91339127 -66.58860753 -43.36364606  66.13396233 -55.61951604
  52.13073461   6.13483228  79.38153987 -67.49193222  -9.17150285
 -62.93553605  73.90369766 -85.39386101  43.98567413  50.76850282
  58.99115542 -66.49028243 -16.03475546 -38.42074686  48.0109834 ]",240.4024205114039,110892
3,f2,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-56.10335794  47.08531854 -30.20559236   4.56531856 -53.49620144
  16.31707568 -37.92432647  24.65297849  30.27433541  39.70399577
  -7.91334585 -66.58858394 -43.36372372  66.13426605 -55.61950203
  52.13084911   6.13479195  79.38156521 -67.49187255  -9.17130369
 -62.93552539  73.90375072 -86.86228106  43.98552104  50.76851492
  58.99106064 -66.49013617 -16.0347752  -38.42066109  48.01085541]",263.0542409517341,106271
4,f2,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-52.93952337  47.08586003 -30.20562851   4.56556173 -53.49599341
  16.31706796 -37.92461243  24.65245651  30.27452659  39.70400814
  -7.91349955 -66.58859804 -43.3637173   66.13345352 -55.61939682
  52.13056415   6.13490402  79.38164436 -67.49216798  -9.17138452
 -62.93554861  73.90361205 -75.14180336  43.98567294  50.76854811
  58.99133383 -66.49008279 -16.03471681 -38.4205387   48.01025669]",219.85812591047943,105216
5,f2,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-53.61454365  47.08555558 -30.20567579   4.56528828 -53.49606593
  16.31704772 -37.92452383  24.65231303  30.27385764  39.70412328
  -7.91372153 -66.58887113 -43.36396195  66.13379678 -55.62014663
  52.13089269   6.13470657  79.38128566 -67.49150685  -9.1714962
 -62.93569446  73.90331347 -77.64326918  43.98558746  50.76838281
  58.99097806 -66.49021474 -16.03431191 -38.42106396  48.01090456]",205.34231608603983,97049
6,f2,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-48.99524992  47.08552368 -30.20546604   4.56531412 -53.49619727
  16.31709287 -37.92465731  24.65237757  30.27445813  39.70436174
  -7.91342062 -66.58856326 -43.36373424  66.13377679 -55.61964808
  52.13057388   6.13537616  79.38162698 -67.49194267  -9.17141699
 -62.93560381  73.90348436 -60.5308471   43.9860351   50.76819447
  58.99118699 -66.49025374 -16.03496987 -38.4208626   48.0109523 ]",577.5940469672194,98630
7,f2,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-48.66322488  47.08553489 -30.20555384   4.56534678 -53.49621804
  16.31756304 -37.92459616  24.65256663  30.27432039  39.70344127
  -7.91324155 -66.58857094 -43.36369704  66.13381686 -55.61957563
  52.13080181   6.1347355   79.38128961 -67.49188388  -9.1714406
 -62.93557538  73.90367923 -59.30123447  43.98567032  50.76846902
  58.99115815 -66.49021769 -16.03477417 -38.42066651  48.01094509]",628.3947051650637,102267
8,f2,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-49.73709333  47.0866871  -30.20668289   4.56615197 -53.49764968
  16.31610086 -37.92443156  24.65491252  30.27429437  39.70452976
  -7.91324281 -66.58230317 -43.36253501  66.13403718 -55.62154914
  52.12912301   6.13451222  79.38488478 -67.49560038  -9.16947454
 -62.93185714  73.90550753 -63.2791393   43.98591325  50.76786575
  58.99144992 -66.49076837 -16.03428962 -38.41882798  48.01273991]",650.8954630014023,103641
9,f2,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-49.75089795  47.08532744 -30.20540331   4.56520328 -53.49611845
  16.31684181 -37.9245644   24.65275255  30.27452654  39.70579227
  -7.9131522  -66.58861935 -43.36363815  66.13472838 -55.61921475
  52.12733396   6.13451032  79.38128656 -67.49196955  -9.17144075
 -62.93481206  73.90366294 -63.3308745   43.98679346  50.76881694
  58.99140666 -66.49022337 -16.03487893 -38.42053631  48.01040522]",493.7205576886501,114519
10,f2,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-53.20562052  47.08551749 -30.20560554   4.56519788 -53.49608001
  16.31722581 -37.92459062  24.65264673  30.27433576  39.70422692
  -7.91333143 -66.58859074 -43.36371686  66.13395876 -55.61950877
  52.13066293   6.13489236  79.38167181 -67.49192218  -9.17148858
 -62.93558936  73.90372836 -76.12775164  43.98566363  50.76851242
  58.99115215 -66.49022614 -16.03471869 -38.42070821  48.01092362]",210.6126292061178,104038
11,f2,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-47.98345528  47.08489342 -30.20556081   4.56459556 -53.49610531
  16.31892491 -37.92389858  24.65103068  30.27466656  39.70503585
  -7.91281068 -66.58911679 -43.363811    66.13386751 -55.61899567
  52.13051079   6.13385423  79.38134837 -67.49943562  -9.17117336
 -62.93375337  73.90346431 -56.78300972  43.98614297  50.76945526
  58.99072674 -66.48954758 -16.03533917 -38.4221313   48.01317579]",866.299911696725,99767
