execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,total_pais_cruzamento,tipo_selecao_pais,total_pais_torneio,tipo_cruzamento,taxa_cruzamento,tipo_mutacao,taxa_mutacao,elitismo,best_ind,best_fitness,out_bounds
0,f14,10,50,75,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-0.5217269002674669 17.519927039277803 30.420654000337777
 46.02440590335394 -44.47425874105362 -0.5217269002674669
 17.519927039277803 30.420654000337777 46.02440590335394 93.55893435970037]",0.0297223745897518,0
1,f14,10,50,12,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-41.2771703252641 22.048162529325936 49.97166214522869 83.0548639829575
 -15.96126399977355 -41.2771703252641 14.735897334457178 49.97166214522869
 83.0548639829575 68.86598971314265]",0.0318792583631102,0
2,f14,10,50,35,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[30.581390140242917 38.666765717844584 65.24996568683159 90.73199247646454
 13.82810641112708 30.581390140242917 -24.399518270288894
 65.24996568683159 90.73199247646454 13.82810641112708]",0.0715817493691542,0
3,f14,10,50,71,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-18.69601672475028 10.166519175326655 72.82393388212876
 24.727563491684236 13.413310088254931 -18.69601672475028
 10.166519175326655 72.82393388212876 24.727563491684236 68.78949842132016]",0.0372297463810937,0
4,f14,10,50,2,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-10.928591094528485 72.2028623506144 58.88466351532844 36.137806855888755
 -88.55881674887063 19.46678878657184 12.556722627217013 81.3870228095268
 83.99746953957955 96.79314315257429]",0.0227906707390993,0
5,f14,10,50,26,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-6.102325648484538 31.469252549609024 91.07031550780826 95.0300057454802
 1.895018861484516 66.08754007524823 -10.678434415537353 91.07031550780826
 95.0300057454802 81.67677594446786]",0.09376639354719,0
6,f14,10,50,34,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[35.493275624468595 15.083504187298999 49.76384319411699 31.20556482290192
 -16.1604521697801 35.493275624468595 5.463660915038631 49.76384319411699
 31.20556482290192 26.67654638396128]",0.0447044445182723,0
7,f14,10,50,8,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[0.22409273198758228 7.811340136327189 64.2455216613119 77.80477911384182
 34.473843685857275 12.34813121377529 7.811340136327189 64.2455216613119
 77.80477911384182 34.473843685857275]",0.0468120548903248,0
8,f14,10,50,129,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[3.7910459085379813 44.67668299745475 6.017096594580067 0.79420638654409
 0.7746099272203821 3.7910459085379813 -28.429621803181732
 6.017096594580067 0.79420638654409 36.616859926840505]",0.0185104600459251,0
9,f14,10,50,25,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[40.48548481361104 -11.17754099119071 62.61429614565279 36.69407037870883
 17.915560711994203 40.48548481361104 -11.17754099119071 62.61429614565279
 36.69407037870883 17.915560711994203]",0.0433322213495544,0
10,f14,10,50,44,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[2.627648510878174 10.16121280818976 84.44655738070927 69.75281436224643
 42.40623727743247 2.627648510878174 -39.82573821185855 84.44655738070927
 69.75281436224643 42.40623727743247]",0.0594144148831203,0
11,f14,10,50,13,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[34.264211765422715 39.21323495413145 86.42972433384435 50.48790908153481
 -56.498932780887756 34.264211765422715 -16.074378573767433
 86.42972433384435 50.48790908153481 58.656412449567]",0.0355689435602962,0
12,f14,10,50,13,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-7.370226054530818 80.02069993139648 37.8146919239052 6.200607560856426
 -3.214882107168094 7.821100759704876 -50.55582041174374 37.8146919239052
 6.200607560856426 53.124000624524996]",0.0220464116467169,0
13,f14,10,50,19,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[49.31544739878751 12.784521815743005 67.62980644419997 33.849482127889445
 -51.717524946627776 49.31544739878751 12.784521815743005
 67.62980644419997 33.849482127889445 37.15751980197254]",0.0284567164950858,0
14,f14,10,50,63,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[11.955783817463413 5.855862712813888 60.99381652931055 83.92262214773638
 12.97542837585604 48.50227099870875 0.5259847221243348 60.99381652931055
 83.92262214773638 13.145845109836458]",0.0693015686007288,0
15,f14,10,50,187,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-21.91593478069187 76.07467639601288 50.05149637218045 11.27343605794735
 -25.50476643399324 -21.91593478069187 -36.45646772382414
 50.05149637218045 11.27343605794735 59.844904735221945]",0.0234979004621407,0
16,f14,10,50,7,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[15.601349114968215 -26.23441823631518 -12.598437753173968
 47.476171911670406 -3.7475423091762394 46.41058173875351
 -26.23441823631518 -12.598437753173968 47.476171911670406
 59.850272513354696]",0.0178016953068109,0
17,f14,10,50,69,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[13.598223944926204 45.482503114846196 69.30829902341006 61.41098596871373
 -52.37951155746465 13.598223944926204 45.482503114846196
 69.30829902341006 70.33431018596056 91.93798515607955]",0.0290841821211103,0
