execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,mutation_strategy,mutation_perc,crossover_perc,best_ind,best_fitness,out_bounds
0,f1,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-65.39837618  74.15985938  99.51177907  86.30298064 -48.3031733
 -92.48729123 -59.3981886   47.67659522  72.4951764   27.19935531
 -65.29337602  63.4665441   65.74324613 -15.66925237  81.17228007
 -98.0051866   10.28766674  50.74669226  98.59516985 100.
  90.56603403 -32.85264077  27.1821973    3.37972833 -11.1818168
  28.61176394  94.15317759   9.11544138  55.75440298 -82.26221257]",2995023.506813423,62001
1,f1,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-90.65983574  98.99237505 -49.53271457  75.70480794  11.72942572
   5.68586375  63.16972894 -45.1402887   52.12001414 -22.95226992
 -26.20047248  99.50808844  66.20413263  14.92817768  22.51053727
  22.47187138  52.59000116  62.28554408  29.81471233  -1.57141647
  47.01560825 -60.08990005  73.51541977  99.91795457   7.22944549
  25.08064471  44.31320742 -99.43053684  26.4400263  -68.6593126 ]",2815604.625574446,87954
2,f1,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[ 51.26410929  37.38857293 -78.50215155  93.10003518 -20.00186348
  -4.66523722  42.98799828   4.81866156  45.8752814   45.66903411
 -36.26195808  93.32554035  73.79040989 -11.87050229  34.53360726
 -21.77823557  96.07390884  67.15140384  80.85286035  10.53339812
  43.07226133 -41.81846998  33.40466431  82.56511288  30.13212119
  41.02745849  54.55691673 -73.21335331  58.56909959 -76.32942872]",3059622.708562352,30659
3,f1,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[  5.16022662  94.54312361  88.02962041  52.11807105 -38.7066407
 -68.13249333 -92.96075891  -3.54872006  88.44717695  99.72602246
 -41.63834359  79.11190549  67.42019629 -37.60219323  81.056542
 -63.65907082 -79.58755146  57.02872358  82.51480004  58.18191305
 -42.27582841 -23.21445501  21.96908813  85.07489877   2.67406365
  29.54651106   9.79493574   5.48116108   7.04747057 -67.07179482]",1624578.707017675,74611
4,f1,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-89.01193747  99.89449544 -75.98923558  46.46883987 -61.88283301
 -86.22356819  -5.99568965  39.2189283   80.31098248 100.
 -52.14698926  77.73706067  73.60464985 -45.50923146  -4.95143247
 -99.99627309 -28.53463646  67.25068673 100.          65.10546943
  54.92597329  -7.78054831  10.69379895  83.89893088  30.79204867
  42.20887252  26.24955501  21.12574403  12.66517623 -74.4273701 ]",1306158.5031795364,77524
5,f1,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[  46.52680558    7.86267933  -59.76066543   39.60703827  100.
  -98.94993272  -62.90931699    7.72582672   71.91607155   99.99708044
  -54.36027528   75.47558921   73.10700584   13.31953425   21.23433533
  -56.15739366   -7.1919352    66.64022118  -12.09280752   72.88753663
   -2.35977331 -100.           83.39113085   93.01582884   28.79220951
   41.1048011     2.81471528  -19.60761785   11.21517688  -30.45866307]",3553316.8809458325,41306
6,f1,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-69.99991037  38.79308299 -18.65790006  99.63257292  52.23673741
  55.62539068  66.94172468 -40.65412425  71.70644183  75.75114165
 -43.86638362  84.08361661  69.50968903  11.1843953   69.95334812
  -3.85917101 -25.93491661  60.19425972  32.74955399  48.58769547
  17.34137648 -99.98926018  68.37971062  94.83033125  12.04434631
  34.52452828  57.78497953 -56.77317552  34.85077626 -44.13302344]",776024.3044770696,48004
7,f1,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[ 73.60010794  99.83604139  -8.1650411   50.45871346  42.59974933
 -92.58826115 -12.27299835 -99.14277697  79.1827914   56.5597073
 -28.37777727  99.28631352  71.59627972   8.64953151  -4.40894545
  35.461014   -95.92646426  63.96033134  14.99091446   1.37504125
  56.46332317 -85.17339868  77.33075729  78.99674064  21.13532933
  38.39693575  29.1731588  -72.06739448  -0.58849696 -44.74884759]",2481913.4219502653,79417
8,f1,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[ 96.55717674  99.99870088 -71.31667124 100.          21.63861092
   2.25104864 -51.99680539  -5.73763842  61.89907045 -99.95783335
 -57.48100622  74.35493503  75.80855951  43.02368316  99.96223456
 -31.18066503  28.05145274  68.71450352  21.86098216  75.87104029
 -77.79694757 -79.60685246  92.484908    99.99963446  37.03080955
  46.30306858  19.67861005 -49.49086313  52.18182383 -74.25174137]",1399489.4497151712,75937
9,f1,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-17.70061402 -43.44642912 -78.41867545  75.92030853  -1.01487375
  -4.01994231  64.89701635  50.50998393  67.53826133  92.86235589
 -44.9152013   84.02388612  73.3410176  -12.2850774   18.39003473
 -99.91630707  20.93561074  67.6035151   99.98828814  40.49733671
  65.09560992 -63.24020196  20.99454861  86.86135413  31.05379265
  40.71712903  53.61955062   9.45770542  96.41536724 -70.17630231]",3303704.5509630293,72587
10,f1,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-94.12988516  99.99767713  97.2466274   60.18331853  79.45936577
 -95.75973677 -20.90226055  -1.28427519  67.63867005  87.16787233
 -26.98647807  99.91680013  57.46699171   1.27909664  14.85076584
 -36.16365386  10.7898576   50.97626247 -39.64233602   1.81053483
  73.42482488 -66.5781775   90.47271348  54.32921181 -25.51510454
   8.97497408  49.50472909 -39.46733178 -50.76087395 -32.57403352]",8224913.194762069,83943
11,f1,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[  32.71138748   99.99916519 -100.           35.72488214   21.27381758
  -98.99858489   -1.33219052    6.23287757   72.76045031  -94.88037722
  -54.15861165   75.81001128   99.24005144   41.60861625  -29.63258282
  -55.90082267  -11.36742656   81.79862418   21.52407527   71.13830167
   53.86790887  -78.4865168    91.88424805   97.37205625   99.99717336
  100.           11.58536263  -18.80918877   50.92913647  -74.14323951]",5795171.331357294,44617
12,f1,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[ 73.53673899 -10.11347262   2.83724093  25.42494832  -0.38434695
 -62.07751246 -73.54840309  58.1337738   66.11832783  23.15678548
 -77.72816857  79.63963487  69.80531561   7.9636479   99.92442002
 -95.54774253  72.76514655  61.30937531  79.09536249  58.31175039
   6.82280579 -63.80804481  41.98924705  64.93303654  16.94902998
  36.34680718  30.2437584  -17.08402414  97.76428355 -78.69123595]",7538472.031169225,78513
13,f1,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[ 82.1327343   93.48430085  99.94066181  75.80001      5.29096099
 -86.79963491  -9.99164357 -28.92129981  82.68151177 -22.07484082
 -80.6474474   66.28847154  71.81970695 -14.49542662  24.56713397
 -58.48458154 -88.01292584  52.68082594 -15.7136998   83.66677064
  92.23551713  25.69203701  62.51811117  38.75704697   1.1560355
  40.27920983  72.08594221  -2.53266291 -30.92723255 -78.00813656]",15874266.607822657,111355
14,f1,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[  92.10710754   97.33273467  -37.59755813   45.32918716  -23.99510328
  -92.44154039  -95.42545868  -61.49761136   58.35204131   89.47242757
  -27.24159271  100.           53.05815818  -27.88564722   53.7749228
   32.79243915   21.4331643    45.29399701   68.0242633     2.29069278
  -37.71422507  -33.50095027   33.50719341   91.37178067  -43.23303784
   -0.4124456    -0.9430775  -100.            6.00994727  -63.75755801]",4787076.714209022,55986
15,f1,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-49.21847244  27.25038907  29.87542254  13.7457076  -23.07474075
 -62.90373238 -99.54247157 -25.78740131  67.66594208  78.47006823
 -72.53305946  70.8302709   78.87975528 -17.81487536  94.75136853
 -28.09670467 -16.87053909  74.0878636  100.          93.14052434
 -48.11944392 -52.74563855  23.16446278  99.53883964  50.61884854
  53.33569375  -5.92213435 -41.17876075  63.60250395 -69.9546083 ]",4598251.85265438,109985
16,f1,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[ 94.48271326  96.60999592 -37.53108191  65.66127474 -25.03812595
 -11.16507359  99.98465045 -10.58017503  50.98585425  49.55714759
 -53.93031847  68.07737611  70.48866915 -14.63541526 -23.83632605
   4.75806816  97.64487896  62.84949196  74.14840518  96.58956215
  86.30009988 -43.49325831  38.99723226  99.65085577  21.64504285
  38.42469806  44.46040513 -97.786054    24.69533999 -66.93475661]",2820304.0335543244,112676
