execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,reduction_speed_factor,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
19,f1_basic,10,10,100000,"[-100, 100]",0.6534500000000001,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-5.87245245e-05 -9.73196388e-05  1.03192850e-05 -6.49856292e-06
  4.60474225e-08  3.00933969e-06  1.32604356e-06 -1.81589600e-08
  8.58993263e-08 -2.95859179e-08]",0.0,28946
20,f1_basic,10,10,100000,"[-100, 100]",0.6354,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-7.63413105e-05  2.94002172e-05  9.55790101e-06 -1.16591536e-06
  5.63274431e-06 -9.99005551e-07 -1.52706067e-07  3.67962611e-07
 -4.50202581e-07  1.07931456e-08]",0.0,31426
21,f1_basic,10,10,100000,"[-100, 100]",0.60595,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-3.50260269e-05 -2.83184872e-05 -1.64511418e-05 -2.36294961e-06
 -1.19584499e-05 -2.02216652e-06 -3.51025847e-07 -2.38448038e-07
  9.00095284e-08  2.23853140e-08]",0.0,35338
22,f1_basic,10,10,100000,"[-100, 100]",0.6318,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 7.32034670e-05 -3.71186138e-05  1.31872115e-05 -2.46557356e-06
 -1.58778533e-07  1.90088972e-07  1.88343445e-06  6.12113374e-07
 -1.96516834e-07 -1.39778996e-07]",0.0,31814
23,f1_basic,10,10,100000,"[-100, 100]",0.6797,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-7.96227525e-05  3.13581248e-05  6.19139593e-06 -7.98935616e-06
 -7.55466990e-06 -4.57915427e-07 -8.82230966e-07  5.60972011e-07
  1.50114711e-07 -2.59870800e-08]",0.0,25053
24,f1_basic,10,10,100000,"[-100, 100]",0.648,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-1.76462661e-04 -9.63724544e-05  1.93291316e-05 -5.73747985e-07
 -2.58625390e-06 -6.07172958e-07  1.33329565e-09 -1.48128591e-07
  8.75496052e-08 -2.16231893e-08]",0.0,29539
25,f1_basic,10,10,100000,"[-100, 100]",0.65715,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 4.51736180e-05  1.26340302e-05  7.15730732e-06  6.46139660e-07
  1.07344554e-05  2.01860062e-06 -7.09325074e-07 -5.94371488e-07
  1.85724795e-08 -9.69087415e-08]",0.0,28167
26,f1_basic,10,10,100000,"[-100, 100]",0.67865,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 1.61060267e-04  2.86644176e-05  9.13997153e-06  8.83130076e-06
 -5.01390653e-06 -2.81772263e-06 -1.56355117e-06  6.80425157e-08
 -7.61177738e-08 -7.51343906e-08]",0.0,22488
27,f1_basic,10,10,100000,"[-100, 100]",0.62175,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 2.47094199e-05 -8.51430397e-05 -2.48926726e-05 -6.94768554e-06
  9.61941162e-07  1.85112521e-06 -2.08469813e-07 -6.24704444e-07
 -4.45763236e-08  1.01897508e-07]",0.0,33752
28,f1_basic,10,10,100000,"[-100, 100]",0.61995,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-9.50429140e-05  8.78379337e-05  2.02066420e-05  8.66091531e-06
 -2.61026120e-06  7.30017456e-07 -3.20822672e-07 -3.48940197e-07
 -1.50235964e-07 -1.24834416e-08]",0.0,33286
29,f1_basic,10,10,100000,"[-100, 100]",0.6534,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-3.92792565e-05  2.24864433e-05  1.90077711e-05  4.72284959e-06
 -2.62971277e-06 -2.92650192e-06  7.70772485e-07 -5.29285802e-07
  4.39620145e-07 -5.99031086e-08]",0.0,28159
