execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,total_pais_cruzamento,tipo_selecao_pais,total_pais_torneio,tipo_cruzamento,taxa_cruzamento,tipo_mutacao,taxa_mutacao,elitismo,best_ind,best_fitness,out_bounds
20,f9,10,50,9,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[39.46678587974577 -36.85335854624863 73.27796915006456 -91.81093662161553
 -77.41083830236272 39.46678587974577 -36.85335854624863
 -57.420620314623626 -54.81025237698738 84.60626078351697]",0.007579865174572,0
21,f9,10,50,2,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-56.51982604805561 18.091552708671315 22.95271490015722 -32.4647760291175
 -92.55003643934911 48.17314030572135 63.35957963173388 22.95271490015722
 55.0851643425618 -51.89080875299483]",0.0079023518242433,0
22,f9,10,50,5,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[49.02005921176712 -56.17252762713283 25.473136285235782
 -64.21692592970268 -61.842485080300946 49.02005921176712
 -38.127577911557765 25.473136285235782 93.43895590601889
 -61.842485080300946]",0.010081357411349,0
23,f9,10,50,46,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[66.17703198948993 -84.18890271901391 60.89351343732159 -82.23491761718829
 -68.76970701028353 37.207238188903574 -40.30270711487782
 60.89351343732159 45.75740550721204 -68.76970701028353]",0.0147889093917701,0
24,f9,10,50,16,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[47.35028987658805 -58.042037889843435 11.71685848271187
 -15.966816001772344 -46.96250543968215 47.35028987658805
 -58.042037889843435 11.71685848271187 45.0074158662577 11.489320889347539]",0.0096421001906915,0
25,f9,10,50,58,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[11.848412300312347 -56.94424570148564 23.39547767106589
 -49.66823027146796 -19.52788863612615 -16.038409375685973
 -56.94424570148564 23.39547767106589 73.9750494701276 -19.52788863612615]",0.0117584533410813,0
26,f9,10,50,111,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[30.64548526203771 5.2719665998546645 80.11031000186645 -47.29647925041791
 -56.9458368724572 30.64548526203771 5.2719665998546645 29.511610162337917
 52.62338812395464 62.41600091628209]",0.0084139651358083,0
27,f9,10,50,34,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[47.18800791314257 -58.096423460539356 -36.69219796000676
 -59.88182879058721 -35.745993157524694 47.18800791314257
 -8.071000461383477 -36.69219796000676 38.3809847329328 43.062008905330146]",0.010817886967521,0
28,f9,10,50,10,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-37.268647981706636 -49.95931989774951 69.80740230819882
 -92.0602789559485 -73.8165764722659 -37.268647981706636
 -49.95931989774951 49.3400183546058 79.43751247652202 27.03116175416531]",0.0095220292937401,0
29,f9,10,50,302,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[36.89274936202355 -44.256897506157664 38.052183230161205
 -45.275280848432246 -59.09400351469514 30.81628396207637
 -49.002591650214875 38.052183230161205 -45.275280848432246
 -59.09400351469514]",0.01241364195447975,0
