execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,total_pais_cruzamento,tipo_selecao_pais,total_pais_torneio,tipo_cruzamento,taxa_cruzamento,tipo_mutacao,taxa_mutacao,elitismo,best_ind,best_fitness,out_bounds
0,f1,10,50,15,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-15.269040132219061 54.809466539727765 -50.24937129600839
 73.62521147364285 39.26869776309189 13.6867897737297 54.809466539727765
 7.235498940690405 73.89770610932644 39.26869776309189]",2.101719953067221e-08,0
1,f1,10,50,11,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[75.62850068588261 30.260866468198202 -44.1632641977721 81.08040674055562
 4.41024945050215 -86.35813031665917 30.260866468198202 68.76808578623778
 81.08040674055562 86.37222332730812]",1.1931689829336583e-08,0
2,f1,10,50,37,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[7.120834699531258 76.24705942424629 -73.1146480353722 61.2670428821034
 85.232257384984 7.120834699531258 76.24705942424629 -73.1146480353722
 61.2670428821034 85.232257384984]",3.357805215015938e-09,0
3,f1,10,50,22,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-74.88293790723276 41.53732436313422 -69.50734780838492 74.70142029395842
 19.40064844006602 -41.903020792969706 41.53732436313422
 -7.092604107492619 74.70142029395842 -85.97619737462708]",1.1190239095869243e-08,0
4,f1,10,50,9,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[4.880816013694684 -2.4524721700651497 -98.73521254690345
 49.50437582627316 -53.24391395446004 4.880816013694684 -42.66259272160961
 -42.38018567569346 49.50437582627316 61.07770370554891]",4.084117415749832e-08,0
5,f1,10,50,146,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[55.426858449446 43.87997656717445 -52.07191207755501 75.62205594847526
 62.388838311484875 -66.87742775974647 43.87997656717445
 -15.688875802047747 75.62205594847526 62.388838311484875]",8.330042156780802e-09,0
6,f1,10,50,55,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[15.771720045231419 -38.99041561444301 -89.0045017427588
 48.168483421268604 -91.90154357909113 -33.802646615043244
 -38.99041561444301 -89.0045017427588 48.168483421268604
 41.022992204561575]",7.318495453696923e-09,0
7,f1,10,50,8,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-29.404326811121066 87.82227074643708 -67.05666824419743
 -26.102816867923195 50.390712228441515 79.0733569074124
 -2.753305373829363 48.12934617195782 61.41106381442259 50.390712228441515]",6.755584378676776e-09,0
8,f1,10,50,9,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[20.728895273822246 23.94508331918179 -40.1894502766567 90.4963800206236
 27.93774130692941 -77.8930973479864 23.94508331918179 30.55529943676669
 90.4963800206236 27.93774130692941]",7.604371673689356e-08,0
9,f1,10,50,8,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-65.19341497999464 -0.15173546250706238 -85.36115575383398
 34.150895358745004 -33.97456525805734 -73.23409420814468
 -0.3720779276414703 -27.79841485481181 34.150895358745004
 -88.51770495875454]",5.071653068572387e-09,0
10,f1,10,50,32,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[2.4384526771553254 18.04027259708458 -68.1612533243813 50.18533036883747
 -36.599687538842375 94.96249987933382 -91.65243749660779
 46.55905375930439 50.18533036883747 86.46039575251251]",2.4938138861116194e-09,0
11,f1,10,50,9,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-35.03882592175967 91.27578832718396 -56.39932494589601
 41.153342110176254 14.931188760121898 -96.10495170247508
 -27.70329155935964 19.831445206545823 78.76545032580589
 -73.00377899656934]",1.8042868205207988e-08,0
12,f1,10,50,68,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[54.06244111236205 -9.244296781989306 -72.91297308647785
 62.627118411468274 -46.97407823756168 -67.85664937488599
 -9.244296781989306 -72.91297308647785 62.627118411468274
 59.03821618639924]",4.563433542854683e-09,0
13,f1,10,50,124,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[46.07143033135651 82.6425613979286 -51.40892690537648 -98.0309118400623
 85.16041853470927 -52.49175599301754 82.6425613979286 8.322125656002726
 94.88557938254101 85.16041853470927]",9.109212184196525e-09,0
14,f1,10,50,11,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[7.839987485129612 58.44426982180738 -14.286235100966735
 14.307236252868208 38.87882012118362 -29.674705580123486
 58.44426982180738 12.992096960149397 99.26465808460537 38.87882012118362]",1.2969683952659874e-08,0
15,f1,10,50,17,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-87.918566373288 -25.733486846435042 -48.54353665436359 59.477099157076
 -2.3869825458461946 83.5259795673125 -25.733486846435042
 -48.54353665436359 59.477099157076 -2.3869825458461946]",2.1528744694501376e-09,0
16,f1,10,50,95,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-34.80517472947635 -32.16291937643605 -78.35174969795935
 52.498618231580394 -92.0035280423476 -34.80517472947635
 -32.16291937643605 -6.828495819707399 52.498618231580394
 -8.651832301587149]",7.672739025942721e-09,0
