execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 57.83905988  10.94188964  69.08901462  30.20685386  11.57900366
  52.26002464  60.31120504  78.22733647 -82.45236359  55.83644426]",700.2361058351102,12783
1,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 55.45679015   8.94858686  67.66321312  30.47341386  13.43550187
  50.88356554  61.86041415  78.20621083 -80.11766918  58.72441976]",700.0812703697541,12801
2,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.72978309   8.12050119  68.57109617  29.8624793   12.71834434
  50.2739482   62.04486088  76.45234567 -80.7721552   60.0177354 ]",700.162726604939,12999
3,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 55.8150509    6.43617005  69.63406861  33.52955697  12.54892869
  49.85592539  59.17661812  76.88841191 -80.1732195   57.63086177]",700.2338039620927,12221
4,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.00218371  13.17257858  68.02803452  31.12792376  15.50323128
  49.08442847  60.00258728  78.5964839  -80.02776465  57.08731007]",700.2138272391059,12856
5,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 55.36688495  10.78031308  69.27070845  32.14539266  14.76889826
  51.03146456  60.90609035  77.49084667 -79.6958338   61.2375717 ]",700.1654852949018,11996
6,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.74495004   9.70394297  68.55799626  30.89013654  11.39919732
  50.98407218  62.34054791  76.46579432 -80.66769998  59.77659387]",700.1256644285123,12104
7,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.4391234   12.05344263  67.31227704  31.85748944  12.4095807
  50.51534195  58.86734142  76.57844463 -79.02990872  56.30258557]",700.2392110930892,12157
8,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 55.58011418   9.43381918  68.7391739   29.8190936   14.58901722
  49.75293089  60.19864033  77.81998628 -80.20854375  60.36224977]",700.0861412813111,11856
9,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.42886227   9.69825043  68.38406486  32.38025171  13.57165955
  49.37769654  61.49187215  80.65351377 -80.62089479  57.3731587 ]",700.1057160755514,12161
10,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 57.84702262   9.31955648  68.02276137  31.4667521   12.83234924
  50.48594237  60.0032241   78.22585857 -79.91641994  58.47017456]",700.0517034634768,11869
11,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.77894331  10.42320941  68.56885485  31.31640722  14.07571149
  49.56838705  59.4224588   80.97252617 -78.59172584  59.09378146]",700.1301647965867,12573
12,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.10014134   6.4662778   68.55406258  31.15486048  12.79149787
  50.23816528  60.02873277  78.50736698 -81.46446661  60.31885695]",700.1794704453648,12041
13,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.87855035  10.17142697  68.20803917  29.79574931  14.40623231
  48.42489719  60.67172245  78.941174   -80.3442036   55.95551678]",700.1944721648298,12868
14,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 54.07237082   8.43106654  69.6269984   31.22739001  14.19057693
  50.61200422  60.12485634  76.09664685 -80.55573556  61.16141549]",700.209107958776,12557
15,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 55.49283945   8.88087414  68.74293424  31.78185263  14.55639037
  49.77335281  61.84420961  77.94820619 -78.36981644  56.61762392]",700.1202579579575,12218
16,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 54.60566975   8.6862066   69.27524623  31.5422711   13.14745989
  50.25994364  60.56757043  76.74871519 -80.57218079  58.13391315]",700.0841990179804,12084
17,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.7721742   10.42867025  67.84518219  30.39729044  12.32348235
  50.29845543  59.42383985  79.5829289  -79.45784934  59.05526747]",700.0960360450055,11991
18,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.23725435  10.17513632  68.20139167  31.53663314  14.69188742
  49.95738238  58.98082319  77.87847495 -82.09861384  56.9665126 ]",700.131625921156,12202
19,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 55.67627075   9.18830384  68.73571673  31.9621773   11.90500127
  51.17416863  61.45061945  81.43940243 -78.5116416   57.50590797]",700.1615875808602,12375
20,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 54.29274081   8.67491579  68.92248888  28.48500129  12.35081806
  51.4114307   59.71694622  79.19478973 -82.06881306  58.06200133]",700.2154475880642,11926
21,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 57.30552308  10.68546893  67.66917514  31.97050739  13.15881073
  49.39871096  59.86748621  80.33465766 -76.94200708  58.66725224]",700.2066166340761,12347
22,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.55218637  10.18348267  69.2745214   31.39062204  13.15208076
  50.25354798  59.83009844  79.60260372 -79.2571212   58.80099826]",700.0442780343185,12313
23,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.67419296  10.68369008  68.91174269  31.806128    13.75281886
  50.65303704  58.19158169  77.85965485 -79.80475635  59.8450787 ]",700.1001634129116,12529
24,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 55.35310599  10.80915501  69.09252777  30.47712224  14.26391172
  50.83878857  60.91268336  77.17494667 -78.55264658  59.89801399]",700.1008377159263,11700
25,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.01827275   9.9277774   68.20207138  32.79540006  14.68349084
  49.96293672  59.38651405  78.91019402 -81.16981956  58.42591952]",700.083653164361,12823
26,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.87494954   8.56989414  68.561625    33.44972413  14.0803359
  49.56531551  60.37176623  79.29641868 -81.07894466  56.78810683]",700.1155830715908,12570
27,f7,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 58.91484934   9.83096758  68.73566344  32.1247803   11.90409183
  51.17417665  60.8903931   77.58081902 -78.26052267  58.00593948]",700.1279974531324,11330
