execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,reduction_speed_factor,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f6,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 47.60275526  -5.61021746   0.12668649 -32.44860972   5.72173243
 -24.27382829   0.76224329 -67.7753761   95.81559628  22.05665322
  -6.83389466 -25.35109893 -64.76455173 -49.8679862   90.63447439
   8.24053493   2.41502414 -38.37628883  11.22027721 -23.11225975
 -69.89806023 -19.36289653 -20.32700993 -43.25694971 -19.77242421
 -54.80370889 -10.71500896 -77.88915743  51.07434567 -27.77476915]",640.0948396341149,222149
1,f6,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 56.04517576  34.70787269  44.37582154  -1.55614278  58.02925968
  55.47493029  44.47717563  37.36863109  12.23781051  23.46388858
  64.80924844  38.13230681   6.97717858  15.28295154  69.85728807
  81.11296691  -5.66393987  78.93690857  50.80898009  18.867476
 -33.58242619  78.30837217   9.31831638  62.12671933  41.2504382
  62.06425765  31.82394083  87.19191716  67.71832605   4.90483971]",635.9316622944456,132496
2,f6,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 2.59638889e+01 -1.99325002e+01  5.42523159e+01 -2.85877516e+00
 -5.81498675e+00 -7.98974999e+00  9.69328698e+00  2.55381273e+01
  2.12448554e+01  4.41007005e+01  8.99399607e+01  5.31016829e+01
  7.00689248e+00  7.28853134e+01  2.82937303e+01  7.39226390e+01
  5.07960458e+01  9.22273320e+01 -1.68464397e+01  1.03847380e+02
  4.36297011e+01  2.69840162e+01  5.05787521e+01  5.39297875e+01
  6.54352116e+01  2.75944820e-03  6.18245685e+01  3.17566050e+00
  8.14146389e+01 -4.19589223e+01]",635.223543005295,98847
3,f6,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 80.68012598 -28.78916086 -41.4794869   53.5612672  -12.37563918
 -12.5856628  -25.55693067  67.46270827  -1.15898545 -42.84222594
 -18.42631453  52.02180263   1.7355351    3.67299118  66.66275777
  96.13643458 -10.68476348  72.35697704  80.49571268  31.43653513
 -42.91220996 -23.20420521 -31.69704437  58.18145834 -26.01118847
  -3.91303064  60.82406031  -0.35189586  67.75132701 -23.27853292]",647.461748373536,272797
4,f6,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 76.77659565  17.06197985  73.87416168 -35.35599104  -3.23310209
 -35.62599825  55.36893942  13.20836973  53.70813766  64.74794011
  -3.89506256  -9.54386078  73.71732267 -26.63861461  -8.90240705
  44.95732425 -13.19065826  21.0990776   22.92873301  70.68266457
   6.99370123 -63.31906276  -4.14986336  73.69704928  -5.69337095
 -43.29820081  68.70634295   2.55563152  70.22011748 -23.75138516]",642.9207545366701,272677
5,f6,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-43.38187512  24.32626184  36.82260665 -23.17778588  39.31702099
  43.25136964  61.43930617  33.13048948  34.56284003   4.5380164
 -18.86664326   4.79570294  58.80654003  72.93631057  40.51511318
 -56.44834949  78.38819906  93.47447517  25.17960133  16.62310084
  88.41431193  87.49819675  59.40159221  25.34382704  17.42989821
 -22.38663902  87.82861117  48.52818514  73.31356314  52.12431074]",637.8710470398477,156476
6,f6,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 70.82135367  46.61442688  64.95185598 -30.85473702  55.67767524
  15.71000425  20.34352048  65.74323104  23.77174914  50.87004104
 -40.70195592 -18.12822102   7.03908256  26.32755669  31.03401795
 -67.74978926  90.3159581   25.48959508  51.95258695 -34.37971808
  29.76614239  80.39738299  11.31896282  11.04643743  57.33876066
  52.74322456 -15.06370278  44.38720444 -26.91785982  47.30342083]",635.0079697972201,93153
7,f6,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 71.35467162  42.95622361  -5.85200213  55.48842358  72.09866883
  12.57356003 -27.75418024  27.52899061  23.77819152  24.41156775
  86.21131682  35.80006926  14.23350671   7.12069693 -15.24783929
  35.71052564  42.28963751  68.77174086   2.32580146  45.19003496
   8.73319055 -15.01265067   3.11740603 -23.64449823  -9.75074575
  78.39812718  -4.6201839   95.54452345 -40.92338686  61.47836255]",642.4562732448514,122276
8,f6,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 70.2982395   46.2960838   83.9263548  -32.04613705  64.662352
 101.32086551   6.94959448 -24.60451206  56.57488506  80.54009811
  45.26278735   9.64892794  -7.71871362  -4.00599063  88.25428347
   6.31524861 -20.35102745  -4.05900976  -0.746848   -28.75015406
   5.37932035  42.29736418  -4.26890674 -29.19123224 -43.34491664
  12.96290398 -26.69320726  -2.43875786  65.15642457 -28.05709037]",637.4174134014856,118361
9,f6,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 99.60400408 -22.5426748   46.99561697  20.90716947 -71.53863069
 -74.15155826  19.61183507  29.13153345  -7.689423    90.19440499
  45.13324367  65.44953422 -43.18106898  90.81626683  83.51150347
  46.75366053  19.96013347  63.98022052  42.54872906  39.36985872
 -31.21136395  -6.72596693  86.58492234 -66.9313143  -58.16104876
 -50.3978043  -33.32565806  20.66714505 -17.61031703 -56.29259872]",636.810731717173,179920
