execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,reduction_speed_factor,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f4,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-58.7198715   36.94401396 -75.12724805 -64.03158347   3.42796096
 -77.50939723  47.43043191  55.14891925  39.84852737 -37.66278019]",400.1100748922588,38426
1,f4,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-59.83557616  36.16648514 -74.88576083 -64.45317413   3.44391527
 -76.05659645  47.84472209  54.69269185  39.3618864  -39.40238976]",400.0864485610645,35646
2,f4,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-59.3084694   36.52725071 -75.02053621 -64.25362324   3.42944023
 -76.72308607  47.65436972  54.89875522  39.58547954 -38.54942506]",400.0972415042067,39464
3,f4,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-58.56884916  37.04386886 -75.17991525 -63.95378995   3.43511692
 -77.714636    47.3728608   55.22077393  39.91218253 -37.41449173]",400.1138570776324,36971
4,f4,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-59.41318875  36.47245101 -75.00100642 -64.30426969   3.41905825
 -76.63489473  47.67729864  54.86921344  39.55882433 -38.70592152]",400.09538575473033,37700
5,f4,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-59.25011047  36.58528193 -75.00636667 -64.25296302   3.41522021
 -76.81457043  47.60608486  54.92214867  39.60576177 -38.47811038]",400.098376441958,36994
6,f4,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-58.85584979  36.82599771 -75.05332277 -64.09573605   3.42206722
 -77.32077099  47.52598944  55.102788    39.77244503 -37.8463148 ]",400.1070217880709,43213
7,f4,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-58.92297329  36.80377995 -75.05305466 -64.13091931   3.39839951
 -77.2368978   47.5208828   55.06699429  39.73758865 -37.91551032]",400.10560158767527,43484
8,f4,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-58.70207674  36.90119429 -75.11105985 -63.95749013   3.43272033
 -77.53242558  47.42350906  55.1479317   39.83702273 -37.63417505]",400.11097147695824,35698
9,f4,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-59.93932036  36.11642438 -74.83845034 -64.52258447   3.41795792
 -75.91047121  47.91411819  54.66578281  39.30631388 -39.50020371]",400.0846089428312,32295
10,f4,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-59.55863323  36.31857326 -74.95649989 -64.28515089   3.47519695
 -76.37150715  47.75808027  54.79517554  39.47228832 -38.99500425]",400.09247529794015,37538
11,f4,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-107.37923499  -14.30923658  -74.97330637   -9.07285916    3.49349354
  -76.63216052   47.67361148   54.89209097   39.55539401    0.27925217]",404.077619458806,39489
12,f4,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-59.51629589  36.40356489 -74.90944276 -64.35948169   3.4142241
 -76.46058245  47.78505495  54.91377946  39.50328429 -38.85882936]",400.0948037525879,32398
13,f4,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-59.3857325   36.47006586 -74.98586731 -64.29547688   3.43548568
 -76.62802097  47.66645275  54.87285867  39.5663579  -38.70722241]",400.09556744867206,37858
14,f4,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-58.8691559   36.86148352 -75.08428508 -64.10304779   3.39784692
 -77.34412656  47.47460068  55.09741762  39.77570868 -37.85931842]",400.10699586611577,36564
15,f4,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-58.5119803   37.03432733 -75.15213982 -63.95262922   3.44216667
 -77.73402918  47.36087674  55.20214095  39.90589347 -37.37706026]",400.1142141304084,37456
16,f4,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-58.891971    36.82739778 -75.08546189 -64.084854     3.42626291
 -77.29049486  47.47965158  55.07845098  39.76856991 -37.90558025]",400.10630027956734,40321
