execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,reduction_speed_factor,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  31.13117907   64.33582168  -98.07081019   63.67565788   16.01145352
 -158.27067549  -41.62749347  -36.46044547   47.43564624  -13.87039428]",206518.8156139676,25132
1,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  37.14598073   65.89105356  -21.83145352   68.93083172   29.28094568
 -130.24682291  -25.63419881   50.91386603   98.62080327   12.85743592]",193335.053297994,28327
2,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  33.20308445   65.2982652   -69.36950241   67.48737785   24.5316333
 -148.58461499  -31.38888956   -3.6181482    66.69665104   -4.64389464]",25927.741419709146,24155
3,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  32.93098398   63.24787838   -0.93931291   62.89033341    8.96579211
 -149.60652005  -49.97694004   74.77873865  112.6648866    -5.69641557]",458996.0209321209,27934
4,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  37.7425332    65.91978668  -50.93290757   68.67109186   28.93973454
 -126.28373269  -26.15773226   17.52045791   79.0739137    16.28385092]",18005.620269921405,30112
5,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 45.95594349  64.30756177 -49.1034276   64.73470328  16.08986716
 -85.93119725 -41.60425834  19.62788383  80.30637667  54.15043904]",15677.565321512762,25991
6,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  40.97735295   63.66646326  -34.27035368   63.10434329   11.5840326
 -110.05069418  -46.8590709    36.62599851   90.25715566   31.42270209]",88091.75548287168,30158
7,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 62.45335646  63.99609152 -20.26294111  63.6205609   13.74585221
  -4.73900208 -44.36045736  52.64697016  99.68073534 130.29580144]",207092.5218687656,39108
8,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 66.81472988  65.26136339 -50.73967405  67.0430665   24.18310046
  16.11634226 -31.74029491  17.76445323  79.20534605 150.03060742]",22966.37702047568,24508
9,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 58.72591335  66.7073165  -20.61975137  68.85710854  31.06016907
 -22.9981561  -24.2534481   52.23375739  99.42364411 113.14949833]",200578.7646505612,24367
10,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  33.04240852   65.40860119  -43.56920807   67.50957023   25.37067389
 -149.11517139  -30.32361202   25.95712476   84.01568658   -5.21469476]",47435.5619916174,27178
11,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  35.83053362   64.42231971 -126.13772976   64.39922338   15.54623448
 -135.34623664  -42.51509612  -68.72338419   28.57158308    7.68250088]",577325.5471307103,27936
12,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 60.86676372  64.97497093 -48.46218155  66.27061463  21.59295337
 -12.73634714 -34.93379719  20.35092726  80.73780886 122.8518994 ]",21392.41938261916,30594
13,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 67.43521802  65.24496398 -39.81116282  67.22810871  24.2630299
  18.89110116 -31.66651889  30.29091764  86.53850509 152.71100046]",64297.856441667136,21780
14,f1,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 58.62037474  63.49543989 -41.92005962  62.01258873   8.41335249
 -24.13999621 -51.08162127  27.89461779  85.12243946 112.25458052]",45774.40342751551,25490
