execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,total_pais_cruzamento,tipo_selecao_pais,total_pais_torneio,tipo_cruzamento,taxa_cruzamento,tipo_mutacao,taxa_mutacao,elitismo,best_ind,best_fitness,out_bounds
0,f9,30,50,420,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-51.02210411598011 -58.22464878103306 -50.24937129600839
 -75.2360034301117 -64.70012222218797 24.099980055997534
 -73.70344014177448 -34.455919688576216 98.06900031217879
 88.51671993958607 -43.460069810892676 -92.57407922171043
 44.28133359199049 -13.647974469136145 28.560675061702398
 -51.02210411598011 -58.22464878103306 -50.24937129600839
 3.4652167032160293 -64.70012222218797 24.099980055997534
 88.33355907795129 -34.455919688576216 -22.31917656617894
 96.44955545766882 -43.460069810892676 -92.57407922171043
 44.28133359199049 -79.6290769503567 28.560675061702398]",0.0019174726844065,0
1,f9,30,50,817,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-62.74795772446582 14.823521098402608 89.65983481453301
 -60.914103778136244 -23.783701741309528 14.94230094162046
 -30.965589768957003 59.317735601457514 52.16049126115121 81.8586409088509
 63.27030236544283 0.9038339401989219 53.59257565626231 14.48102248692986
 74.66462680734642 -62.74795772446582 -44.20182190860582
 -96.83575143068875 -60.914103778136244 20.862096583994656
 14.94230094162046 -30.965589768957003 -61.48879580898632
 -55.71345313530234 81.8586409088509 -44.87937944782825 7.401423368108141
 53.59257565626231 14.48102248692986 74.66462680734642]",0.0020625086234697,0
2,f9,30,50,280,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[13.428825525541853 -57.07285072000927 48.351007776689784
 -59.83153124491092 -48.10391911914458 -2.1397423745748796
 37.85037495550881 13.257246823233302 12.82156237679321 39.32422316223892
 63.054063246973925 37.28205248754034 -31.308344439165595
 44.625178038277795 15.854620036477328 -41.82884418913009
 -57.07285072000927 10.176572537012603 -74.6103087344046
 -33.26564607083216 -2.1397423745748796 53.07922138718297
 -50.253142221473944 12.82156237679321 39.32422316223892 -83.3264008229822
 37.28205248754034 -31.308344439165595 44.625178038277795
 15.854620036477328]",0.0022754368589277,0
3,f9,30,50,659,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[11.568152477690191 -47.22266580949732 79.1140656283967 -88.87169178966236
 -44.889507395829085 72.52101745171163 10.523269264934669
 43.51782965442635 1.1193925399201277 -35.632189955596985
 94.85921280348643 -18.77950352057718 54.88943682757531 84.0832031523272
 24.16043916638533 11.568152477690191 -47.22266580949732 79.1140656283967
 24.55141010992992 -44.889507395829085 72.52101745171163
 10.523269264934669 -12.664851711967557 1.1193925399201277
 -35.632189955596985 10.53881970928947 -18.77950352057718
 54.88943682757531 84.0832031523272 24.16043916638533]",0.0020586909827875,0
4,f9,30,50,62,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-17.51290526549451 -29.942957828896866 -42.070393736847954
 -18.403546221209837 -83.4584776374287 12.206512763090089
 -28.208936183630655 92.6764336936854 9.265368197520843
 -28.356390717150106 11.106056401387093 -2.446010728311407
 -60.66637676911524 59.57310771590474 91.37596544314889
 -24.884846282491523 -29.942957828896866 -42.070393736847954
 58.888042973765835 68.5838848691312 75.08961184501558 -28.208936183630655
 -35.68060232966788 9.265368197520843 -28.356390717150106
 -75.76523860544167 -68.68546601770926 -60.66637676911524
 -63.46318849478081 91.37596544314889]",0.002447285824148,0
5,f9,30,50,97,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[-20.211039219429907 -51.14182660841833 -39.496377499921145
 -14.872533293002661 -90.5660394090686 4.812240744632263
 -42.96378714590501 72.65571130731158 -23.605497975527626
 -47.64553464938868 51.04614195360321 21.523648841194913 31.10427628943077
 27.91888794198792 78.5405669500256 -49.2823588452425 -51.14182660841833
 -39.496377499921145 -14.872533293002661 73.92013683263704
 25.984261084620513 -42.96378714590501 72.65571130731158
 -47.60122635287849 11.119953942590016 51.04614195360321
 21.523648841194913 31.10427628943077 -14.345134954995103 78.5405669500256]",0.0020283306243372,0
6,f9,30,50,779,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[49.302143436997 -76.59339289307164 13.528318031927157 -13.317286085474151
 -8.251663069234311 -11.264111870813892 -57.35609083289837
 60.680503198035154 -49.71800861439506 0.530884411112126
 -15.964749452067721 -23.43946775637697 4.338985957965491
 34.58961942246185 79.56181726642276 -7.057434227632939 -76.59339289307164
 -3.2992843819344557 -13.317286085474151 -8.251663069234311
 -11.264111870813892 58.1539534013765 -56.98138154945156
 -49.71800861439506 0.530884411112126 -57.95469223767456
 -74.83076143806404 -11.304402964122957 34.58961942246185
 79.56181726642276]",0.0024895489712103,0
7,f9,30,50,349,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[31.479892555951636 -7.873940767344621 69.06903175279467
 -24.324773313716136 -42.12543768431276 46.28425578002134
 -98.2401778599441 68.0438311362619 64.46951364719413 -26.29534146205708
 78.49662818062734 -50.897371336432414 -7.9001745728390915
 26.631534013183938 3.63391081715541 31.479892555951636 -7.873940767344621
 -48.705475232550846 -24.324773313716136 11.229715568180552
 53.939510094131464 -98.2401778599441 -89.5794627593865
 -46.797694791963586 -26.29534146205708 78.49662818062734
 -67.17177608655693 -7.9001745728390915 -53.964019222060024
 -25.72064994609447]",0.0021440329412979,0
8,f9,30,50,210,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[42.65204825992885 17.426070247059442 0.7225489881377456
 -59.201289998337714 -85.24158739762855 2.114691341822052
 -43.30723813148054 95.97877127057873 10.445978957371565
 -15.24768188520386 35.58200185095035 -20.447056492764887
 -1.980801588450305 85.90871488646656 11.164793651986741
 -55.04601220639091 17.426070247059442 0.7225489881377456
 29.330425595931587 -85.24158739762855 2.114691341822052
 -43.30723813148054 -61.13017445774764 10.445978957371565
 -12.871203877010146 1.4140931472381908 -20.447056492764887
 -1.980801588450305 5.460776468121793 11.164793651986741]",0.0022777162114129,0
9,f9,30,50,153,"[-100, 100]",2,rws,3,single_point,0.9,swap,0.05,1,"[22.107548169625886 -70.57642042719696 77.16632088661117 34.81713663332397
 16.57416558634796 42.16538663414656 -75.30684634953968 39.99626181491817
 -5.318620394913552 42.55266267950009 26.96157397018885 -35.34510380546267
 18.582397466221863 51.24196062773947 56.33448084283418 22.107548169625886
 -70.57642042719696 -22.89970577531912 34.81713663332397 16.57416558634796
 42.16538663414656 -75.30684634953968 39.99626181491817 -5.318620394913552
 42.55266267950009 -82.25452255920113 -35.34510380546267
 18.582397466221863 0.683381171309037 56.33448084283418]",0.0023017111431342,0
