execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f7,30,20,9980,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.11402176   9.68946688  68.73741533  31.46682847  13.24658823
  50.46354089  60.64217004  78.22584738 -79.9164231   58.47014301
  18.01060078  78.39204873   4.42880307  -3.27621298  48.21555112
 -43.54507093  -0.3049813   64.1364557   11.94578459  55.22854076
  38.18249207  13.75792533 -40.52254549  26.62656273 -66.64267702
  20.15357056  25.75111752  36.76033754  62.52032649  77.16863269]",0.0,95238
1,f7,30,20,10438,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.1139991    9.68952151  68.73747028  31.46679486  13.24657062
  50.46359557  60.64221256  78.22586154 -79.91639246  58.47004918
  18.01060111  78.3919257    4.42871254  -3.27631968  48.2155536
 -43.54517443  -0.30491781  64.13645308  11.94579511  55.22851065
  38.18245595  13.75785333 -40.52245436  26.62657079 -66.64278182
  20.15365161  25.75119673  36.76031555  62.52029064  77.16864474]",0.0,93566
2,f7,30,20,10150,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.11403102   9.6895251   68.73742653  31.46683978  13.24655419
  50.46360626  60.64222377  78.22584671 -79.91641667  58.47009254
  18.01068894  78.39204395   4.42878908  -3.27628435  48.21537707
 -43.54513685  -0.30493755  64.13640764  11.94579621  55.22850187
  38.18244151  13.75794361 -40.52247179  26.62662209 -66.64272534
  20.1535216   25.75112295  36.7603013   62.52034388  77.16860095]",0.0,93855
3,f7,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.11402791   9.6895245   68.25709906  31.57584292  13.24655443
  50.4635537   60.64222458  78.22585854 -79.91641994  58.99706447
  18.17381499  78.39203294   3.48610752  -3.27625829  48.57041333
 -43.54513041  -0.30491338  64.13639804  11.94579514  55.22850955
  38.18244689  13.75792576 -40.5224757   26.62659475 -66.64274992
  20.78684205  25.70163667  36.76029689  62.52033862  78.15979535]",700.0392601726446,94565
4,f7,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.18553069   9.30695963  68.79864291  32.05319449  13.7333801
  50.31798182  60.64222472  78.22585855 -79.91641992  58.08037823
  17.69102192  78.39203292   4.44115297  -3.27625845  48.74309468
 -43.26269878  -0.30491329  64.13639805  11.94579502  55.22850953
  38.07959419  13.75792574 -40.35076069  26.62659477 -66.64274984
  19.66831874  25.91923063  36.76029689  62.52033856  77.05823761]",700.0246370610605,95049
5,f7,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.11402785   9.30695956  68.77153032  31.30085895  13.2465544
  50.46355376  60.64222481  78.22585859 -79.91642001  59.12875879
  18.10118208  78.39203292   4.27471865  -3.27625833  47.86125485
 -43.2626989   -0.30491351  64.13639812  11.94579508  55.22850958
  38.18244669  13.75792568 -40.35076063  26.62659477 -66.64274975
  20.2947932   25.88733381  36.76029676  62.52033862  77.23246321]",700.0123209888753,93799
6,f7,30,20,10140,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.11402077   9.68948207  68.73738663  31.46667395  13.24653168
  50.4635017   60.64229949  78.22591511 -79.91642232  58.47025164
  18.01059763  78.39196761   4.42890332  -3.27632592  48.21568198
 -43.54513441  -0.30489469  64.13647489  11.94578883  55.22852758
  38.18245787  13.75790256 -40.5224891   26.62660704 -66.64282136
  20.15345422  25.75109579  36.76024824  62.52032288  77.16836662]",0.0,92551
7,f7,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.04252515   9.68952442  68.70330714  31.6326453   12.75972876
  50.60912592  60.64222463  78.22585852 -79.91641996  57.81159006
  17.92008797  78.39203287   4.58290335  -3.2762584   48.56997872
 -43.54513033  -0.30491342  64.13639834  11.94579498  55.2285096
  38.28529919  13.75792578 -40.52247579  26.62659465 -66.64274984
  20.01233816  25.61492509  36.7602969   62.52033861  77.10456836]",700.0098572846081,90473
8,f7,30,20,10014,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.11401896   9.68957194  68.73739973  31.46666643  13.2465235
  50.46344924  60.64221159  78.22587078 -79.91644711  58.47025426
  18.01062559  78.39199792   4.42891212  -3.27624411  48.21572132
 -43.54519074  -0.30492897  64.13649871  11.94571745  55.22848689
  38.18250249  13.75791986 -40.52243471  26.62659084 -66.64278091
  20.15350504  25.75112125  36.76028453  62.52029327  77.16838835]",0.0,100374
9,f7,30,20,10015,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 56.11401906   9.68953003  68.73740462  31.46684283  13.24655274
  50.46355155  60.64225731  78.22588748 -79.91642039  58.47003298
  18.01061298  78.39203476   4.4287201   -3.27623381  48.21552067
 -43.54515028  -0.30478325  64.13638103  11.94580537  55.22844098
  38.18244225  13.75793594 -40.52246573  26.62658268 -66.64278095
  20.15358527  25.7511861   36.76027024  62.52034041  77.16868163]",0.0,93538
