execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,reduction_speed_factor,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 13.50385346  47.08527982 -30.20549135   4.56494939 -53.49474972
  16.31484176 -37.92446755  24.65269914  30.27377973  39.70392435
  -7.91277406 -66.58824485 -43.36226281  66.13424201 -55.61875989
  52.1314793    6.13468573  79.3808262  -67.49178787  -9.17185023
 -62.9366502   73.90497287 170.98296426  43.98601695  50.76856528
  58.9914564  -66.49230209 -16.03322454 -38.42001847  48.01184535]",67413.00719052622,91000
1,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[  3.48336885  47.08534749 -30.2056397    4.56535871 -53.49629226
  16.31717858 -37.9245951   24.65292271  30.27434498  39.70425343
  -7.91327686 -66.58861768 -43.36369169  66.13446504 -55.619558
  52.1307559    6.13491831  79.38149416 -67.49179805  -9.17171754
 -62.93552792  73.90364126 133.86891457  43.98573905  50.76862745
  58.99087658 -66.49026608 -16.03474052 -38.42076707  48.01113905]",48934.18540574382,88190
2,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 52.65948231  47.08579158 -30.2051652    4.56538359 -53.49632758
  16.31690145 -37.92455578  24.65290606  30.27454904  39.70476436
  -7.91345702 -66.58862717 -43.36361021  66.13396065 -55.61945252
  52.13057475   6.13494337  79.38175952 -67.49273026  -9.17165541
 -62.93550241  73.90309295 316.02876228  43.98592458  50.76845993
  58.99145024 -66.49054265 -16.03539921 -38.42053103  48.01075443]",167844.6307652999,86054
3,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-25.08029436  47.08535106 -30.20554234   4.56522504 -53.49657841
  16.31746228 -37.9243967   24.65189629  30.27424417  39.70264233
  -7.91355225 -66.58856709 -43.36316599  66.13309105 -55.62106287
  52.13074984   6.13688165  79.38004134 -67.49387681  -9.1720629
 -62.93606669  73.90344335  28.06003416  43.98624822  50.76915316
  58.99089593 -66.49015301 -16.03428373 -38.42049413  48.01088298]",12585.512489644354,90127
4,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 38.40063762  47.08485945 -30.20587952   4.56472969 -53.49633492
  16.31699212 -37.92487177  24.65147092  30.27405285  39.70443196
  -7.91251154 -66.58879096 -43.36374961  66.13368497 -55.6199882
  52.1306793    6.13740074  79.38192316 -67.49173441  -9.1716976
 -62.93458029  73.90350411 263.20968728  43.9857478   50.76825715
  58.99145456 -66.49052806 -16.03513273 -38.42115988  48.01117477]",126049.21524152598,87957
5,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 12.16652435  47.08550926 -30.20492532   4.56545578 -53.4971579
  16.31681332 -37.92441725  24.6531587   30.27313599  39.70371209
  -7.9134957  -66.58844728 -43.36393926  66.13414858 -55.61926195
  52.13178377   6.13368871  79.38138673 -67.49348093  -9.17224219
 -62.93587419  73.90282757 166.02988731  43.98529717  50.76826244
  58.99105975 -66.48966072 -16.03345622 -38.4204098   48.01109119]",64770.01418085522,91740
6,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 15.67035637  47.08539243 -30.20556487   4.56530795 -53.49620954
  16.3170977  -37.92461092  24.65280835  30.27428873  39.70423072
  -7.91289586 -66.58860006 -43.36367737  66.13432056 -55.61951334
  52.13099325   6.13482103  79.38145141 -67.49193446  -9.17124401
 -62.93555753  73.90370628 179.00984808  43.98567195  50.76865687
  58.99114283 -66.49020423 -16.03478758 -38.42084427  48.01099336]",71765.24633247241,88964
7,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 12.7386296   47.0861351  -30.20527537   4.56504645 -53.49705993
  16.31706476 -37.92464235  24.65220195  30.27448663  39.70366436
  -7.91339592 -66.58853857 -43.36326552  66.13329119 -55.61907899
  52.13116193   6.13517256  79.38152985 -67.49246918  -9.17134037
 -62.93508316  73.90564402 168.14921123  43.98564067  50.76836233
  58.99097947 -66.49036346 -16.03504305 -38.4206548   48.01080369]",65881.5459125158,88899
8,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[  2.53171431  47.08544939 -30.20567621   4.56517164 -53.49610818
  16.31716329 -37.92471557  24.6526236   30.27435047  39.70423583
  -7.91304037 -66.58848111 -43.36374138  66.13406713 -55.61916549
  52.13083815   6.13454487  79.38147891 -67.49145333  -9.17155306
 -62.93586256  73.90374817 130.34365322  43.98555313  50.76846337
  58.99129292 -66.49028233 -16.03500712 -38.4208055   48.01055101]",47336.01312155961,89816
9,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ -3.75618188  47.08483807 -30.20578773   4.56549489 -53.49627189
  16.31747137 -37.92442637  24.65296226  30.27450524  39.70473716
  -7.91215623 -66.58767047 -43.36330603  66.13465931 -55.6200631
  52.13079573   6.13417377  79.38156613 -67.49179235  -9.1713224
 -62.93444253  73.9034356  107.04605404  43.98538353  50.76952026
  58.99137703 -66.49011291 -16.03457849 -38.42250811  48.01186295]",37453.85264678353,90096
10,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 44.86895019  47.08591266 -30.20565954   4.56623313 -53.49548115
  16.31731115 -37.92470603  24.65251179  30.27416149  39.70446221
  -7.91331791 -66.58859486 -43.36470652  66.13383677 -55.61931276
  52.13062792   6.13500854  79.3809659  -67.49189343  -9.1711835
 -62.93589297  73.90403146 287.17606193  43.98548592  50.76846288
  58.99129447 -66.48999556 -16.0346582  -38.42078801  48.01139591]",144264.38905769,90486
11,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 16.90485334  47.08581592 -30.20547709   4.56471238 -53.49470788
  16.31810885 -37.92391224  24.65266325  30.2746593   39.70352506
  -7.91373908 -66.58831614 -43.36425799  66.13347661 -55.61981677
  52.13095467   6.13465629  79.38258243 -67.4919566   -9.17142182
 -62.93441122  73.90342545 183.58217283  43.98630994  50.76793392
  58.99125646 -66.49007192 -16.03510003 -38.42272196  48.00978489]",74339.06667449218,89378
12,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[-13.46232832  47.08579901 -30.20551382   4.56532253 -53.49540821
  16.3161326  -37.92516957  24.65209609  30.27449706  39.70405365
  -7.91287148 -66.58764138 -43.36172353  66.13338337 -55.61942453
  52.13094863   6.13646613  79.38123962 -67.49231711  -9.17076952
 -62.93673178  73.9026855   71.09148557  43.98558246  50.76814905
  58.9907318  -66.49004947 -16.03546491 -38.4209007   48.01055678]",24472.16315890612,88860
13,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 24.42865418  47.0856095  -30.20548616   4.56529586 -53.49621225
  16.3171403  -37.92467156  24.65277292  30.2743456   39.70428692
  -7.91344251 -66.58937784 -43.36367865  66.13402806 -55.6195208
  52.13070833   6.13480008  79.38157209 -67.49194639  -9.17189201
 -62.93555949  73.90369488 211.45782505  43.98567522  50.76846033
  58.99110965 -66.49026864 -16.03470232 -38.42074719  48.01095684]",90876.75299606728,91837
14,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 11.30158815  47.0853056  -30.20553603   4.56486225 -53.49640546
  16.31702736 -37.92451814  24.65294669  30.2741178   39.70409375
  -7.91281407 -66.58852147 -43.36371823  66.13488436 -55.61974068
  52.13106947   6.13460121  79.38174697 -67.49149252  -9.17156774
 -62.93512028  73.90328489 162.83043252  43.98523294  50.76878959
  58.99119413 -66.49026446 -16.034696   -38.42056971  48.01298699]",63085.69868806071,86086
15,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[  3.22714788  47.08541939 -30.20662567   4.564867   -53.49599228
  16.31789878 -37.92460279  24.65281196  30.2742331   39.70396986
  -7.91168457 -66.5880434  -43.3647703   66.1348769  -55.61948143
  52.13130655   6.13511651  79.38162234 -67.4923497   -9.17141476
 -62.93598832  73.90382312 132.91482332  43.98580115  50.7684899
  58.99098194 -66.49058728 -16.03528368 -38.42129634  48.01138105]",48513.54840606102,86937
16,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 15.62052965  47.08535988 -30.20567162   4.56555129 -53.49614403
  16.31658475 -37.92450542  24.65153738  30.27436151  39.70430305
  -7.9132656  -66.58834237 -43.36372859  66.13354724 -55.61936187
  52.13078312   6.13501247  79.38181368 -67.49177668  -9.17090148
 -62.93565224  73.90352148 178.82527482  43.98572995  50.76828821
  58.99185635 -66.48985201 -16.03461543 -38.42099141  48.01083062]",71666.520486873,92667
17,f2,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 24.96628464  47.08548876 -30.2056008    4.56486575 -53.49595074
  16.31705671 -37.92504845  24.65240921  30.27491023  39.70429167
  -7.91210653 -66.58858648 -43.36412952  66.13373794 -55.61982771
  52.13046374   6.13742648  79.38213752 -67.4919374   -9.1707827
 -62.93542005  73.9040612  213.44940233  43.98608255  50.76885175
  58.99159032 -66.48997795 -16.03478731 -38.42042313  48.01064635]",92136.15101775616,90287
