execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 10.91779193  52.14393586  79.19614197  76.82661396 -11.57604445
  34.43224594 -16.27130597  65.2390671   80.19533096  31.79945331]",1400.1079019838485,32200
1,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 15.96136432  49.64326763  77.00907285  69.06922426  -7.32705083
  35.06180389 -25.70746014  60.85123619  88.72496392  50.06746113]",1400.1478182444853,34215
2,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  1.00526309  53.77370305  99.19724466  71.40243161   0.93608319
  44.66898442 -27.53315405  68.09844972  74.76757615  40.13885017]",1400.0787752249971,29709
3,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  9.27615744  35.82125749  98.31850479  76.33825915  11.58908019
  35.68051158 -21.1172293   71.10169456  82.23824454  63.28513936]",1400.138408061168,36536
4,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -1.82712143  51.86999289  99.2793525   60.36601795  -0.71763741
  41.89059144 -21.97214867  64.08833709  87.35581658  61.34381475]",1400.2067261575733,33205
5,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -0.43549529  43.04092366  85.57421537  82.13562793   5.29947587
  34.60420395 -18.42794056  84.85772845  61.32028738  34.4666897 ]",1400.1169045628085,33554
6,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  3.48748178  45.47669424  86.88278151  67.15662017  15.47255575
  39.41436863 -26.07964932  64.79595128  61.90215794  47.83353426]",1400.1271427054126,33088
7,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  1.24558941  62.03149705  73.44434196  79.94723361  -0.15676477
  43.4225973  -25.60563466  65.72642688  76.80889442  44.68908771]",1400.083865246611,32517
8,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  6.07817622  55.56472379  89.8293896   75.92365732  -1.66642166
  54.62187108 -21.22600262  77.33287726  92.07218896  52.68454782]",1400.1120492282585,30474
9,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  2.051984    52.48601346  75.61664326  76.64092374   6.82315746
  28.74047702 -23.67850043  56.14962944  85.51939915  43.52884039]",1400.105922536238,33677
10,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 11.42951575  43.20509177  83.62342924  69.9010449    9.48137575
  63.48798775 -18.98348423  70.29932932  80.14698322  53.56331212]",1400.1595176130998,29960
11,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  0.33538698  33.70055572  81.60764007  63.94065047   2.73444121
  42.75251853 -12.46097656  54.6558448   86.98684207  29.55373242]",1400.2351084037416,33394
12,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  5.7874604   39.04997262  82.85257231  70.05249456   9.81107273
  15.48444912 -18.7540113   67.29393566  67.77659104  43.71702322]",1400.157238041911,30019
13,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 10.63202375  37.39299984  84.37166946  79.37835074  11.2489444
  33.47048515 -29.49366037  89.09351379  70.29311266  44.93544818]",1400.096232972499,29800
14,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -1.06917548  55.80362802  89.2683002   81.53826913   1.52410043
  30.3044774  -21.5350813   77.18320825  75.28767231  34.35101377]",1400.0534976474007,30504
15,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 12.69627542  45.50139642  80.78167685  72.40905807  16.55356063
  35.73901888 -21.32554033  79.9947531   81.19258646  55.61579504]",1400.114656235203,31159
16,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  8.98538179  50.15721532  86.00500378  75.36306902 -12.53974032
  45.81848817 -20.69148164  82.52362558  65.55174223  42.9867339 ]",1400.144900341107,35564
17,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 11.01211623  57.974059    84.1821769   71.10433657   3.68618998
  33.61036147 -23.35924866  77.56963847  79.8911534   32.97374906]",1400.0448516206616,33757
18,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 13.17637059  28.67081136  89.20272419  76.00844584   1.68539522
  41.40537885 -17.94561937  69.11472899  61.32430353  34.94921014]",1400.1485708995526,33599
19,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  3.4916397   46.86602017  88.94028505  78.91577241  -0.4216212
  30.12949321 -26.30572992  73.82303202  92.90147907  34.66392887]",1400.08266437091,33914
20,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  0.76891835  46.52266366  79.01233701  71.04676672  -2.39588371
  26.25353665 -30.17271197  63.35691242  85.1829691   36.53145291]",1400.148031254079,29501
21,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 11.74650472  39.13838424  89.76227147  83.96657611   3.88665127
  49.57136014 -25.71013294  85.56677418  76.10243732  39.49119786]",1400.0728922015287,30656
22,f14,10,20,4999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  7.01449402  61.62627392  76.16661423  73.99219852  -4.00250268
  37.30334445 -12.4859149   80.92202066  86.416365    41.0473103 ]",1400.1161554926605,31308
