execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  46.59715431 -128.32964165   62.71659982  -88.21016986  -70.78132642
  -22.91649587  -44.47601765   25.53965897   44.6614176   -47.20997285
   14.35236386  -34.37995163   59.40335723   43.75106729   68.0402481
 -104.91951165  -25.57883434  -64.21778899   53.50390807  -13.74807347
   63.66248397   11.13470118  -44.11739145  -75.30290882   69.56854166
  -19.28363711    2.21744126  -23.84638086  -69.16974351  -22.73372495]",980.5915525537408,186845
1,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  0.1139898  -84.88466103  39.50256723 -50.84424665 -28.89653306
  29.18409203 -98.54110605  33.14206815  13.48465658  -2.75985466
  61.8429207  -30.67850985   9.17316617  31.84942271  57.392613
 -86.8330945  -19.24749454  41.3741962   -4.68536946  10.75080383
  25.00277869 -51.7577142  -47.79580058 -74.99101575  56.21648516
 -28.4139743  -39.22185245 -24.14439004 -63.07844299  87.39404174]",983.5879663402784,180145
2,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 28.35547794 -41.42793493  19.22321828 -85.47292    -69.80344517
  35.73945015 -29.17388721  13.78984884  56.05296768  33.71555821
  38.75754809 -23.91050229  82.45046081  81.89481618  27.97688579
 -53.91971554 -24.2790985  -36.65240815  29.2257846    3.94904686
  27.33802349  32.8329547  -36.46726486 -74.69780583  36.45566461
 -44.56106141 -46.34790209  88.4768152  -31.50897268  -7.2295031 ]",961.7962398265576,202544
3,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 53.06994321 -58.86674264  19.70071081 -58.62999682 -60.31922598
  15.4967968    8.87402021  34.52182843  20.71446359  73.25306135
   3.69502038 -47.36836361  53.21874981  39.05592575  65.4896078
 -38.88301586 -32.49885092 -22.1393033   39.16494242  20.68489532
  47.97793428  -3.2726236  -27.91631079 -66.13335755  27.05676229
 -64.35812794  -0.24670487  -1.86105538 -38.98350695  -1.95363133]",943.7781430602184,167834
4,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 32.61031895 -49.99667537  49.20595547 -19.97321649 -48.78617899
  27.58566514   1.63022619  29.92759031   0.34295779 -15.69691814
  39.97368951 -14.82088366  28.36862959  96.28112323  81.7954361
 -45.05747859 -26.58992981 -47.60005492  -0.98253323  -5.74326081
  53.10114396  43.5375961  -19.0062842  -92.14466776  75.26782025
 -48.91106273  -9.63808524  -4.18933355 -23.22720866  53.54722776]",965.667171686366,191003
5,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 35.7131168  -93.74800497  49.66429063 -76.81272652 -41.21916547
  26.67948218   9.12448614   4.11490885  11.06382752   5.60641037
  20.48155742 -37.60567276  15.5788894   44.14490292  21.5752135
 -56.66005269  -1.73718705  16.2249051   12.31203452  36.51633196
  14.57267073   6.07732475 -70.6012264  -48.99212967  38.50152369
 -52.40291303 -37.06015474  -8.83546677 -32.67302173 -23.13381589]",953.7276983114324,186579
6,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  -0.47739106  -58.86672709   35.56719116  -36.86226919  -71.58123067
   51.37359629  -32.83338881    8.70913933   31.4353013    -1.87062135
   75.58661076  -90.45195329   55.14995749   57.53193204   66.39487595
 -101.44948571  -17.94491115  -21.74085438   12.6941034    47.71210978
   26.97200141  -40.73314106  -27.29687993  -66.13335209   63.40333588
  -57.86960964  -49.67241378   12.18572847  -44.92037684   54.6786011 ]",951.7377396209058,162074
7,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 21.04256738 -85.02226756  45.53125214 -16.91067503 -79.45197173
  29.7080745    4.19190131   2.95705051   3.61369757 -38.20989797
  42.01060968 -32.66565246  46.18331239  66.87940102  75.02540958
 -84.9899994  -18.88016898 -65.48916149  30.18409096 -45.51668903
  67.70078957 -42.50457682 -47.30128722 -31.80337371  35.78978227
 -97.37161053 -60.63703339  12.56945196 -14.23112212  39.70056062]",994.90275986217,209669
8,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 39.49034756 -58.86672713  19.29259733 -59.4221026  -30.22018818
  32.65263945 -31.64263887  31.29496811   5.72827661 -14.80597206
  36.50959502 -68.84163871  23.85412884  52.68693482  46.17632431
 -99.12323118   1.406839   -21.61964915   2.36150462   5.71441205
   2.4063124  -12.17762775 -46.42044326 -66.13335239  88.37110032
 -38.35531808  -8.53706119  11.92104842 -44.53824012   6.77905205]",939.7983118601028,187535
9,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-36.65663435 -50.29609783  36.03128326 -63.85550444 -51.1541291
  20.57538853 -22.62155332  33.59208989  15.91409126  -0.08810094
  54.98529464 -15.08822202  31.94581538  67.82673311  69.14029333
 -81.76874216 -53.33308387 -12.67897265  13.37082211  63.2177719
  59.02543584 -35.58293779  -4.02807169 -48.69266899  60.16334631
 -57.18924569 -47.47004069   8.68999372 -87.5420952  -38.85711123]",962.6822438182622,179649
10,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 24.75616579 -24.28479421  20.99093952 -71.73516189 -28.02145237
  46.56091931 -50.56017648  12.86574796  51.22187248 -12.97977117
  13.65216332 -42.94134384  21.24536542  75.27362657  26.64052446
  -6.76557045   1.93505207   2.83726014  13.07443277  32.82274937
  57.08649978   0.48213743 -46.33292872 -39.82270039  48.34510345
 -29.93866654 -77.89701663  13.57187776 -39.53411471 -37.47109788]",962.6822570150156,167377
11,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 38.55068103 -49.99667577  57.99726557 -87.87562683 -43.89591987
  -4.37553932   5.91676055  33.12723261  13.5138854    4.71535785
  64.58266439 -36.11794941  59.41417458  94.45617822  42.3681877
  -2.17489204 -49.8659852  -40.67344983  17.80317434 -13.23081521
  36.15106157 -51.73801382 -41.75305287 -92.14466759  11.31118746
 -38.74590271 -38.16114715   7.00390906 -11.36211743  23.6343367 ]",958.702503717961,170434
12,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 68.71434135 -58.86672347  76.33305727 -49.68964112 -47.13131289
   9.41745475 -18.01122879  49.02795441  21.93966522  -9.62629695
  20.97826706 -41.40412856  59.33181248 136.94427231  56.12561065
  -7.39561022   3.74123801 -10.69971032  29.20940361  27.15135163
  75.75971602 -32.18037767 -52.86077557 -66.13335372  22.39642259
 -49.90729892  -8.85102365  24.73898733 -42.38840402 -26.40742583]",962.6822539394336,188709
13,f9,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 39.19356045 -41.42604343  -0.78540225 -86.40426874 -72.0909065
  20.67396074  21.43436058  -4.86724408  35.01055426  24.77775313
  50.46415812 -17.65330208  37.06991283  43.76006157  73.33901915
 -57.50096043   6.75980305 -22.40606513  28.4838194   15.79312516
  95.94974772  20.48481099 -58.32013783 -74.70398419  53.11771744
 -38.21710219 -22.38930877  13.8037409  -43.85701881  47.26952515]",959.6974274194476,185464
