execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
12,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-17.61171211  28.56837049  52.63120931  48.85150813  -3.05671125
  33.24884625 -23.36376296  76.94600965  75.80489568  55.87568333
 -13.84848771  -8.91642955 -49.13425004  39.65706607  62.88444029
  69.35853173  10.00377781  16.22392395 -49.30718977  62.0807555
 -12.35187015 -52.80464274  61.53498658  38.51471158  73.01321371
 -32.64549017  35.96544189  20.53481174 -56.0051689   -9.13272981]",1400.7207872448926,136072
13,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-11.99444508  34.5617716   90.27598105  58.40081702  -4.80881833
  31.51340824  -9.30739389  72.84460269  75.16718622  61.81654307
 -12.41331849  17.39265428 -16.23693266  62.64636079  52.48958471
  57.94743421  15.40351436  15.46415292 -53.51739995  72.67984584
 -15.29173146 -56.02535812  63.57749512  40.12685395  44.27627874
 -31.04135084  38.16078504  40.5994103  -51.99727216 -18.78158511]",1400.3030354629627,156426
14,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-16.106498    17.48566609  72.86992456  61.29674641 -19.83408719
  31.52347996  -6.6823878   75.46032586  92.35411487  47.61418521
 -16.35304256   4.86404595 -35.64791391  45.23398527  44.70426911
  59.9137236    8.06813558  21.80127746 -55.86216317  62.59170726
   1.46286221 -26.12897654  56.03573989  29.53389452  55.08574062
 -25.88585128  26.88973224  30.99484777 -46.94211281 -18.94255013]",1400.3232988056764,139569
15,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-18.0479419   32.84421288  85.37718577  63.67088924 -35.65000674
  22.78794046  -5.95741582  78.15198694  80.16905619  55.44459326
 -20.17372207  18.93470565 -38.72882823  49.3386679   65.70708276
  66.72151676   5.08314084  34.80279836 -60.07185904  63.94404781
 -11.57793189 -40.10141772  65.49408044  48.3179235   48.19179927
 -40.30459603  41.28409394  30.50562266 -63.97973025 -15.48171393]",1400.321357950259,150667
16,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -0.83615239  25.43531086  60.77781781  54.84664815  12.76584305
  36.7366167  -14.48663672  77.46857338  72.85560941  54.31731634
 -18.27588544 -12.05964597 -47.57151879  40.9195984   63.43979817
  67.91896507  15.73267186  14.76322023 -46.27520989  60.29471331
  -6.86678276 -70.2613225   85.50632973  50.31301456  66.94208564
 -40.35148019   9.74022768  21.8866706  -54.26064702 -19.96992672]",1400.905967131535,139281
17,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-20.65449691  27.59394015  75.20556478  63.01569376 -11.99044135
  29.48054425  -5.04821658  86.18364908  64.85394058  64.09802384
 -19.8256852  -15.31717972 -19.63818604  44.71752323  47.13477435
  50.63828406  14.01215911  12.87114079 -53.82808266  88.63044302
  -5.8929207  -41.8281683   59.76624979  36.72362659  40.4716615
 -37.75693098  32.52928282  27.99225297 -53.75566437 -14.84308974]",1400.3284643388436,142043
18,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-34.32849002  30.6826155   80.88428945  58.37752803 -19.46889224
  39.10404847 -21.78853282  79.37939124  76.91256568  45.36277238
  -4.14454771  -2.71486251 -25.92145211  58.81583186  60.2971347
  53.26836633  -0.71263905  14.82928374 -47.48559154  85.43308382
  -5.94816856 -31.17850829  52.77415537  52.38259453  52.49567388
 -31.03831277  31.23119298  35.8640802  -59.70341093  -4.73321138]",1400.2884222175314,140418
19,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-14.46067064  17.37005318  56.28526371  50.2709408    1.15256074
  53.61323214  -4.11647279  82.08789089  73.59650662  59.27696347
 -26.24896363  -9.06535064 -48.87431395  34.35353684  58.1558705
  66.0347875   15.84650283  20.83461626 -54.4426408   85.85109063
 -17.67979933 -60.48328079  65.70837735  31.90718073  70.59298416
 -30.2430016   25.71695587  16.50117259 -53.270698    -4.6306687 ]",1400.8909013272196,145873
20,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 11.23827939  35.51441469  89.99175187  50.65799232  -8.95096765
  13.43259926 -13.51358894  90.02989418  78.17779118  48.67515313
  -8.43965876  21.04398882 -18.06033207  51.90853505  58.43157404
  59.55598893   9.51665517   2.56606001 -69.39674034  51.51509852
   7.28910448 -24.42643429  50.05834052  44.52823831  48.49893457
 -39.199729    27.66001323  25.66883551 -55.10602342 -28.6443485 ]",1400.224444610921,154645
21,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -9.02072714  29.98848768  72.39297231  56.74413737 -21.01969742
  45.95408381  -4.10881449  79.38839434  84.20807734  42.5268125
  -1.78688358   4.11839734 -41.14176495  20.86065044  60.91069333
  54.17298455   1.44515044  16.78491712 -50.07514007  62.34181785
  -1.54424567 -32.47159683  56.91337729  41.68697144  37.17144137
 -32.49328707  48.46647825  33.10080088 -54.90419636 -25.19775411]",1400.279014059303,147612
22,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -6.87524863   7.31309564  76.31439031  52.10190009  17.50622784
  55.31703409  -9.44702271  63.47820696  81.35801574  73.19308222
 -28.89932572  -5.57805806 -38.87381122  37.47136449  55.20874579
  74.17005478  13.52897015  21.65028644 -56.84582249  65.26637307
 -11.63157541 -56.32121649  77.08678886  31.47582715  74.57991821
 -36.12444404  22.0488423   19.03302017 -59.67561024 -16.40580603]",1400.9498179482182,135250
23,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-31.31205768  33.48694883  89.53997401  60.77123287 -17.70587521
  28.53733459 -12.63244027  66.54082437  78.52662023  43.53094254
   3.24472561  15.60415429 -41.20206359  63.06226557  46.82349267
  63.44383719  -8.48700986   2.07127418 -68.97704392  86.44938983
   6.55295068 -30.36039087  49.52897849  40.4338381   60.55631417
 -25.83223346  24.38589934  31.20052067 -42.4755772  -17.27679916]",1400.2210805740117,134907
24,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-17.21285831  24.5411344   78.14028156  53.5305743   -3.9891903
  38.30595918  -3.98584477  89.3423441   68.26012765  53.29966579
 -11.63036283  -9.90470185 -24.43288701  72.31042992  62.05060844
  48.83559955   8.43368102  29.9517569  -49.71436728  76.36818884
 -10.18647017 -43.56728762  32.26127659  43.43142863  51.34815501
 -37.25125052  33.8147626   25.65966007 -66.02821165 -17.13767285]",1400.328051420283,148498
25,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-19.95071228  34.99656489  89.98966145  62.6717348  -14.42076149
  23.30937429  -0.09457565  91.04480562  69.20389424  46.2090547
 -11.35721532 -19.82754502 -15.67399045  39.55453475  48.75996138
  56.09197921  -3.52236878   4.64737494 -58.28953733  69.91935356
  -6.52473922 -44.75989881  59.72171078  30.88400321  41.95792846
 -33.92067761  38.486595    30.1776788  -47.64775652 -27.09052737]",1400.250311571036,138356
26,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-10.14195388  22.02084383  76.01528502  45.17269806  -1.45484803
  51.52570974  -4.74688879  68.81462506  89.91983305  68.31250178
 -25.81980886 -20.95126904 -51.13654961  41.02646613  78.90887901
  73.53957249   9.54295307  19.88451472 -53.23943796  51.48969388
  -3.25439009 -45.86697164  67.52952491  36.5004872   58.84512726
 -41.39751332  27.51319773  32.07645965 -63.92883337  -9.26333617]",1400.7787688881417,136594
27,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  0.40962207  41.17929707  78.06474369  71.08295631 -12.76274612
  41.5816313  -25.39733479  87.64033816  78.5051397   44.72557956
   6.49488316  -8.86942849 -22.96101538  56.24013335  62.04117589
  62.17983517   9.04828602  18.56860552 -62.21619091  77.10876827
   8.13223383 -34.80777706  53.8727596   53.8246776   45.51796686
 -36.98124533  27.58169195  26.7910195  -58.74724558 -23.01668952]",1400.2903467774452,136615
28,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-19.40710332  36.05224946  87.62746705  64.82026341 -26.50025038
  23.48110431   0.57991998  70.99749944  94.71563018  50.79986899
 -13.20747937  -4.52956266 -39.60368367  43.02809953  63.19953665
  57.69761377   5.85246837  20.2000691  -30.035664    75.93188434
   9.44841396 -54.09427192  41.59378492  40.3954854   49.57988797
 -33.387535    43.22843324  30.10797594 -57.84438098 -18.89038847]",1400.2777158303838,143002
29,f14,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-6.23476360e-02  3.18227453e+01  8.99964334e+01  6.09730879e+01
 -1.33789396e+01  3.87972119e+01 -1.52858164e+01  8.14212179e+01
  8.85068932e+01  4.76636436e+01 -6.65234333e+00  2.63066971e+00
 -2.98746429e+01  6.30217215e+01  6.48188724e+01  5.28596560e+01
  1.53095312e+01  1.49797959e+01 -5.76036302e+01  6.21469187e+01
  8.05578103e+00 -4.53823097e+01  4.74748978e+01  5.47976712e+01
  5.45947343e+01 -3.12911742e+01  1.79298780e+01  2.63414079e+01
 -6.04176306e+01 -2.30289400e+01]",1400.3200106005447,129891
