execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f4,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-169.97189823   12.35969933  -86.78762184  -68.33879343   19.24346817
  -27.74291218  -15.61170501   62.63087169   35.10909432   30.04046588
  -39.67807713   28.02047109  117.3422813    15.31327868   31.96756829
   12.78368793  -38.01646811   77.52525732  -94.97938515  -38.28112436
  -52.71897354   47.59334778   53.90000932   44.65154751  -86.37425073
  -64.83687958   26.83051074   26.40272388   51.91598567  -15.88291351]",425.1275248620653,98857
1,f4,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-169.29522805    9.20507484  -89.88316577  -64.29261314   18.92537901
  -25.12875357  -14.45478666   62.45950713   32.70853704   29.0634473
  -39.66954335   27.98865022  117.98345207   15.15121482   33.60005042
   15.06097002  -37.77510906   77.52724923  -94.38269087  -38.2795834
  -52.62940173   47.56067242   51.92744121   42.35194207  -87.05235049
  -66.72040015   26.81884569   26.93892665   51.55252453  -18.9589561 ]",425.5903176677625,98335
2,f4,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-169.91793878   12.13374166  -86.95982112  -68.08723191   19.25818238
  -28.16665771  -15.76177223   62.65599735   35.18029375   30.08460547
  -39.69229712   29.02723718  117.50375625   15.21892638   31.93931459
   13.12608459  -38.0024684    77.55723948  -94.82675636  -38.29239654
  -52.72286333   47.63388761   53.88362431   45.01428135  -86.40883107
  -66.21376876   26.82122323   26.48800658   51.79419756  -15.86763478]",425.11003125106254,101343
3,f4,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-126.27642474   -0.90156465  -79.91911136  -61.93171565   30.40113441
  -58.57055632   -2.88711474   38.83468133   67.11852327   -2.82130091
  -20.2402803    14.0118856    93.55804121   31.18144247   19.51679362
   97.00154364   -9.88247053   77.48104789 -109.89816096  -76.02597329
  -44.68167156   47.63367913   80.45713025   64.43725039 -124.20884841
  -28.25962604   26.83417579   27.22187672   41.18733213    6.47291412]",419.1788370610256,143567
4,f4,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-169.32085448    9.6838759   -89.3555702   -65.16550257   19.08942592
  -25.60916938  -14.70652106   62.48155376   33.19857931   29.31114449
  -39.58899006   28.14703205  117.7441212    15.22096312   33.20475593
   14.52656446  -37.76819403   77.5298784   -94.59682162  -38.25879161
  -52.64115881   47.53079573   52.53199518   42.75223039  -86.98808805
  -66.01411978   26.79710896   26.88564457   51.6084423   -18.38287721]",425.4770350715036,103948
5,f4,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-171.40389213   15.5302291   -79.20561217  -76.03331616   19.58326216
  -43.197951    -16.00159619   63.02016898   41.33696844   32.67040992
  -39.64700381   29.4055591   115.94637355   14.70559143   27.96637974
    9.8235608   -38.00169557   77.58145009 -103.29975859  -38.28321422
  -53.10754419   47.53800064   59.09612097   53.23180837  -85.39161238
  -58.49267106   26.72708627   25.4050702    52.80063261   -8.44744866]",423.2450476732716,144035
6,f4,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-170.03462305   11.84520067  -87.16714351  -67.89887801   19.121558
  -28.29889718  -15.666112     62.72799841   35.27841832   30.02753357
  -39.67847037   29.02945923  117.38028252   15.28073177   31.99878179
   13.06220414  -38.03912265   77.48523253  -94.86731625  -38.22865249
  -52.67710324   47.56962988   53.50997562   45.19396251  -86.97364268
  -64.90726      26.82940066   26.50735145   51.76308967  -15.80948534]",425.0682705527782,138820
7,f4,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-169.18916104    9.17482985  -89.81872911  -64.7874923    19.02748397
  -24.91962721  -14.61865032   62.46029118   32.04694879   29.03418032
  -39.68674692   27.54478475  117.93853008   15.11470298   33.48323005
   14.8145543   -37.65532046   77.54218457  -94.41188616  -38.26896357
  -52.61440327   47.57320967   51.57759321   42.21205247  -87.91606662
  -66.71974585   26.78038689   26.94352938   51.58923234  -18.78019392]",425.6500176219792,152778
8,f4,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-168.46579605    7.79505657  -90.82133423  -63.48532797   18.91340899
  -24.2372357   -14.04020194   62.38427574   31.38498995   28.78384312
  -39.71018811   27.60773264  118.2452804    15.15761084   34.23368944
   15.60432816  -37.57163338   77.61274646  -94.30864071  -38.26129937
  -52.58357186   47.58933208   51.33816967   41.36348591  -87.2134982
  -66.99438293   26.79986298   27.20212034   51.47038514  -19.8774835 ]",425.7683868682767,105755
9,f4,30,20,14999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[-169.32577239    9.37445681  -89.497535    -64.97679486   19.06000271
  -25.28837256  -14.75173867   62.42254907   32.74299449   28.82665807
  -39.69784897   28.02984845  117.96226514   15.2519321    33.52338426
   14.73564421  -37.52963978   77.57220989  -94.37116959  -38.26336846
  -52.58651969   47.59826432   52.25624017   42.51386824  -87.03294324
  -66.37476371   26.78427454   26.88010434   51.56838057  -18.71384784]",425.532886790586,102392
