execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -38.01094414   19.57962465   48.15595086  -51.81444077 -176.02344165
  -49.67284981  126.53544995  -30.92725832  146.96340795  -98.88363785]",601.2952228801319,27957
1,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 13.04503293  59.14550648 -66.4881258  108.74469361 -29.08664771
 -61.02031514  70.3976168   23.30763344  -3.43417456  22.12991266]",600.1327117925136,26267
2,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -3.90144884   6.32578604  59.0118178  -37.71972726  47.66507184
 124.80881701 -58.24101806  18.29985728 -59.50650954 -22.99562261]",600.1257260514731,17402
3,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -72.17287916    5.96372289   60.51523396  -39.17832842   47.78358927
 -132.90109267  -58.28861478   18.13297441 -119.94808949  -95.72720131]",600.4412254499821,27266
4,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 13.39390075  59.14827045 -66.50291767 108.75876043 -29.7591771
 -60.7283955   70.70826021  24.1268531   -2.96590495  22.61440413]",600.3906591649778,21711
5,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -2.835078     5.33151967  58.03309214 -37.8276562  -47.21535363
 125.79112188  -9.30307423 140.59273513 -58.0900612  -21.53093871]",600.6879227824567,29456
6,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  13.29534903  -29.47391253 -160.37420144 -213.20890846   47.64268045
  -60.86817214  -58.22710796   18.29936643   -3.19145832   22.35828239]",600.2538492868563,27669
7,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -3.28029762  59.15338122 -66.49880126 108.76044666 -99.26295481
 124.66283301  -2.02092998 -35.95729951 -61.36829625 -21.51595498]",600.3166267129184,17800
8,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 98.22812359   6.51813567  59.190639   -37.63555938  41.08680008
  11.60791593 142.75015289  82.48593004 112.88956465 139.86419423]",600.286937758788,28916
9,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  63.6547582     6.51913612   59.19122404  -37.63509286   63.41116905
  -72.7426528    22.75381658  -95.95019133 -154.44465228  142.54734882]",600.4975804427854,21990
10,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 13.0818626    6.54146848  59.13522223 -37.57089691 -99.30906696
 -60.99142621  -1.99437678 -35.90134     -3.3925331   22.1828277 ]",600.1101808334072,20948
11,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 12.45314246   4.57640107  57.83261356 -38.35297557  65.78259612
 -60.8686655   21.57779339 -98.94620379  -3.20078571  22.70003945]",600.5151301047326,24163
12,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[185.88218098   6.5240488   59.18569925 -37.64159644 -28.47639985
 -74.61890004  69.31434353  23.24729449 -21.87742792 -75.86121894]",600.3620229623889,18547
13,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 13.1714766    6.48241986  59.22086925 -37.59643997  47.90716006
 -60.91588944 -58.35171807  17.97319599  -3.27001213  22.30676954]",600.1703038578911,14316
14,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  13.16764608    6.51876041   59.19017091  -37.63586198  -22.22882006
  -60.92698428 -131.12219715  -40.90961815   -3.30434188   22.30361498]",600.1578069138432,24208
15,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  13.39829737   58.94102796  -66.66504221  108.69406142  -22.54795979
  -60.94843952 -130.59639469  -40.89187846   -3.86598857   22.82805346]",600.2446352357724,28276
16,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -4.9406843    6.60784881  59.11497867 -37.73280983  47.60533415
 123.9271101  -58.19685426  18.36271527 -60.950023   -24.42819807]",600.377344152345,26895
17,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 13.15220989  59.13475124 -66.51169631 108.75314    -29.10667305
 -60.92383629  70.37140796  23.28686683  -3.26278044  22.27243746]",600.0418145593211,26490
18,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 13.04280692  59.14945765 -66.49970095 108.76108413 119.01319437
 -61.02434823  13.55184587  75.99337639  -3.44593166  22.12880965]",600.3325117928624,22007
19,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ -72.02683403    6.53037996   59.18703586  -37.6379676   -84.73082576
 -132.90583932   79.53896479 -148.69992489 -120.35220384  -95.39228217]",600.7600481312519,24190
20,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[  13.05097782   59.15084855  -66.50086017  108.75953361   -4.44784363
  -61.01742736  -50.82153751 -158.15462572   -3.43462615   22.14008073]",600.0942898182739,29922
21,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 13.1598584    5.87404066  60.73763475 -39.44870449 117.49468714
 -60.92567001  14.33341112  77.95042099  -3.28588414  22.29071726]",600.4149851342921,18248
22,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 12.9704343   59.15096802 -66.50142838 108.76008626 117.85232721
 -60.99337614  14.1663769   77.51177615  -3.44079874  22.16869837]",600.1477855658829,24296
23,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 13.15989042   6.51828723  59.19055992 -37.63535786  47.66179481
 -60.92567534 -58.22775172  18.28741391  -3.28588666  22.29070013]",600.0218157871464,19172
24,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 13.07956545  59.15083569 -66.50086669 108.75959212  47.60493358
 -60.99097189 -58.19726766  18.36237655  -3.38582814  22.17722864]",600.1032766861834,24456
25,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 13.0730545    6.46453614  59.23600158 -37.57701571 135.77760438
 -60.9906489   93.68427442 -39.93694249  -3.3916648   22.18770162]",600.2450856126476,24902
26,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 14.4118176   59.20461211 -66.54635364 108.70120142  47.65349573
 -62.3417711  -58.22170107  18.30057894  -1.17153204  24.2908315 ]",600.5828962369835,18003
27,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 12.44213918  59.16575994 -66.47938595 108.660937    47.64576366
 -61.52881529 -58.21985327  18.31305491  -4.2618008   21.30269066]",600.3481255043029,23837
28,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 13.14278394   6.4403541   59.1549459  -37.67944098  47.96456576
 -60.92387258 -58.74836197  18.28632471  -3.28329396  22.30131987]",600.1981480352425,22416
29,f6,10,10,9999,"[-100, 100]",0.9,True,"[-50, 50]",2.0,2.0,"[ 13.43255578   7.00227937  58.781492   -38.16058092 -29.17773596
 -60.6958226   70.48949723  23.29260523  -2.91309966  22.6678778 ]",600.333759178451,22144
