execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,reduction_speed_factor,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
11,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  48.77985122  134.99754932  -59.72252146    8.21613154   11.8198325
  -90.66765871  -92.08096125    7.68416856   72.4509537   -23.37746266
  -57.05191687   74.16647729   69.87051872   12.19027287   10.51969934
  -52.08009438   -3.12365312   63.20857123   12.57611824   76.79255646
 -105.27718003  -51.44154173   79.77237091  160.68721735   17.37644542
   34.72767451  -69.39758978  -23.91822669   -2.03424414  -65.2892748 ]",1204969.9469506808,159127
12,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  52.56524173   70.70535216  -58.79456869   93.00753889  115.76218548
   -1.31092105 -101.58749388  -43.52738761   55.31779977  -25.61426531
  -54.56402242   75.4024723    71.03685398   63.22466575  158.81617761
   27.46966834   49.37047361   63.40931528  -34.54882062   73.23206467
  -87.31711319 -148.45772399  127.47103583   73.60556554   19.5446108
   37.20228737   33.15324012 -100.79197396   27.86387899  -33.06506515]",3712060.7319341153,145995
13,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  46.54656606  112.58246055  -61.13081105   29.72228329  -10.14878685
   -1.8641713    -1.78470802   62.14791144   62.21272963  -11.15129109
  -54.56707643   75.1984055    74.15922543    6.81204358   12.63043395
  -89.44323357   69.07888811   67.65388369   49.17447191   74.04389268
 -100.5237262   -53.52251676   61.8037511   184.70252841   32.37773734
   43.30757681  -56.92072148  -11.05509333   27.39335044  -70.85561839]",1189796.9525908337,140663
14,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  47.51398356  -12.37188779  -59.48017574   51.22075147   66.490866
  -19.92918376  -26.19249016 -104.85623067   96.28935296   84.08253195
  -53.43501255   76.61394166   67.85724876   16.54404899   47.4983619
   20.24517386 -168.89484154   61.24632462   40.00589081   68.72610178
  -56.95020483 -113.63243882   65.583919    130.32728445   10.18163975
   30.10311378  -11.25595368  -41.08149252   62.77544485  -43.32823591]",2179409.081241504,159544
15,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 48.40459072  44.69971973 -58.41731465  87.03648705  57.89245495
  22.15423077  23.92775602  -0.63080112  61.22259755 282.04881682
 -54.99921675  75.22859202  71.27359656 -43.76246638  71.29957662
 -28.65477418  40.71688788  64.28859616  38.77249642  73.81378487
  -0.52274776 -89.83831348  36.11487535  94.59669802  21.41977218
  37.45489326  43.1556822  -54.09458618 -34.93894495 -11.16076775]",1478560.340483389,144598
16,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 52.89066759 149.17795685 -60.44074857 104.61357638 -59.06588721
 -12.97575139  66.67805942  60.86512162  61.92812043 213.96430889
 -54.6541358   75.58081216  75.73889497 -84.25334174  44.41767507
 -86.89935933  70.51814927  69.44914373  73.76868394  72.72881436
 132.66201626  21.34827927   0.71112431  28.49982433  38.16393376
  46.50135161 111.1669372  -13.36105336 -70.75941208 -55.00434255]",1663050.4473161504,177597
17,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 45.06716444  57.87359382 -62.28058465  92.82495985  49.58893427
  17.11519209 141.15298891 -17.0173605   62.03593552  89.98427374
 -54.14654261  75.87783909  70.81390474   2.40695458  -9.85745935
 -13.4829764   29.45778405  64.01608288  23.39531303  71.19408819
 143.26795222 -87.03882736  67.5480008   70.32747206  20.24534156
  36.5082626   90.95962461 -63.6718213   12.00508828 -42.42787763]",1477280.558009015,153814
18,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 42.51056013  78.81301137 -64.02578041  54.225156   -91.5036229
 -87.25825417 -34.29968058  29.23723647  75.12054473  98.98258542
 -54.8844697   75.49878164  68.4902904  -62.44598298  23.07912993
 -84.72335772 -15.60114119  61.80781347 116.88160211  73.06162698
  38.90774693  30.62338863 -10.02205076  72.58089034  11.97754761
  31.63449368  31.62590617   6.27771818  21.02936856 -90.54507112]",3134079.2778987573,156115
19,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 50.11721107  14.53642665 -55.08823424 106.51860463   9.39448874
  22.43461019 -67.78838313 -25.67593012  78.27989729  94.97948605
 -53.62760858  76.01184559  68.34524758 -11.33644153 162.90241722
 -33.26982862 -53.07368745  58.74945679  74.18196548  70.90426994
 -58.66692093 -67.37773948  36.38106721  62.74806791   6.67672028
  32.17702716  55.58071995 -26.57582955  54.3213161  -59.26198873]",1186404.9731204747,160487
20,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 48.93199538  -6.06540958 -55.94140868  71.55280743  38.45708251
 -78.12026994  18.75324946  -5.12453973  50.3998456   91.24536917
 -55.02499003  75.0555661   71.33126708   4.60584771   7.32214204
  -9.55823901  85.849392    63.73223413  62.45398021  74.37466653
 112.11987348 -96.07366185  50.07345382  44.80570587  20.44083787
  37.76114158  72.02271191 -81.49425533  66.81770907 -50.82614715]",1372749.7380106435,172359
21,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  49.29136846   -5.75375827  -60.3176646    95.02209288   43.03302206
  -79.01111799 -107.32753612  -60.86797038   77.28450201   42.03823922
  -54.73065459   75.29185293   72.21513769   21.17501757  126.58909447
   -1.46358925  -68.41471543   65.05285572   57.97042618   73.56405528
   24.83554855 -106.22656185   61.45568126    9.05746688   24.43191038
   39.48715349   81.33569765  -49.94454785   83.16139108  -55.92728131]",934920.2945256976,162255
22,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  62.75721778  106.90870697  -55.97484058   18.14570817   27.10391598
 -121.3790508    49.47753364  -53.39475115   65.28347603  124.55054243
  -54.68148091   75.38121445   69.67824545  -17.8242943   -97.41991302
   16.54445006   -4.68822479   63.19573125   26.34983945   73.40660117
  108.57279669  -65.19409761   57.53051129  107.94404651   16.67764956
   33.90189868    7.08487766  -79.38429443  -25.51108587  -39.53512678]",1559141.063235839,161254
23,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  24.2107178    86.38232922  -70.32831097   90.60307572   29.21083446
  -41.431365    -53.3130096   -93.22015752   48.68072907  210.23565574
  -52.6592674    76.45301474   67.02014942  -45.76222598  100.63126537
   80.14693759   51.95953565   58.37444883   26.48642189   70.3211538
   18.348512    -46.794358     39.83786849   42.9195629     3.67752152
   29.11225029   66.15677758 -146.61533393  -50.60872821  -32.01084313]",3872577.029359696,171160
24,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  52.87088743  -23.89510755  -59.12110873   79.10229845   23.46012951
  -50.66066039  -94.16656951   98.45058063   47.05548613  -45.01907139
  -53.64965522   75.88219914   76.56037849   37.71317174  113.5567615
 -116.87925064  145.58589683   72.08474809   74.43627466   71.78962356
  -32.00005203  -99.07744834   62.59130055   59.40167845   44.56823335
   47.69020027   39.19567478  -11.91224647  127.30146239  -77.67520092]",3520644.3869750914,163967
25,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 54.40939732 145.63106741 -59.63672039 131.11451949 -17.49906797
 -25.47974783 -69.1694015   36.31157704  65.74016555  56.52564628
 -54.76466015  75.37106866  69.80502506 -23.34651068 166.94757692
 -73.34516131  36.20699548  61.46467339  33.51760477  73.3472691
  54.94526439 -19.9875236   50.97673731 -19.5073555   13.82424029
  34.90272443 128.21484606 -16.32362796 -29.49424508 -63.28698967]",865172.9858133007,176190
26,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  51.53844881   -8.61624359  -57.16310369   68.88569798   14.86675529
    2.86876476   77.70809815  -96.2400792    56.52353947    7.36168827
  -55.31516127   74.83117127   69.99253131   17.27434666    1.91929341
   63.97619675    8.58676921   60.80840051   73.89261075   74.47138557
   51.41618871  -81.86771749   51.10663818  108.80340551   13.14043596
   35.44354587   36.40408442 -123.66009925   98.15186865  -72.47989087]",3056060.382869889,166752
27,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 50.44174435  27.08505145 -56.44920233  72.04045403 -29.49345144
  -1.13402716  62.36022007  44.36795978  64.5325023  182.89487766
 -55.1074614   74.94651606  72.05091738 -49.0682511   14.58041161
 -77.8882635   47.15401414  65.15227744 110.25703563  74.83175523
  46.6596309  -40.1166923    1.87428283 101.33767031  24.22149869
  38.92858149  39.98284058 -15.16710332  34.43464616 -57.77826355]",1755646.1116595492,149126
28,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 55.00596219  62.452107   -60.13087921 119.58245137  49.87204402
 139.87146668 126.42393324 -90.45665249  66.60121032 169.73101834
 -54.96423934  75.25846399  69.8511159  -18.05977675  91.92823287
  47.98020323 -30.75776554  62.35850756  29.50623039  73.51557658
  -3.79958134 -86.03119548  54.53001594 119.34347787  15.37150797
  34.6053469   63.09433479 -99.31887983 -12.62941178 -29.21374002]",1977318.816093124,157521
29,f1,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[  51.38619217   45.84296283  -63.36381798   14.35933239   84.28878136
  -57.3128164    19.93245307  -17.12121585   66.66410629  245.99438696
  -54.93342185   75.20738843   72.59685065  -23.85303522  -48.73937614
  -22.45657797    5.17262497   65.79730565   14.66840756   73.72839384
  -25.28850292 -109.41038494   57.57603279  168.46126337   26.33271345
   40.17834632  -47.01409573  -49.98477802  -32.33371212   -7.47037369]",2165096.016962061,153505
