execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,reduction_speed_factor,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.18553069   9.68952431  68.7715302   31.30085874  13.7333801
  50.31798184  60.64222462  78.22585848 -79.91641996  59.12875915
  18.10118203  78.39203296   4.27471876  -3.27625832  47.86125515
 -43.54513029  -0.3049134   64.13639812  11.94579507  55.22850964
  38.07959417  13.75792567 -40.52247588  26.62659476 -66.64274988
  20.29479305  25.88733362  36.76029694  62.52033863  77.23246283]",700.0098572846081,81492
1,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.18553081   9.30695971  68.73741858  31.4667522   13.73338001
  50.31798166  60.64222468  78.2258585  -79.9164199   58.47017447
  18.01063525  78.39203278   4.42881101  -3.27625831  48.21561684
 -43.26269889  -0.30491345  64.13639829  11.94579496  55.22850962
  38.0795942   13.75792575 -40.35076057  26.6265947  -66.64274977
  20.15356568  25.7511293   36.76029689  62.52033861  77.16851585]",700.0073960403344,76580
2,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.18553077  10.07208912  68.73741871  31.46675218  13.73338006
  50.31798172  60.64222468  78.22585854 -79.91641989  58.47017446
  18.01063516  78.39203278   4.42881108  -3.27625833  48.21561669
 -43.82756161  -0.30491355  64.13639832  11.9457951   55.22850962
  38.07959424  13.75792573 -40.69419109  26.62659476 -66.64274987
  20.15356563  25.75112931  36.76029687  62.52033865  77.1685158 ]",700.0073960403342,81479
3,f7,30,10,17016,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.11399409   9.68959143  68.73735042  31.46676845  13.24653359
  50.46354547  60.64226166  78.22597954 -79.91642227  58.47015456
  18.01054906  78.39200434   4.42881082  -3.27624024  48.21553572
 -43.54512671  -0.30494283  64.13642852  11.9456919   55.22847864
  38.18239255  13.75793508 -40.52244015  26.62662064 -66.64278602
  20.1535681   25.7511986   36.76027682  62.52031609  77.16855176]",700.0000000962968,81043
4,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.04252509   7.70765741  68.73741867  31.46675203  12.75972908
  50.60912597  60.6422249   78.22585873 -79.91641995  58.47017467
  18.01063526  78.31223659   4.42881119  -3.2762583   48.21561689
 -43.66098183   0.93951237  64.59083371  13.07431124  55.22850966
  38.28529912  13.45020668 -41.01545932  26.62659493 -67.35068715
  20.15356553  25.75112919  36.7602968   60.77256255  77.16851553]",700.107484269968,80238
5,f7,30,10,17607,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.11405957   9.68951847  68.73742338  31.46682676  13.24653616
  50.46351751  60.64220784  78.22584713 -79.91641774  58.47011212
  18.01060995  78.39201751   4.428741    -3.27623108  48.21556202
 -43.54519675  -0.30484545  64.13637396  11.9458747   55.22854796
  38.18251432  13.75795423 -40.52243514  26.6265786  -66.64269592
  20.15356931  25.75121427  36.76027758  62.52031197  77.16862567]",700.0000000939139,78836
6,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.1140279    9.68952426  68.79864298  32.05319445  13.24655441
  50.46355385  59.43744151  77.80347514 -79.31226707  58.08037819
  17.69102229  78.39203297   4.4411528   -3.27625846  48.74309442
 -43.54513009  -0.30491337  64.13639825  11.94579511  55.22850958
  38.18244678  13.75792572 -40.52247601  25.94613613 -66.64274987
  19.66831899  25.91923044  36.33248512  62.52033861  77.05823783]",700.0565597028876,78148
7,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 55.11389753   9.68952437  68.73741864  31.46675203  13.10805101
  50.9591641   60.64222473  78.22585871 -79.91641996  58.47017467
  18.01063497  78.3920329    4.42881114  -3.27625846  48.21561695
 -43.54513031  -0.30491346  64.13639816  11.94579497  55.22850975
  38.79298629  13.75792573 -40.52247581  26.62659478 -66.64275005
  20.15356567  25.75112924  36.76029679  62.52033875  77.16851557]",700.0147724077232,80049
8,f7,30,10,17267,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.11403382   9.68947474  68.73745826  31.46679703  13.24651644
  50.46349277  60.64227719  78.2258781  -79.91636835  58.47011282
  18.01062278  78.39207308   4.42881576  -3.27622296  48.21552429
 -43.54511784  -0.30490144  64.13639508  11.94576534  55.22853599
  38.18250831  13.75789464 -40.52249316  26.62664451 -66.64274087
  20.15363051  25.75115795  36.76024684  62.52038014  77.1686308 ]",700.0000000997179,81699
9,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.11402786   9.68952439  68.06954773  31.55913734  13.24655445
  50.46355399  60.6422246   78.22585851 -79.91642004  59.01944915
  18.82301018  78.39203292   4.54753646  -3.27625839  47.85681418
 -43.54513024  -0.30491342  64.13639809  11.945795    55.22850962
  38.18244656  13.75792575 -40.52247588  26.6265947  -66.64274974
  20.07694703  26.85711307  36.76029691  62.52033869  76.98476132]",700.0343840622103,82660
10,f7,30,10,17461,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.11402083   9.68956713  68.73738997  31.46668005  13.24654611
  50.46351137  60.64223835  78.22588498 -79.91644383  58.47032382
  18.01064001  78.39202493   4.4288993   -3.27627357  48.21572219
 -43.54513369  -0.30489703  64.13640246  11.94579369  55.22852369
  38.18248207  13.75790201 -40.52243668  26.62654566 -66.64271127
  20.15353368  25.75107092  36.76026209  62.52035327  77.16836795]",700.0000000940545,79746
11,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.04252498  10.07208876  68.73741879  31.46675206  12.75972881
  50.60912606  60.64222463  78.22585851 -79.91642001  58.47017456
  18.01063516  78.39203283   4.4288112   -3.27625844  48.21561687
 -43.82756152  -0.30491346  64.13639817  11.94579509  55.2285096
  38.2852991   13.75792571 -40.69419134  26.62659466 -66.64274992
  20.15356557  25.75112928  36.76029687  62.52033852  77.16851561]",700.0073960403344,77836
12,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.11402791   9.68952435  68.70330698  31.63264521  13.24655444
  50.46355382  61.17402509  78.6532139  -79.78170019  57.81159048
  17.9200883   78.39203297   4.58290371  -3.27625839  48.56997889
 -43.54513026  -0.30491335  64.13639812  11.94579499  55.22850955
  38.18244676  13.75792572 -40.52247585  26.48012066 -66.64274984
  20.01233787  25.61492467  37.30799603  62.52033859  77.10456803]",700.0246026825571,80941
13,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 55.2167785    9.68952458  68.83275445  31.88730137  12.04289257
  50.21570373  60.64222484  78.22585875 -79.91641993  58.73896256
  17.78156904  78.3920329    4.28706052  -3.27625839  48.38873275
 -43.54513042  -0.30491336  64.13639802  11.94579512  55.22850959
  37.53797238  13.75792568 -40.52247565  26.62659484 -66.64274985
  19.80954644  26.05543501  36.76029679  62.52033866  77.12218518]",700.0344747013044,82848
14,f7,30,10,17661,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.11402584   9.6895851   68.73737874  31.4666796   13.24654797
  50.46346991  60.64218063  78.22583601 -79.91644954  58.4702133
  18.0106574   78.39199549   4.42883758  -3.27623511  48.21567258
 -43.54516619  -0.30492152  64.13640005  11.94573564  55.22855952
  38.1825651   13.75791317 -40.52242857  26.62659525 -66.64274354
  20.15348438  25.7510417   36.76032429  62.52027208  77.16844022]",700.0000000995706,78777
15,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.11402788  10.07208876  69.25184992  31.19176816  13.24655444
  50.46355397  60.64222459  78.22585846 -79.91641996  58.60186869
  17.93800212  78.39203286   5.21742205  -3.27625836  47.5064585
 -43.82756126  -0.30491351  64.13639818  11.94579502  55.22850966
  38.18244663  13.75792582 -40.69419138  26.62659474 -66.64274968
  19.6615168   25.93682637  36.76029692  62.52033884  76.24118347]",700.0367989296287,83384
16,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.11402787  10.07208909  68.6420828   31.0462029   13.24655444
  50.4635538   60.64222472  78.22585849 -79.91641992  58.20138638
  18.2397012   78.39203285   4.57056162  -3.27625834  48.0425008
 -43.82756148  -0.30491346  64.13639827  11.94579502  55.22850968
  38.18244667  13.75792578 -40.69419117  26.62659485 -66.64274986
  20.49758489  25.44682349  36.76029685  62.52033859  77.21484638]",700.014779776755,80023
17,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 55.97102227   9.6895244   68.73741874  31.46675194  12.27290318
  50.75469818  60.64222466  78.22585865 -79.91641997  58.47017467
  18.01063503  78.3920329    4.42881113  -3.27625844  48.2156171
 -43.54513023  -0.30491347  64.13639826  11.94579497  55.22850959
  38.3881517   13.75792571 -40.52247586  26.62659467 -66.64274986
  20.15356565  25.75112935  36.76029693  62.52033865  77.16851546]",700.0098646720612,85719
18,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.11402791  10.07208893  68.73741872  31.466752    13.24655444
  50.46355398  60.11042448  77.7985033  -80.05113966  58.47017467
  18.01063513  78.39203297   4.42881121  -3.27625839  48.21561707
 -43.82756149  -0.30491343  64.13639806  11.94579501  55.22850958
  38.18244663  13.75792578 -40.69419121  26.77306898 -66.64274979
  20.15356559  25.75112921  36.21259754  62.52033867  77.16851551]",700.0221414386447,80005
19,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 55.11389758   9.68952431  68.73741882  31.46675201  13.10805095
  50.95916375  60.64222468  78.2258586  -79.91642001  58.47017457
  18.0106351   78.3920329    4.42881105  -3.27625831  48.21561699
 -43.54513027  -0.3049135   64.13639821  11.94579501  55.22850963
  38.79298635  13.75792575 -40.5224759   26.62659477 -66.64274972
  20.15356565  25.75112924  36.76029685  62.52033858  77.16851557]",700.014772407723,79628
20,f7,30,10,17119,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.11399224   9.68956758  68.73738734  31.46673012  13.2465157
  50.46340704  60.64215595  78.22571303 -79.91643207  58.4701842
  18.01064602  78.39207285   4.42884254  -3.27625807  48.21564419
 -43.545172    -0.30496463  64.13649697  11.94583679  55.22856476
  38.18248757  13.75792306 -40.52243131  26.62658421 -66.64276046
  20.1535618   25.75115053  36.76036027  62.5203287   77.16846912]",700.0000000996032,81200
21,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.04252501   9.30695985  68.73741864  31.46675196  12.75972881
  50.60912586  60.64222489  78.22585861 -79.91641992  58.47017471
  18.01063505  78.3920329    4.42881122  -3.27625842  48.21561703
 -43.26269914  -0.30491329  64.1363982   11.9457951   55.22850953
  38.28529932  13.75792578 -40.35076038  26.62659485 -66.64274979
  20.15356545  25.75112924  36.76029679  62.52033868  77.16851546]",700.0073960403344,80990
22,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.11402782   9.30695975  68.70330707  31.63264513  13.24655441
  50.46355362  60.64222473  78.2258586  -79.91642     57.81159034
  17.92008819  78.39203301   4.58290363  -3.27625837  48.56997898
 -43.26269902  -0.30491339  64.13639811  11.94579505  55.22850955
  38.18244687  13.75792579 -40.35076052  26.62659472 -66.64274984
  20.01233808  25.61492483  36.76029688  62.52033859  77.10456798]",700.0123209888753,79661
23,f7,30,10,17265,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.11402656   9.68954152  68.73734753  31.46673015  13.24655166
  50.46357496  60.64214613  78.22591279 -79.91641867  58.4702529
  18.01064971  78.39202832   4.42888327  -3.27622316  48.21565391
 -43.54514012  -0.30494948  64.13642642  11.94577239  55.22852792
  38.18245427  13.75788481 -40.52247125  26.62654459 -66.64276434
  20.15343359  25.75099956  36.76035054  62.52035593  77.16844829]",700.0000000925888,82170
24,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.04252502  10.45465369  68.77153031  31.3008588   12.75972883
  50.60912606  60.64222468  78.22585865 -79.91642003  59.12875898
  18.10118197  78.39203296   4.27471868  -3.27625833  47.8612551
 -44.10999291  -0.30491327  64.13639807  11.94579499  55.22850953
  38.28529913  13.75792568 -40.86590644  26.62659464 -66.64274995
  20.29479315  25.88733376  36.76029686  62.52033856  77.23246301]",700.0295767736138,83122
25,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 57.1141582    9.68952455  68.73741874  31.46675215  13.38505787
  49.96794385  60.64222463  78.22585856 -79.91641997  58.47017445
  18.01063506  78.39203286   4.42881098  -3.27625828  48.21561675
 -43.54513039  -0.30491348  64.13639822  11.9457951   55.22850962
  37.57190693  13.75792593 -40.52247572  26.62659476 -66.6427499
  20.15356576  25.75112933  36.76029693  62.52033863  77.16851577]",700.0147724077231,77663
26,f7,30,10,17550,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.11401581   9.68955872  68.73744334  31.46684645  13.24654659
  50.46352731  60.64218447  78.22581273 -79.91640137  58.47006927
  18.01063015  78.39202082   4.42875816  -3.27627807  48.21544764
 -43.54511156  -0.30491142  64.13636391  11.9458168   55.22853264
  38.18247189  13.75790538 -40.52246054  26.62653466 -66.6427535
  20.15359212  25.75113454  36.76032455  62.52030438  77.16868082]",700.0000000900435,81683
27,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.11402787  10.072089    68.70330709  31.63264526  13.24655445
  50.46355399  60.64222482  78.22585867 -79.91641995  57.81159024
  17.92008821  78.39203294   4.58290349  -3.27625834  48.56997873
 -43.82756151  -0.30491335  64.13639821  11.94579514  55.2285096
  38.18244656  13.75792579 -40.69419118  26.62659477 -66.6427499
  20.01233808  25.61492482  36.7602968   62.52033871  77.10456817]",700.0123209888752,82218
28,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.04252508   9.68952428  68.03543602  31.72503039  12.75972878
  50.60912579  60.64222461  78.22585837 -79.91641991  58.36086515
  18.73246335  78.39203294   4.70162901  -3.27625842  48.2111763
 -43.54513001  -0.30491343  64.13639794  11.94579514  55.22850965
  38.28529928  13.75792584 -40.52247604  26.62659477 -66.64274983
  19.93571941  26.7209085   36.76029699  62.52033862  76.92081368]",700.0294591150739,84405
29,f7,30,10,29999,"[-100, 100]",0.9,True,0.1,"[-50, 50]",2.0,2.0,"[ 56.0425251    9.68952442  68.73741861  31.46675212  12.75972885
  50.60912588  60.64222468  78.22585854 -79.91641998  58.47017478
  18.0106353   79.56497948   4.42881143  -3.27625844  48.21561692
 -43.54513058  -0.40210144  64.32273387  11.09976838  55.2285097
  38.28529928  14.22615927 -40.52247566  26.62659472 -66.25113968
  20.15356558  25.75112901  36.76029689  61.65870814  77.16851546]",700.0318983825479,77164
