execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,reduction_speed_factor,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
0,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 6.14977076 54.07889664 82.44747787 73.17067313 -6.74032562 45.14646229
 -4.82885144 77.96760996 85.33938734 57.11107812]",1400.2015769226448,51901
1,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 11.68379454  42.20211793  74.47737333  78.85022862   3.00366419
  54.6178951  -16.84905267  87.053452    64.34227624  57.18873673]",1400.1813632055344,58661
2,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 8.78252644 51.74779276 71.93844616 75.23276931 -6.88438254 45.82675979
 -7.4076244  78.05047361 90.98739878 58.01623888]",1400.215766427229,55080
3,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 22.31855909  39.17323966  79.96297662  74.81862744   0.5129413
  53.9462149  -15.27695133  76.18623048  80.81426053  62.83109956]",1400.1775940138896,59014
4,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[  8.57826733  20.00243073  77.69738249  57.96705654   9.5768448
  51.09054758 -14.49787357  78.90108316  79.77497552  61.55195615]",1400.361154337523,56689
5,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[  6.50456627  20.39227298  71.83007664  64.67030573  12.93333972
  43.7611824  -17.38104394  83.1323562   89.89974433  59.54898016]",1400.3317015237485,45881
6,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[  5.44440317  48.87186141  83.97295919  66.51052204   2.57161388
  49.15497812 -12.35123107  65.51034645  96.33831845  60.50569767]",1400.2134987467869,51108
7,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[  7.5129572   64.83758392  76.56128739  74.7826711   -6.15761597
  49.7679562  -17.35786787  77.43680158  81.08799053  50.16126701]",1400.1166181521942,52750
8,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[12.17507781 45.20926295 75.94373939 68.59752917 -5.80477726 44.32797317
 -2.02236468 77.35461003 79.37123874 57.15748061]",1400.2545292110065,57310
9,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 26.11575928  32.02304382  83.30289573  70.75811687   7.76016933
  43.89260647 -16.80537823  74.51826643  87.29474186  54.90980945]",1400.1570360752592,49401
10,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[  5.80353852  34.57368881  81.16621258  69.91425365   5.90441509
  68.15133155 -21.17932318  80.2502728   75.74645656  55.01671948]",1400.2386454602322,48667
11,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 12.76353211  28.38673681  82.86692939  69.55968511   4.92210356
  57.61605928 -14.10523531  78.94103578  86.24111821  62.93711867]",1400.2674406929834,56553
12,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 8.49744725 44.88893922 85.67055663 67.0350256  -2.64188099 27.29419288
 -3.05471048 74.56997632 82.0506549  53.76022469]",1400.2266671113184,54292
13,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 16.27880373  59.68173599  87.06605295  68.00535883  -0.57069704
  47.82278367 -21.08835436  79.0327832   85.65088043  52.4859723 ]",1400.0919900264105,53284
14,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[21.55385875 45.32140476 81.36112789 65.8253399   0.85861785 42.32962626
 -8.89074726 75.54509429 86.68396064 58.16571015]",1400.1861420519751,56987
15,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[15.04594687 47.80471558 80.69342921 58.36725201 -5.05402801 46.23185157
 -4.5670545  77.90241787 82.45670863 53.71518054]",1400.2514702841472,62117
16,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 29.1652251   41.30915036  78.89245906  73.88492225   1.89977802
  38.32701855 -19.18773004  76.16476241  70.33907354  44.01995694]",1400.088759273857,64989
17,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 17.91288236  32.07133644  82.92027853  53.23733308  -1.00613148
  48.1562589  -11.05496423  84.38796024  83.11572857  56.77355141]",1400.3109115885015,56799
18,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ -2.6352737   43.85523313  76.3587117   58.23657321 -11.03540678
  45.05599016  -1.01078848  75.27090028  78.99749875  56.17716931]",1400.37347417075,48673
19,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[  0.3510596   36.24127582  72.00839093  80.72046398   2.64394169
  40.96062826 -11.01333136  78.56572972 101.16544645  51.70167297]",1400.238955313056,58436
20,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 24.56767414  36.8265607   82.49466271  72.2532323    3.11071307
  40.35537934 -17.99645146  74.69866159  78.61252347  67.49999921]",1400.1763526312416,53619
21,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[  8.59997073  42.01005606  83.56353558  66.19783303   3.96863036
  63.12669283 -16.97513461  57.66426459  73.7447049   52.85216932]",1400.2037303173802,45205
22,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[  3.98089037  46.47318395  85.00032422  45.01964367   0.73647112
  51.5672589  -15.99927478  77.1178352   75.74019245  63.54554796]",1400.3301676685735,57706
23,f14,10,10,9999,"[-100, 100]",0.9,True,0.1,"[-0.5, 3.0]",2.0,2.0,"[ 23.12628519  45.57100128  83.01363858  68.63439224  -5.82949197
  45.69818922 -10.96687647  83.3844576   80.59261601  59.14871986]",1400.1853988686896,60569
