execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,mutation_strategy,mutation_perc,crossover_perc,best_ind,best_fitness,out_bounds
0,f6,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[  13.23790573    6.51829394   59.19056518  -37.63535576   66.55343606
  -60.85989058   21.13646976 -100.           -3.17918613   22.39864919]",600.3179950076668,1182
1,f6,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 13.21255953  55.926826   -58.88456261 100.          47.64868398
 -60.92985786 -58.21915429  18.30681671  -3.29167838  22.26089375]",601.2140514028669,494
2,f6,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ -1.58012581   6.51829394  59.19056518 -37.63535576  66.55343108
  99.58445212  21.13647484 -99.99999011 -51.88508455 -16.8352984 ]",601.9142594824359,2263
3,f6,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[ 13.15986641  67.8623345  -73.86397731  99.30578576 -99.76997023
 -60.92567345 -65.39471202  93.74423107  -3.28588427  22.29071397]",602.9496670214583,4290
4,f6,10,10,864,"[-100, 100]",randtobest1,0.8,0.4,"[ 13.15986632   6.51829394  59.19056518 -37.63535576  47.64870003
 -60.92567343 -58.21918118  18.30681567  -3.28588401  22.29071377]",600.0000000982583,247
5,f6,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[  13.15986632    6.51829394   59.19056518  -37.63535576   66.55343606
  -60.92567343   21.13646976 -100.           -3.28588401   22.29071377]",600.2601597820454,726
6,f6,10,10,1107,"[-100, 100]",randtobest1,0.8,0.4,"[ 13.15986632   6.51829394  59.19056518 -37.63535576  47.64870003
 -60.92567343 -58.21918118  18.30681567  -3.28588401  22.29071376]",600.0000000878803,815
7,f6,10,10,1288,"[-100, 100]",randtobest1,0.8,0.4,"[ 13.15986632   6.51829394  59.19056518 -37.63535576 -29.10814792
 -60.92567343  70.37271526  23.2883      -3.28588401  22.29071377]",600.0000000591355,3141
8,f6,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[-32.26551741   6.51829394  59.19056518 -37.63535576 -99.30152116
  99.99923352  -2.00106777 -35.90760844 -98.16205375 -62.12371738]",601.6809320595037,2130
9,f6,10,10,5000,"[-100, 100]",randtobest1,0.8,0.4,"[-32.2655816   98.35248991 -99.63479153  66.21757372  65.75339974
  99.9999325   21.54824449 -98.96891267 -98.16226539 -62.12388776]",603.1817821641891,2025
