execucao,funcao_objetivo,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,mutation_strategy,mutation_perc,crossover_perc,best_ind,best_fitness,out_bounds
12,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-100.           23.20667261 -100.          -70.57067817   25.15174805
  -56.93338431   41.45533712   37.73282561   62.12025056    5.13087831
  -19.65319036    8.60493643  100.           37.60372294   45.95318206
   99.4407723     1.15986717   60.52647765 -100.          -75.2576438
  -37.02811574   11.83864244   58.47590742   67.82949035  -81.64384159
  -21.02735598   31.48760056   14.30217188   43.98234739    6.10075142]",479.401627830564,3745
13,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-100.           21.16695264  -75.30562312  -57.07588217   13.78099294
  -59.37021831    4.46212718   45.05035236   42.10766682  -33.62124128
   21.80251855   25.55167946  100.           34.71528268   37.21703179
  -20.49421017  -42.11575111   47.34887646  -85.99064385  -52.74015448
  -59.41797687   22.47558797   40.2214042    54.63302449 -100.
  -26.99907902    5.96500522   28.59398856   19.58725315   25.3247943 ]",466.55668362033873,6094
14,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-100.           21.16695137  -75.30562275  -57.07588213   13.78099244
  -59.37021919    4.46212742   45.05035207   42.10766821  -33.62124098
   21.80251867   25.55167941  100.           34.71528245   37.21703158
  -20.49420961  -42.11575072   47.34887606  -85.9906442   -52.74015472
  -59.41797711   22.47558878   40.22140538   54.63302507 -100.
  -26.99907805    5.96500528   28.5939874    19.5872532    25.32479367]",466.5566836203377,6510
15,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-100.           12.68371963  -60.53783134  -85.89631519   14.40663359
  -57.79110004   34.94849616   57.47478944   33.23764378  -29.55959038
  -19.41373195  -12.83515549  100.          -26.15842132   11.50916099
  100.           26.23103646   86.32330549  -69.70582165  -77.09743464
  -19.59968609    6.35413369   87.48603334   41.68217679  -88.75387571
  -42.10270403   24.18884179   -9.95409114   51.02621931  -16.00307022]",488.5958029894011,14837
16,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-100.           -2.29539525 -100.          -30.56683238   13.99460054
  -47.02770402   19.76674255   35.50965824   34.24471845  -49.3431108
   22.69999721   18.1962826    72.0756425    44.37315506   50.35200973
   -0.8888782   -29.01262547   48.42785863  -86.68441349  -59.10065974
  -68.11692063   22.87977988   39.74458642   34.88513638 -100.
  -22.34705122    6.49848614   23.22993411   18.13021063    1.68717013]",477.1528714559537,6314
17,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-100.           27.08627237  -71.7652167   -64.98615945   11.12776617
  -58.16476015   12.16730812   44.8041833    30.5827217   -15.81679095
   13.1965308    28.07547609  100.           26.47754937   45.01781114
  -20.59281245  -60.38443615   47.1770679   -88.27954535  -37.31409954
  -59.79311419   18.98428441   38.33226697   47.10328046  -90.08435285
  -29.63534211    6.1443238    35.12980837   22.66507898   24.83783517]",470.5156197115045,2673
18,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-100.           17.48427992  -65.61429861 -100.           12.59482074
  -54.18206608   27.87789104   77.14741686   -0.43906593  -46.90983484
  -20.43269272  -14.2190655   100.          -30.99048815   41.61973532
    5.1321685    26.73746392   87.06562717  -56.30238296  -74.26928714
  -20.19477924    0.92288178   96.98972308   23.34251558  -64.1842995
  -70.07899303   21.60482965  -13.10716811   51.86666777    1.0717769 ]",532.2318887974029,8172
19,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-100.           21.16695158  -75.3056231   -57.07588144   13.78099228
  -59.37021897    4.46212798   45.05035183   42.10766898  -33.62124241
   21.80251953   25.55167876  100.           34.7152842    37.21703176
  -20.49420965  -42.1157496    47.3488761   -85.99064377  -52.74015561
  -59.41797707   22.47558762   40.22140533   54.63302473 -100.
  -26.99907746    5.96500515   28.59398635   19.58725294   25.32479398]",466.55668362033725,13577
20,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[ -97.89422718   12.20468128  -73.78704969  -53.53744108   14.84013881
  -64.82378493   14.62965285   37.44096237   53.78818121  -45.39310989
   24.44570746   20.49426113   66.55947367   42.91602377   37.14206342
  -11.26566234  -29.97067873   47.7939594   -93.40790488  -59.31001447
  -69.53707355   22.18751268   52.70590202   58.52187379 -100.
   -9.13853643    5.76260572   17.25600886   18.35996095   25.60696349]",404.0790536258818,3838
21,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-100.           20.7143187   -57.91673761  -65.65722424   12.94467129
  -59.96093473    5.9803413    44.68817702   32.64275231   -9.10532466
   17.5300131    25.77819181   95.53556363   21.789451     48.57040353
  -20.66223286  -73.95362915   47.79481879  -88.25969964  -45.63394517
  -60.63756115   22.5137818    41.8008343    37.35431109 -100.
  -25.23456546    5.67210153   31.22357228   20.5347858    18.73356484]",472.3289981510586,13825
22,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-100.           21.16695228  -75.3056239   -57.07588078   13.78099249
  -59.37021882    4.46212761   45.05035157   42.10767046  -33.6212432
   21.80252038   25.55167876  100.           34.71528546   37.21703172
  -20.49421065  -42.11574817   47.34887541  -85.99064324  -52.74015693
  -59.41797697   22.47558802   40.22140434   54.63302626 -100.
  -26.99907746    5.9650054    28.59398654   19.5872526    25.3247939 ]",466.55668362033725,10308
23,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-100.           21.63723408  -66.02356827  -63.82881245   11.34810874
  -58.63025495    4.29961443   46.0527286    31.33472782  -15.32154133
   -8.55470793   27.46314296  100.           23.95630762   43.31186744
  -20.89535436  -65.4897969    47.5910686   -88.18070019    4.97356234
  -61.01026826   22.50258123   39.74665942   44.03227603 -100.
  -27.90934       5.61972617   31.59559155   22.03850204   22.77221748]",474.527060359383,8307
24,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[ -94.38565337   22.03433166 -100.         -100.          -14.1843257
  -28.0305692    52.98630408  100.          -35.76683951  -26.12365892
  -27.9807258    -4.65342557  100.          -95.05886289  100.
   27.46373017   25.93784991   65.03454557  -31.28292823  -36.24342772
  -40.21983804  -18.92837408   22.53227076    5.15543588  -48.52740239
  -58.35253983    7.73888584   -8.80369074   55.38847034  -77.79467093]",637.4139728701807,16218
25,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-68.36337805  29.65247807 -70.03636214 -75.55070163   0.70849139
 -64.4271634   52.10987391  52.73999145  26.62926183 -62.24069586
  25.55164228  -1.40517605  77.13380465  10.94237087  49.05562492
  -7.06167995  -1.41985383  52.47245596 -60.04602721 -58.68549471
 -50.67481427 -19.73873032  53.14499122  43.09110931 -69.04843143
 -16.44003765   4.17408931 -17.55123061  26.82697298  15.87185047]",400.078040413859,9155
26,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-100.           21.1669518   -75.30562315  -57.07588112   13.78099226
  -59.37021947    4.4621279    45.05035213   42.10767017  -33.62124269
   21.80251994   25.551679    100.           34.71528489   37.21703119
  -20.49420981  -42.11574892   47.348876    -85.99064323  -52.74015622
  -59.41797737   22.47558794   40.22140546   54.63302613 -100.
  -26.99907731    5.96500515   28.59398572   19.5872528    25.32479401]",466.5566836203368,10831
27,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-1.00000000e+02  1.54514954e+01 -1.00000000e+02 -7.41211022e+01
 -3.34021397e+00 -6.41682898e+01  1.83914744e+01  2.46344019e+01
  5.53925689e+01  2.22802861e+00  3.28338638e+01  1.46667630e+01
  1.00000000e+02  2.88977613e+01  4.92188438e+01  3.21710008e+00
  4.98628546e+00  9.04492499e-02 -7.30988925e+01 -4.76755556e+01
 -5.92537069e+01  9.01435402e+01  3.58091694e+01  6.41955539e+01
 -6.88040808e+01 -3.04726407e+00  1.00000000e+02 -2.06273196e+01
  1.95466141e+01  5.11626472e+00]",1219.0908006628397,7350
28,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-100.           11.2989664   -81.76116748  -65.05781874   27.02528101
  -58.2251508    21.84575553   43.60760518   61.51515461   -6.07390289
  -19.50408587    8.34991248  100.           32.78502079   26.23393197
   96.64621856   -7.28994074   81.3851405  -100.          -76.26365794
  -35.68890763   23.30316703   84.5304087    60.81693947 -100.
  -37.73579716   25.63005213   15.54425834   42.9917534    11.02790563]",468.59562272586606,5501
29,f4,30,10,15000,"[-100, 100]",randtobest1,0.8,0.4,"[-1.00000000e+02  3.06726308e+01 -8.10561171e+01 -1.00000000e+02
 -9.76904669e+00 -6.17908051e+01  5.22798263e+01  4.87628939e+01
  2.29115657e+01 -2.73405267e+01  1.47362160e+01  9.18621530e-02
  1.00000000e+02 -1.17089372e+01  5.73081026e+01  9.66301786e+00
  2.17589178e+01  5.20832713e+01 -6.42849588e+01 -4.25455970e+01
 -6.40515237e+01 -1.88565919e+01  5.24742299e+01  5.34988856e+01
 -4.37024514e+01 -1.82030898e+01  9.55888086e+00 -2.95498337e+01
  4.01668848e+01 -2.05554893e+01]",467.88041320035666,9561
